LEDIS1	Code = 57	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
57	1	1	0	1	1	38	2	2	3	3	2	1	NaN	0	0	6077	1	NaN
57	1	2	0	1	2	15	39	4	5	4	1	1	NaN	0	0	6820	0	2
57	1	3	0	2	1	53	19	4	3	4	1	1	NaN	0	0	3628	1	1
57	1	4	0	2	2	1	45	4	5	4	1	1	NaN	0	0	2897	1	1
57	1	5	0	2	3	27	32	5	2	5	1	1	NaN	0	0	5244	1	1
57	1	6	0	1	1	42	2	3	2	2	2	1	NaN	0	0	2794	1	2
57	1	7	0	1	2	31	7	4	2	2	2	1	NaN	0	0	4783	1	1
57	1	8	0	1	3	50	20	4	2	2	2	1	NaN	0	0	5766	1	1
57	1	9	0	1	4	4	9	3	2	2	2	1	NaN	0	0	2396	1	1
57	1	10	0	1	5	36	21	2	3	3	2	1	NaN	0	0	3209	1	1
57	1	1	1	1	1	53	51	3	5	3	1	1	1	4.500000e-01	4.500000e-01	1586	0	NaN
57	1	2	1	1	2	30	11	5	4	4	2	1	2	5.600000e-01	1.010000e+00	1762	1	2
57	1	3	1	2	1	42	36	4	5	5	2	1	1	5.300000e-01	1.540000e+00	2823	0	1
57	1	4	1	2	2	23	51	4	2	4	1	1	2	1.060000e+00	2.600000e+00	5357	1	2
57	1	5	1	2	3	5	30	5	2	2	2	1	1	6.400000e-01	3.240000e+00	1470	0	2
57	1	6	1	1	1	1	25	2	3	2	1	1	1	5.000000e-01	3.740000e+00	1294	0	2
57	1	7	1	1	2	54	40	5	3	5	1	1	1	5.400000e-01	4.280000e+00	4272	0	1
57	1	8	1	1	3	50	23	2	3	3	2	1	2	5.800000e-01	4.860000e+00	10646	1	2
57	1	9	1	1	4	24	34	3	5	3	1	1	1	4.800000e-01	5.340000e+00	7030	0	2
57	1	10	1	1	5	37	30	5	2	2	2	1	2	8.400000e-01	6.180000e+00	4407	1	2
57	1	11	1	1	6	33	48	5	2	2	2	1	2	2.200000e-01	6.400000e+00	1349	1	1
57	1	12	1	2	1	8	1	3	2	2	2	1	1	7.600000e-01	7.160000e+00	1416	0	1
57	1	13	1	1	1	54	21	3	2	2	2	1	2	4.400000e-01	7.600000e+00	1679	1	1
57	1	14	1	2	1	49	41	2	5	5	2	1	1	5.100000e-01	8.110000e+00	6797	0	1
57	1	15	1	2	2	10	11	4	5	5	2	1	1	6.300000e-01	8.740000e+00	5870	0	1
57	1	16	1	1	1	23	32	5	3	3	2	1	2	5.300000e-01	9.270000e+00	2240	1	1
57	1	17	1	1	2	35	50	5	4	4	2	1	2	4.500000e-01	9.720000e+00	4114	1	1
57	1	18	1	1	3	21	39	3	2	2	2	1	2	1.100000e-01	9.830000e+00	2249	1	1
57	1	19	1	2	1	53	16	2	5	5	2	1	1	5.300000e-01	1.036000e+01	6088	0	1
57	1	20	1	2	2	13	42	2	3	3	2	1	1	3.400000e-01	1.070000e+01	7688	0	1
57	1	21	1	2	3	13	5	3	4	4	2	1	1	5.800000e-01	1.128000e+01	4748	0	1
57	1	22	1	2	4	32	39	2	3	2	1	1	2	1.270000e+00	1.255000e+01	1121	1	2
57	1	23	1	2	5	37	47	4	3	4	1	1	2	1.700000e-01	1.272000e+01	2378	1	1
57	1	24	1	1	1	17	48	2	4	2	1	1	1	6.000000e-01	1.332000e+01	897	0	1
57	1	25	1	1	2	32	26	2	5	2	1	1	1	6.500000e-01	1.397000e+01	4496	0	1
57	1	26	1	1	3	46	3	5	2	2	2	1	2	7.700000e-01	1.474000e+01	1680	1	2
57	1	27	1	1	4	10	15	4	2	2	2	1	2	3.100000e-01	1.505000e+01	846	1	1
