LEDIS1	Code = 2	
SubNo	Group(1=OptHighReward;2=OptLowReward)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	OutcomeCond(0=inaccurate;1=lowReward;2=highReward)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
2	2	1	0	2	1	40	48	5	3	4	0	0	NaN	0	0	14756	NaN	NaN
2	2	2	0	2	2	52	17	2	3	2	1	1	NaN	0	0	18479	1	NaN
2	2	3	0	2	3	3	6	3	2	2	2	1	NaN	0	0	5508	0	2
2	2	4	0	2	4	36	31	4	5	5	2	1	NaN	0	0	16510	0	1
2	2	5	0	2	5	7	16	3	2	4	0	0	NaN	0	0	9184	NaN	NaN
2	2	6	0	1	1	48	4	5	4	4	2	1	NaN	0	0	19835	1	NaN
2	2	7	0	1	2	34	7	3	4	4	2	1	NaN	0	0	7389	1	1
2	2	8	0	2	1	6	11	5	2	2	2	1	NaN	0	0	3021	0	1
2	2	9	0	2	2	27	6	3	2	2	2	1	NaN	0	0	5922	0	1
2	2	10	0	2	3	27	24	2	4	4	2	1	NaN	0	0	9441	0	1
2	2	1	1	2	1	30	2	3	2	2	2	1	2	5.000000e-01	5.000000e-01	18195	0	NaN
2	2	2	1	2	2	13	47	2	5	2	1	1	1	4.700000e-01	9.700000e-01	3293	1	2
2	2	3	1	2	3	20	44	2	5	2	1	1	1	5.500000e-01	1.520000e+00	11613	1	1
2	2	4	1	2	4	24	29	5	3	4	0	0	0	0	1.520000e+00	6870	NaN	NaN
2	2	5	1	2	5	19	38	4	3	4	1	1	1	4.700000e-01	1.990000e+00	4434	1	NaN
2	2	6	1	1	1	20	5	5	4	5	1	1	2	2.000000e-02	2.010000e+00	6054	0	1
2	2	7	1	1	2	53	45	4	2	4	1	1	2	6.100000e-01	2.620000e+00	5456	0	1
2	2	8	1	2	1	35	50	2	5	2	1	1	1	3.500000e-01	2.970000e+00	11761	1	1
2	2	9	1	2	2	4	15	4	3	5	0	0	0	0	2.970000e+00	4214	NaN	NaN
2	2	10	1	2	3	19	22	3	4	4	2	1	2	3.400000e-01	3.310000e+00	6585	0	NaN
