participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,162.66582471862762,"[2.3483661219600167, 0.8397823193596632, 20.18773283843883]",[ 0.10871146  0.04896277 23.9999    ],"[np.float64(-4.18269038581271), np.float64(-4.461879933694691)]",[4.18269039 4.46187993],331.33164943725524,341.8231541131348
2,169.69287473266672,"[3.8315180223403322, 0.21758854830386723, 8.530255571590189]",[2.34585018e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.3448014839033485), np.float64(-0.33527855541369195)]",[0.34480148 0.33527856],345.38574946533345,355.87725414121303
3,173.28093503904816,"[3.627084802245927, 0.23695399809904563, 1.96226918149347]",[1.64358706e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.3439197835369825), np.float64(-0.3429094992411612)]",[0.34391978 0.3429095 ],352.5618700780963,363.11422876749043
4,85.25382192241189,"[1.056442162312012, 0.65034312866557, 6.637388903975257]",[0.6685958  0.04526535 7.03873237],"[np.float64(-4.769785189106648), np.float64(-3.3492667159530454)]",[4.76978519 3.34926672],176.50764384482378,186.9868281748454
5,166.15183225990205,"[3.1786321456292153, 0.017170650757339676, 8.278590796846876]",[3.10839734e+00 1.05504300e-04 2.39999000e+01],"[np.float64(-23.723542130060913), np.float64(-23.783548660137782)]",[23.72354213 23.78354866],338.3036645198041,348.8196591276012
6,165.7418378672451,"[4.441433054828833, 0.2643939273857072, 17.71135180133782]",[0.11142933 0.9999     2.92182363],"[np.float64(-5.096833981899049), np.float64(-0.980080701429763)]",[5.09683398 0.9800807 ],337.4836757344902,347.9751804103698
7,170.44833904238848,"[3.5985232358116517, 0.1389140916022131, 6.826407630105787]",[0.0087674 0.9999    0.3      ],"[np.float64(-4.480295990257263), np.float64(-1.0901760330548864)]",[4.48029599 1.09017603],346.89667808477697,357.40045271641117
8,169.6089327500222,"[2.1046768900688244, 0.8699065987475898, 3.582100236701863]",[2.46210129e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.33421299369735846), np.float64(-0.33913489893887017)]",[0.33421299 0.3391349 ],345.2178655000444,355.709370175924
9,141.09503258560215,"[2.5646907157233443, 0.21478683700748535, 2.8898085339270807]",[ 0.35761117  0.03944882 10.40603311],"[np.float64(-4.039090807858785), np.float64(-2.6615392400612494)]",[4.03909081 2.66153924],288.1900651712043,298.491231181867
10,161.2245450406045,"[1.662822894825482, 0.7726838906703447, 7.349195382720829]",[0.73721003 0.10810218 2.33921892],"[np.float64(-3.3393063338963747), np.float64(-3.685561590547621)]",[3.33930633 3.68556159],328.449090081209,338.903480881681
