participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,159.2014946229271,"[1.384589950868754, 0.348609560971204, 12.13317198474903, 23.965850804829874, 0.0005226666295797567]","[3.51616434e+00 1.00000000e-04 1.00000000e-04 2.56475074e-02
 1.00000000e-02]",328.4029892458542,345.88883037232023
2,168.56098609958178,"[1.1819433555321412, 0.7824376946436584, 4.619044769470789, 16.847531438478278, 0.003926707436954263]","[3.96529184e-02 2.63558041e-01 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",347.12197219916357,364.6078133256296
3,84.11792162640978,"[4.39930968756868, 0.21470515123373018, 23.53107228962228, 19.77417968871085, 0.005079711613995988]","[2.23237524e-01 5.03385414e-02 2.39999000e+01 2.02488649e+01
 4.46955434e-03]",178.23584325281956,195.7011504695223
4,168.28873617847862,"[1.2180965921659912, 0.29840797937762115, 21.246094621432057, 7.3897922519230965, 0.00817646122717194]","[1.02464016e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01
 1.00000000e-02]",346.57747235695723,364.10413003661904
5,165.0486712717883,"[2.781176541501141, 0.0625563024417993, 13.06219010258976, 21.73654271881513, 0.0085685484782972]","[1.11429584e-01 9.99900000e-01 2.92235449e+00 1.00000000e-04
 0.00000000e+00]",340.0973425435766,357.5831836700426
6,169.12791205662796,"[3.401302755765337, 0.8114924534783254, 10.01272983758354, 13.163819639668601, 0.008863943998150901]","[4.99990000e+00 9.99900000e-01 1.70722419e+00 1.48956795e+01
 1.00000000e-02]",348.2558241132559,365.76211516597954
7,137.78951503377107,"[2.5749090998751587, 0.5757147611897534, 2.7443552838196754, 17.50960724654786, 0.006559166349543701]","[4.58857427e+00 2.39337785e-04 4.53831063e+00 4.53361037e+00
 6.28566510e-03]",285.57903006754213,302.7476400853133
8,159.37483979634408,"[0.2479680170912234, 0.5002309168169208, 2.7475411245631873, 5.2638540861259075, 0.0015174594989643864]",[0.78570119 0.12428541 2.04105925 1.08808548 0.        ],328.74967959268815,346.17366426014144
9,165.57742955073368,"[3.978391081585303, 0.4021248142393064, 6.864737873316007, 3.4580188074988105, 0.0026178680853041324]","[4.66647042e+00 1.00000000e-04 1.10865646e+00 1.11088792e+00
 0.00000000e+00]",341.15485910146737,358.5995477322508
10,155.29005266175935,"[4.952960443503911, 0.7630141734662139, 18.872116570273395, 6.285916327104788, 0.005808487092865976]","[4.95094199e+00 7.64795651e-01 1.88721166e+01 6.28591633e+00
 5.59038392e-03]",320.5801053235187,337.7487153412899
