participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,165.22682410033272,"[2.9931149310265077, 0.05839934886900337, 0.15662484595050544, 0.0476323367000987, 0.5652798344508077]",[2.99311493 0.05839935 0.60360358 0.40909092 0.56527983],340.45364820066544,357.93948932713147
2,146.2104728308712,"[2.7435699678526406, 0.5212009500013135, 0.9250849485840151, 0.13895551745755805, 0.06840493169698357]",[2.74356997 0.52120095 0.73529413 0.29787236 0.06840493],302.4209456617424,319.9067867882084
3,100.63993853115403,"[1.3752092733896943, 0.8710400658469789, 0.3973931007287975, 0.29799913465837086, 0.7455545876796518]",[1.37520927 0.87104007 0.88495573 0.17054264 0.74555459],211.27987706230806,228.7451842790108
4,171.0051998391867,"[1.8881986532625568, 0.8514183279019146, 0.15613877473658877, 0.12991502852884695, 0.9872982188841217]",[1.88819865 0.85141833 0.50892856 0.47368425 0.98729822],352.0103996783734,369.5370573580352
5,167.7860678448822,"[1.4354094383406746, 0.37589501471095094, 0.20532503094246463, 0.732752665146565, 0.4440953197845022]",[1.43540944 0.37589501 0.57547169 0.44525546 0.44409532],345.5721356897644,363.05797681623045
6,167.81926390224453,"[1.3170420600286632, 0.7232307681439591, 0.7091265560100722, 0.887146883514382, 0.48164070149854626]",[1.31704206 0.72323077 0.54310342 0.40625    0.4816407 ],345.63852780448906,363.14481885721267
7,153.50359925327052,"[1.2201598320506004, 0.9958315767543394, 0.11601523200875627, 0.7590184045788566, 0.3841428591201701]",[1.22015983 0.99583158 0.53488374 0.35915493 0.38414286],317.00719850654104,334.17580852431223
8,147.83493496878802,"[3.4418309223196646, 0.9146468155158946, 0.8239825297353386, 0.37811930869443855, 0.48955999677051315]",[3.44183092 0.91464682 0.71666667 0.31666667 0.48956   ],305.66986993757604,323.0938546050293
9,168.04857689366423,"[3.1165726690882813, 0.5674016751792084, 0.9110940226865056, 0.9397952608504861, 0.2023158122044077]",[3.11657267 0.56740168 0.45714286 0.50000001 0.20231581],346.09715378732847,363.5418424181119
10,156.93210634916866,"[4.412953079665699, 0.2851010654796931, 0.5264270299733625, 0.7705432197420415, 0.2353739415011081]",[4.41295308 0.28510107 0.54629628 0.40833334 0.23537394],323.8642126983373,341.0328227161085
11,164.2437526513076,"[3.908398414761316, 0.07636975742340008, 0.3055934187927407, 0.8318724438360385, 0.10111524712829868]",[3.90839841 0.07636976 0.6320755  0.45925927 0.10111525],338.4875053026152,355.93219393339865
12,137.6676092866454,"[3.4203678855943442, 0.7695848108993945, 0.6410782471986288, 0.36413409490531934, 0.19590120340701456]",[3.42036789 0.76958481 0.73636365 0.24427481 0.1959012 ],285.3352185732908,302.7799072040742
13,166.6370716676544,"[0.9829677218075102, 0.421551820046991, 0.05132458242321992, 0.02484636181276019, 0.6767028135312062]",[0.98296772 0.42155182 0.63970587 0.40707963 0.67670281],343.2741433353088,360.88144792462003
14,129.53488614488472,"[1.0487299916343282, 0.84483318696747, 0.42079172495939804, 0.8662021345557799, 0.47265642283698234]",[1.04872999 0.84483319 0.82653062 0.25170069 0.47265642],269.06977228976945,286.59642996943126
15,160.73033023706176,"[1.8966886186134257, 0.2158346811080005, 0.11652453382799637, 0.7952780032846448, 0.52083720172428]",[1.89668862 0.21583468 0.51515151 0.51145038 0.5208372 ],331.46066047412353,348.6727490267325
16,157.3267317361798,"[2.9652752586374063, 0.08383700562892574, 0.7862617832722574, 0.518785365571762, 0.20688960623855976]",[2.96527526 0.08383701 0.44444445 0.48031494 0.20688961],324.6534634723596,341.7782135597666
17,157.49360194279234,"[0.5037113919533535, 0.9784574847699944, 0.42440189469146, 0.8879872373097294, 0.3247626097941956]",[0.50371139 0.97845748 0.48958334 0.34532372 0.32476261],324.9872038855847,342.3063629107127
18,129.04332146646644,"[1.2183589949150222, 0.9764873015156456, 0.8045242593117014, 0.21236080201717272, 0.49163516284331243]",[1.21835899 0.9764873  0.81196581 0.25599998 0.49163516],268.0866429329329,285.5519501496356
19,153.1344868952737,"[0.9221618883117857, 0.4597343783158583, 0.4848024879668704, 0.9026768855237215, 0.8545816737334503]",[0.92216189 0.45973438 0.6804124  0.31506847 0.85458167],316.2689737905474,333.75481491701345
20,156.6740031845617,"[3.2343815257388426, 0.8285218774185541, 0.6720724652584688, 0.3021142294734392, 0.7865814551528345]",[3.23438153 0.82852188 0.66666667 0.39682542 0.78658146],323.3480063691234,340.7093597374808
21,166.17334428793157,"[1.7226512567622128, 0.23216977909969347, 0.6402843626218868, 0.041591218133557796, 0.47705031631124123]",[1.72265126 0.23216978 0.61206895 0.49206348 0.47705032],342.34668857586314,359.8119957925659
22,169.1035143997646,"[4.128905125413269, 0.8946299484174366, 0.5234241861063027, 0.764265332876416, 0.05293398574757776]",[4.12890513 0.89462995 0.51785714 0.54961835 0.05293399],348.2070287995292,365.69286992599524
23,144.5764504128647,"[4.459473866404252, 0.826441915952385, 0.0507464872120737, 0.787259276683903, 0.8931514369308474]",[4.45947387 0.82644192 0.75000002 0.28947368 0.89315144],299.1529008257294,316.659191878453
24,163.7831890791462,"[4.9881766559001814, 0.32621302999677715, 0.05719978327494766, 0.5220636339126142, 0.09676598642919769]",[4.98817666 0.32621303 0.51063833 0.41958043 0.09676599],337.5663781582924,354.9277315266498
