participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,164.07464839820048,"[3.39490475589224, 0.7363271130230655]",[0.9742595 0.724054 ],"[np.float64(0.1601288191368059), np.float64(0.008976840848341201)]",[0. 0.],332.14929679640096,339.14363324698735
2,148.44843380840584,"[3.5819776368707115, 0.9014263305932098]",[1.51473699 0.9999    ],"[np.float64(1.3857906625377324e-21), np.float64(0.07046422729808059)]",[0. 0.],300.8968676168117,307.89120406739806
3,173.2841016035145,"[4.266210380949432, 0.9745240136194041]",[0.00198385 0.0001    ],"[np.float64(25.53662301367223), np.float64(19.888175024626534)]",[0. 0.],350.568203207029,357.6031089999584
4,85.97033054024378,"[3.9363750726112716, 0.5409271170953383]",[0.66399258 0.07878495],"[np.float64(0.39787279079986004), np.float64(2.6338940945295324)]",[0. 0.],175.94066108048756,182.92678396716866
5,168.00951092903864,"[0.27398540172605507, 0.2252229432769035]",[0.07022403 0.0001    ],"[np.float64(26.708174611416435), np.float64(16.04913193164991)]",[0. 0.],340.0190218580773,347.029684929942
6,167.68315786221802,"[0.23879894172884725, 0.6080219759272684]",[0.50382365 0.62479482],"[np.float64(0.02251599688700015), np.float64(0.13287949152158257)]",[0. 0.],339.36631572443605,346.36065217502244
7,168.10989781187044,"[2.49715681984076, 0.4152223122803404]",[0.80152675 0.95417127],"[np.float64(0.04239656112055301), np.float64(0.001119601348928122)]",[0. 0.],340.2197956237409,347.22231204483035
8,169.6971644747652,"[4.131172759116834, 0.8787440847636321]",[0.11102976 0.21065844],"[np.float64(0.6195953708813599), np.float64(0.41965098968008907)]",[0. 0.],343.3943289495304,350.3886654001168
9,143.90086948460342,"[1.7213098772407984, 0.848149888361603]",[0.27949029 0.04859689],"[np.float64(1.4592543967779052), np.float64(3.1255278256504884)]",[0. 0.],291.80173896920684,298.6691829763153
10,141.83241949239783,"[4.277233680173731, 0.3563841151803642]",[0.81359824 0.30648933],"[np.float64(0.4274906617402549), np.float64(0.11288562135572425)]",[0. 0.],287.66483898479567,294.634432851777
11,159.7619952989711,"[4.17399727025117, 0.6273460943745964]",[1.13758279 0.99804905],"[np.float64(0.00027143479429161786), np.float64(0.08644018510959828)]",[0. 0.],323.5239905979422,330.5346536698069
12,168.42290700370032,"[0.16770903277385488, 0.7900884558520499]",[0.02993383 0.06794308],"[np.float64(1.1882987191774945), np.float64(1.915618774852284)]",[0. 0.],340.84581400740063,347.823689459714
13,162.18421805620522,"[0.43768861836157336, 0.5254975923782544]",[0.32796544 0.04762688],"[np.float64(2.0055836743720787), np.float64(2.940481061661539)]",[0. 0.],328.36843611241045,335.37909918427516
14,161.2113015011235,"[1.6104788297335866, 0.8209264903309942]",[0.55378498 0.19464204],"[np.float64(1.0632440336574545), np.float64(0.35530312462673586)]",[0. 0.],326.422603002247,333.40047845456036
15,124.98882791221575,"[4.944861243787401, 0.18978456765009638]",[0.28474667 0.053812  ],"[np.float64(1.2702403967887763), np.float64(4.617303823977524)]",[0. 0.],253.9776558244315,260.95553127674486
16,168.43761938838904,"[1.9900394614573262, 0.6243224978517606]",[0.83215554 0.9999    ],"[np.float64(0.44483192460901194), np.float64(1.4615610257691937e-17)]",[0. 0.],340.8752387767781,347.91816061250256
17,141.1976439626885,"[4.684903297060807, 0.9916630174704903]",[1.21476474 0.63755787],"[np.float64(0.011063465975243148), np.float64(0.30043740544707254)]",[0. 0.],286.395287925377,293.4059509972417
18,160.59034719809966,"[4.183672476398976, 0.8660725470973487]",[0.03075231 0.00269691],"[np.float64(16.148777712824554), np.float64(17.713231258193662)]",[0. 0.],325.1806943961993,332.0655298172429
19,158.02465873012147,"[2.8631791335294468, 0.7064963339580682]",[0.05389685 0.3191683 ],"[np.float64(0.10693856199431173), np.float64(0.4231100502388218)]",[0. 0.],320.04931746024295,326.89921749520573
20,143.4428558530592,"[3.0780172167942985, 0.9972376866403643]",[0.17653775 0.02012721],"[np.float64(4.1245953049113675), np.float64(9.565733182768401)]",[0. 0.],290.8857117061184,297.81337531616964
21,112.03865561404704,"[3.1699021757103476, 0.6777464594504636]",[0.81364449 0.12350425],"[np.float64(0.4833143481632315), np.float64(1.857034566964774)]",[0. 0.],228.0773112280941,235.0634341147752
