participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,169.3864625330476,"[4.23576753534711, 0.043236480828826404]",[0.47658756 0.96616999],[0.14333355 0.03378735],[0. 0.],342.7729250660952,349.7672615166816
2,168.27611062045824,"[4.5583155340576536, 0.5027411339531678]",[1.44913814 0.15347768],[0.17531471 0.13735223],[0. 0.],340.5522212409165,347.54655769150287
3,172.85668755094952,"[1.1607745076921268, 0.4554803768273537]",[2.84787655 0.004658  ],[0.36142721 0.36087904],[0. 0.],349.71337510189903,356.74828089482844
4,145.89889532357446,"[0.6241286529392516, 0.2843802302174062]",[2.12206687 0.23476183],[0.20302748 0.26304842],[0. 0.],295.79779064714893,302.78391353383
5,170.62112155841172,"[0.6258804158780974, 0.03748215330791678]",[1.54820766 0.02196987],[0.22133531 0.18639988],[0. 0.],345.24224311682343,352.25290618868814
6,169.0514759995447,"[1.9171572237691403, 0.7554698535575342]",[4.99990000e+00 4.17043829e-04],[0.48677534 0.48708455],[0. 0.],342.1029519990894,349.0972884496758
7,170.03946609472317,"[4.491736402650995, 0.3406077108021147]",[4.99990000e+00 2.37961178e-04],[0.49028326 0.48998789],[0. 0.],344.07893218944633,351.0814486105358
8,169.82105942347084,"[4.838105260353593, 0.8186350102629865]",[0.0001 0.0001],[0.49652062 0.49671725],[0. 0.],343.6421188469417,350.6364552975281
9,158.42348242663567,"[4.359754209369391, 0.7541125986626399]",[0.54600775 0.9999    ],[0.1235036  0.47291563],[0. 0.],320.84696485327134,327.7144088603798
10,159.2978982918177,"[0.30627410627302676, 0.22971079209706136]",[1.39701762 0.36453267],[0.18506653 0.12223427],[0. 0.],322.5957965836354,329.5653904506167
11,171.2073586449107,"[0.7920628424887488, 0.9646888432350761]",[0.0001 0.0001],[0.49788673 0.49520308],[0. 0.],346.4147172898214,353.4253803616861
12,168.43476530252673,"[3.3993086876714522, 0.002593127729690416]",[0.0001 0.0001],[0.49580642 0.49673393],[0. 0.],340.86953060505346,347.8474060573668
13,169.16859018764228,"[0.709060939994621, 0.07218307610397935]",[1.96763232 0.06638667],[0.26355911 0.20599052],[0. 0.],342.33718037528456,349.3478434471493
14,168.38745686520863,"[0.7444674404713338, 0.3076218455632067]",[0.28451632 0.37644322],[0.25186128 0.20026042],[0. 0.],340.77491373041727,347.7527891827306
15,163.2472990177598,"[0.8645837079662203, 0.49696362352032614]",[1.104022   0.46496136],[0.23245708 0.27186255],[0. 0.],330.4945980355196,337.47247348783293
16,173.08156729045297,"[1.4839328714054778, 0.9065319812459971]",[2.2136091  0.02491082],[0.26892397 0.25151372],[0. 0.],350.16313458090593,357.2060564166304
17,171.2073587152243,"[2.3173809903196, 0.2543641672014657]",[0.0001 0.0001],[0.49797903 0.49636415],[0. 0.],346.4147174304486,353.4253805023133
