participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,164.14486043141082,"[0.3313497509905079, 0.4207752329958163]",[1.75295025 0.02678509],332.28972086282164,339.284057313408
2,168.92647872667246,"[0.03198875480935706, 0.12410864388355948]",[0.32628667 0.21180261],341.8529574533449,348.8472939039313
3,90.45632715373688,"[1.0335515619177582, 0.484201806535511]",[1.81155477 0.03451361],184.91265430747376,191.89877719415486
4,167.37482061923387,"[4.3084914363995335, 0.7811521747863396]",[4.99990000e+00 1.06579429e-04],338.74964123846775,345.76030431033246
5,168.74886327232136,"[0.6134416447812946, 0.81223922938371]",[0.24358977 0.9999    ],341.4977265446427,348.4920629952291
6,169.59988106314321,"[0.5880096896774695, 0.8672985576412604]",[0.19539176 0.9999    ],343.19976212628643,350.2022785473759
7,144.52059014143524,"[3.0135441721118275, 0.40264100223984955]",[2.41463748 0.01515169],293.04118028287047,299.90862428997895
8,160.97430395072905,"[3.388080474077649, 0.9803675278565506]",[1.06503964 0.23649094],325.9486079014581,332.9182017684394
9,167.74161816848564,"[3.702843649795743, 0.24116272914709114]",[0.0001 0.0001],339.4832363369713,346.46111178928464
10,157.9834258599167,"[0.06764617832283218, 0.8351685159448328]",[0.38075663 0.67610276],319.9668517198334,326.8342957269419
11,161.99128711601807,"[3.362429385540454, 0.9802293247245732]",[1.19728187 0.0129395 ],327.98257423203614,334.9604496843495
12,122.4927361762577,"[3.7432045042491393, 0.05874864567587635]",[1.51925689 0.03516965],248.9854723525154,255.96334780482877
13,172.44027562415485,"[0.5329052364731262, 0.609110662513721]",[0.69125617 0.24156618],348.8805512483097,355.9234730840342
14,138.7944254951974,"[3.7014769812340624, 0.6170679023377589]",[1.55003969 0.06771021],281.5888509903948,288.5995140622595
15,159.92697703438085,"[1.1240814090717834, 0.1410738805215547]",[1.28189317 0.0099296 ],323.8539540687617,330.7387894898053
16,157.34441032557226,"[0.5059567821205664, 0.6014636031168579]",[0.0001 0.0001],318.6888206511445,325.5387206861073
17,143.30800389072604,"[0.15354663025345164, 0.27326811199341267]",[2.50780146 0.00456326],290.6160077814521,297.5436713915033
18,106.66283822825336,"[4.753392797166616, 0.22619956191384658]",[1.78331954 0.04703528],217.32567645650673,224.31179934318783
19,149.66402835727902,"[0.7278095758890113, 0.4330639698924775]",[3.05921479e+00 2.18544753e-03],303.32805671455804,310.32239316514443
20,164.96902921691057,"[4.871584698543706, 0.4261048128962085]",[0.0001 0.0001],333.93805843382114,340.8825997811641
21,165.6240645813431,"[3.4226608296475702, 0.5361579102127233]",[1.72246431 0.01805781],335.2481291626862,342.2342520493673
22,168.70092336648614,"[0.0009061760971213769, 0.8472236838175154]",[0.23782711 0.9999    ],341.4018467329723,348.39618318355866
23,162.99442678108406,"[4.335792126597986, 0.23648508470921858]",[4.99990000e+00 1.40998214e-04],329.9888535621681,336.9913699832576
24,164.62745829216888,"[2.201527659133264, 0.6199541451140511]",[0.44047483 0.12675517],333.25491658433776,340.19945793168074
25,168.39391145139666,"[1.6826074692030162, 0.06786001674259252]",[0.89493373 0.11104703],340.7878229027933,347.7821593533797
26,169.60539586122115,"[0.2995362224612401, 0.6570209364093795]",[0.48433441 0.60825868],343.2107917224423,350.221454794307
27,154.8357245353982,"[3.0019834766271716, 0.3517172328961876]",[1.70106259 0.01546498],313.6714490707964,320.6739654918859
28,170.36058096307636,"[3.8828315878866717, 0.3765765200041387]",[4.94627666e+00 1.00000000e-04],344.7211619261527,351.73182499801743
29,161.35126720490553,"[3.8469932889626537, 0.7014640142993236]",[1.96992283 0.01149668],326.70253440981105,333.71319748167576
30,169.0077407768982,"[4.318496446493105, 0.23203490526978354]",[1.14384027 0.03338337],342.0154815537964,349.04233904612636
31,161.3153058473031,"[3.4767914852005024, 0.45094280375327944]",[1.51401981 0.02663834],326.6306116946062,333.60020556158753
32,166.34091927174785,"[3.1729537415641684, 0.6450686938671082]",[1.55836241 0.02411457],336.6818385434957,343.70869603582565
33,156.83641072919764,"[2.7492518058017392, 0.17197316680249117]",[1.5549845  0.05057437],317.6728214583953,324.68348453026
34,171.01195735140516,"[4.9674721038040435, 0.9104475241421315]",[0.19211068 0.9999    ],346.0239147028103,353.0426913760663
35,161.3730803691618,"[0.8997276055437157, 0.3432357805577526]",[0.75087398 0.09835025],326.7461607383236,333.67382434837486
36,77.70261524856508,"[2.2846468096010706, 0.4780479913875673]",[1.87854335 0.03658639],159.40523049713016,166.32440152541847
37,145.88951925490267,"[4.574182237141575, 0.9389673999350628]",[2.29562056 0.00738988],295.77903850980533,302.78970158167004
38,171.89931636069446,"[0.027888545975874177, 0.2217332383499165]",[0.0387748  0.10481903],347.7986327213889,354.82549021371887
39,125.2839558464085,"[1.0672233225083687, 0.8489438052402858]",[2.22263354 0.02383325],254.567911692817,261.4699885999484
40,14.938644888918413,"[2.7250836547965216, 0.5167467770743747]",[2.15067215 0.08855299],33.87728977783682,40.8551652301502
