participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,160.3685106040664,"[4.658014522224936, 0.3699833621381279, 1.3982467222140649, 0.1276047168255407]",[2.52911760e+00 7.42495090e-04 3.00000000e-01 5.21342319e-01],[70.56767263 45.71605507],[0.70197707 0.55138807],328.7370212081328,342.7256941093056
2,148.3747517540638,"[2.1909315962459526, 0.07338906675303583, 7.005922560950721, 0.24988999300831088]",[0.84331862 0.9999     0.3        0.97749604],[4.90016010e-21 3.00047006e-01],[3.53776503 4.25811997],304.7495035081276,318.7381764093004
3,171.88108023696785,"[2.3704507413315326, 0.07017138595906267, 1.7329342039749929, 0.7947509591246218]",[2.57625403e+00 4.31804429e-04 3.00000000e-01 1.40904935e-01],[73.26488998 55.99591004],[0.48520118 0.48141359],351.7621604739357,365.8319720597945
4,82.58086458525209,"[4.715415103871451, 0.4224711040340916, 0.5444542009073631, 0.3115733058667604]",[4.95982664 0.07995592 2.41265564 0.78331785],[0.9633219  7.21479401],[3.5918361  3.29134423],173.16172917050417,187.13397494386638
5,167.84866837830447,"[4.645133518840476, 0.27664424337806565, 13.185336785625287, 0.05560142338197807]",[ 4.8386708   0.09966234 13.18968529  0.14716585],[4.44389318 0.8662946 ],[4.02560903 4.64699543],343.69733675660893,357.71866290033836
6,165.249544345559,"[3.5712168683795844, 0.37223908014432733, 21.588654588781207, 0.6275536041732923]",[0.32683195 0.69219838 0.3        0.58691555],[0.05054529 0.16484782],[4.4030728  1.24072976],338.499088691118,352.48776159229084
7,167.70720359886997,"[4.142408446396459, 0.753747414732053, 15.43805789783524, 0.23079205767268135]",[0.33693399 0.60272111 0.3        0.9999    ],[0.34231585 0.13624347],[5.322801   2.44799361],343.41440719773993,357.41944003991887
8,166.43195812935798,"[1.9733697084754782, 0.4994851509769314, 3.2192818577989906, 0.6414562223536401]",[2.99176046e+00 2.32701720e-04 1.03109743e+00 2.35525394e-01],[59.26217322 71.87581041],[1.08961377 1.10097679],340.86391625871596,354.8525891598888
9,140.86276752035687,"[3.968189285179844, 0.44642074968105055, 9.175877677180168, 0.7284936225757137]",[3.10569166e+00 1.00000000e-04 8.44645536e+00 3.10938752e-01],[43.70813502 78.52552174],[8.41284062 8.35722352],289.72553504071374,303.4604230549307
10,144.41024671725324,"[3.6484711348081182, 0.142869306518013, 3.1271441160352498, 0.9994675709625078]",[0.57215629 0.29396831 0.3        0.81740679],[1.34548341 0.46955236],[3.5073055  4.20715599],296.8204934345065,310.7596811684691
11,158.90982807167157,"[1.714605760896599, 0.3082167542170684, 8.99523484550276, 0.6459357578303334]",[ 0.7130965   0.89001315 23.9999      0.93090006],[0.01761134 0.32665495],[1.37784052 3.756062  ],325.81965614334314,339.84098228707256
12,167.7549097484141,"[1.8593675972863137, 0.8718181066135251, 4.319591058678979, 0.4540266496612699]",[4.38162938e+00 1.00000000e-04 2.50638164e+00 1.00000000e-04],[65.26492191 63.8957747 ],[2.5178139 2.5196791],343.5098194968282,357.46557040145495
13,157.03982479637716,"[2.159724757470571, 0.46309665280025897, 9.520998913955504, 0.9878521130634962]",[1.06124511 0.02925599 0.3        0.25212454],[ 6.48085672 11.53738594],[3.26807048 3.1954159 ],322.0796495927543,336.10097573648375
14,155.9509613545209,"[0.12311182888408191, 0.05776677434502066, 3.520404025812808, 0.16227765494821228]",[1.71962962 0.01943892 2.08671102 0.4851354 ],[18.13650758 10.36663484],[3.50331486 3.19598304],319.9019227090418,333.85767361366857
15,114.70657306212783,"[2.6567525260263616, 0.906509826088365, 15.99204637075059, 0.9386614132077205]",[3.21816466e+00 2.61695392e-04 3.00000000e-01 7.69805147e-01],[ 21.52476546 113.67403824],[0.3290773  0.41313727],237.41314612425566,251.3688970288824
16,166.56799214666185,"[2.3551848458271243, 0.454280416225738, 1.4212976201769185, 0.944012024199806]",[ 0.55854389  0.9999     16.07756185  0.91270043],[5.20028012e-01 3.80000000e-17],[1.16926758 2.60094781],341.1359842933237,355.2218279647727
17,130.72870458401223,"[3.327186374754247, 0.009804093640975155, 8.375221110704645, 0.5314040505309016]",[ 0.92557823  0.6785078  23.9999      0.9999    ],[0.01800018 0.6689083 ],[2.48053094 2.43927689],269.45740916802447,283.4787353117539
18,159.68690326726292,"[4.152945958270535, 0.8960096023403292, 7.082447329365192, 0.5188670686187142]",[7.38757191e-02 4.75192999e-02 2.39999000e+01 1.00000000e-04],[5.92342124 5.03727736],[3.57409189 3.03807685],327.37380653452584,341.143477376613
