participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,161.99295457177064,"[2.3035237612687176, 0.09803602084630877, 21.484510045887422, 0.7921541466863324]",[3.22933773e+00 4.01383863e-03 2.07490590e+01 6.21830827e-01],[0.50180795 0.51131268],[13.08259794 15.66111942],331.9859091435413,345.9745820447141
2,168.88610038982165,"[2.935291485171119, 0.09726679249406413, 1.1796986754956336, 0.7137786799142228]",[4.99990000e+00 5.65469500e-04 3.00000000e-01 6.28779551e-01],[0.5082632 0.4992218],[0.54634726 0.49364033],345.7722007796433,359.76087368081613
3,172.72198879091872,"[3.8275785789352854, 0.12080019203610147, 15.685641733371003, 0.29330660739059633]",[ 0.59056232  0.1822962  14.92992747  0.9999    ],[0.44155576 0.46698887],[2.50586109 2.76802866],353.44397758183743,367.51378916769625
4,78.17310701654975,"[1.8820750831893613, 0.5947396780450028, 1.1175172111595366, 0.4008579611787013]",[4.44804099 0.01588616 2.63481891 0.89537323],[0.49804858 0.60806539],[3.2837352  3.51397212],164.3462140330995,178.3184598064617
5,166.6561302569382,"[3.755778733916612, 0.30799264406625215, 14.481269293525047, 0.7663437150203197]",[ 4.58493065  0.03373997 14.75250042  0.10120267],[0.59457014 0.49753154],[4.45795236 4.78353988],341.3122605138764,355.33358665760585
6,165.67078186925764,"[0.15790162605526714, 0.05991806758787857, 16.867760450084965, 0.6438481025430949]",[0.19370786 0.9999     2.83697925 0.42514948],[0.350018 0.060028],[5.09683398 0.9800807 ],339.3415637385153,353.3302366396881
7,170.10637554858914,"[3.4909729376467706, 0.9717855888438064, 4.751235370799315, 0.29854681363670843]",[0.23878103 0.9999     0.3        0.93972191],[0.180018 0.570006],[4.48029599 1.09017603],348.2127510971783,362.2177839393572
8,169.33159067993924,"[4.917991657296806, 0.6500630693276183, 21.294909226112793, 0.47660166177920793]",[ 0.27261298  0.9999     21.29359784  0.9999    ],[0.439989 0.430004],[3.82490719 2.78684991],346.6631813598785,360.6518542610513
9,140.1381359079618,"[1.9948578855454144, 0.09690829889924711, 3.5950169239695833, 0.8092214690797213]",[3.11845186e+00 2.90296998e-03 2.39999000e+01 4.51325848e-01],[0.52493329 0.49595025],[20.32111255 16.0825725 ],288.2762718159236,302.01115983014057
10,159.0308768419156,"[0.6371121714651419, 0.47970473867954194, 4.245605777840755, 0.9370169577768706]",[1.16306633 0.16759203 0.3        0.67927146],[0.56005397 0.52989486],[3.40418847 3.9122303 ],326.0617536838312,340.00094141779385
11,155.16469688452415,"[0.1472161491227772, 0.5700748389250301, 9.420903795171382, 0.6060760370362056]",[4.72487499 0.00595894 3.92194882 0.36204673],[0.55438099 0.49356662],[3.54843283 3.39251194],318.3293937690483,332.3507199127777
12,167.7546062591766,"[3.3348692687376618, 0.8559497411744107, 8.350900484268278, 0.6763992490796406]",[4.38172297e+00 1.00000000e-04 2.50647649e+00 1.00000000e-04],[0.49995627 0.50091398],[2.51790751 2.51977291],343.5092125183532,357.46496342297996
13,159.67179595573458,"[2.974528073044791, 0.8454025360537036, 2.130293088545925, 0.9706853376919168]",[3.45060044 0.0183895  2.08344501 0.562586  ],[0.53682435 0.50148684],[3.24157166 3.13579439],327.34359191146916,341.3649180551986
14,158.14731966064716,"[1.379482643466184, 0.8027904908942671, 11.0496690958848, 0.30892106805960007]",[4.89998323e+00 2.69019385e-04 3.22391773e+00 8.86231649e-02],[0.50359815 0.50015493],[3.22879654 3.2280589 ],324.2946393212943,338.2503902259211
15,116.59265883326083,"[0.21013690978090552, 0.9398685957615683, 21.91435282009837, 0.19673656673281387]",[ 0.54293871  0.06142652 23.9999      0.33072008],[0.49046453 0.61938082],[4.19999235 2.27193465],241.18531766652166,255.1410685711484
16,172.16214280423387,"[0.8210216455328878, 0.15225240242236512, 1.1578123013001376, 0.8634245643177656]",[ 0.78247168  0.22245788 23.9999      0.84523237],[0.55352278 0.42736246],[2.46531232 2.41286966],352.32428560846773,366.4101292799167
17,138.39828644967992,"[3.3335073598009766, 0.7664787577117849, 20.37519175815149, 0.27019764060510276]",[ 0.28575257  0.12450352 23.9999      0.21059607],[0.47774375 0.44779412],[2.91690142 2.74006253],284.79657289935983,298.81789904308926
18,159.44303322262985,"[4.231510265242131, 0.8215608762084667, 10.076957191903098, 0.20490637588911073]",[0.40488444 0.73799443 0.3        0.79428615],[0.24651016 0.47308205],[6.44884075 3.87118196],326.8860664452597,340.6557372873469
19,156.88395373154714,"[3.721206537144891, 0.717021993728122, 4.026589031378895, 0.05333356647302126]",[4.44939979e-02 9.99900000e-01 3.00000000e-01 1.00000000e-04],[0.639958 0.619998],[7.2395791  2.31997525],321.7679074630943,335.4677075330199
20,138.27683691660684,"[4.436618080894934, 0.28854752683570806, 15.589288097415949, 0.44066394706488354]",[3.12346340e+00 1.34161823e-03 2.39999000e+01 4.48169508e-01],[0.50946764 0.49900589],[22.14203695 19.65661616],284.5536738332137,298.4090010533161
21,103.55545336251406,"[1.2414414147581003, 0.2491398126689639, 3.7168660187633864, 0.46715965293135614]",[ 0.67396545  0.0894478  23.9999      0.24454627],[0.51093068 0.73448285],[3.96022306 3.12185575],215.11090672502812,229.08315249839032
22,141.11888886853504,"[3.483898394923092, 0.9470114853806527, 10.041581446966347, 0.580520140201458]",[4.86416101e+00 2.15928043e-04 3.35960278e+00 1.00000000e-04],[0.50144539 0.49971623],[3.35788928 3.35453835],290.2377777370701,304.2264506382429
23,165.11034867629368,"[0.07209690869623461, 0.28553867914335446, 11.211746904393818, 0.7632449456276929]",[1.03853063e-01 1.43920709e-01 3.00000000e-01 1.00000000e-04],[0.50366663 0.57845251],[3.77017967 4.53425697],338.22069735258737,352.10978004727326
24,158.64299350312487,"[1.0604674888209449, 0.8190261491305166, 12.897471798511136, 0.42222733270969237]",[4.91214358e+00 1.08217928e-03 3.04521226e+00 4.15043537e-01],[0.4993516 0.5085043],[3.16451066 3.18700488],325.28598700624974,339.30731314997917
25,164.70863992827475,"[2.5866041050348896, 0.08903201519332371, 9.365287437018909, 0.9621513992608198]",[3.95504094e+00 1.20749306e-03 9.89104674e+00 8.69203761e-01],[0.50808183 0.50069835],[8.95196467 9.1461678 ],337.4172798565495,351.3895256299117
26,149.05828628198552,"[3.1087468755223746, 0.45803680553769066, 10.33970566868926, 0.5223572935318329]",[3.88586566e+00 8.06297527e-04 1.05855012e+01 4.30528050e-01],[0.50100003 0.52048557],[10.06348536  9.61492311],306.11657256397103,320.08881833733324
