participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,54.80283036570006,"[1.8614648379297414, 0.009798579276856428, 8.218682180760275, 17.123457105344944, 0.7137860493367431, 0.7890198938115169]","[4.79052113e-02 1.00000000e-04 7.82906227e+00 1.74386553e+01
 4.72546175e-01 1.00000000e-04]",121.60566073140012,136.04597621498564
7,48.217661819064176,"[2.6045729849699213, 0.20178365469657072, 19.62619342415494, 6.819430353774215, 0.909204398549891, 3.8170008550816497]","[3.44034781e-02 1.00000000e-04 1.99141951e+01 6.53142860e+00
 1.00000000e-04 1.00000000e-04]",108.43532363812835,122.1780802850187
8,54.980331949458574,"[2.6832758156213843, 0.28292860173109224, 5.649413587921484, 13.973431117906543, 0.6592427818517467, 2.076804447456864]","[1.28244254e-01 1.00000000e-04 5.70421352e+00 7.67253615e+00
 1.00000000e-04 1.97416218e+00]",121.96066389891715,136.47370754569673
12,50.2577062757569,"[1.8027513951971588, 0.05525872722333571, 18.534925203028656, 9.119549927994589, 0.054117391988729634, 3.716054076234667]","[6.42903881e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.00000000e-04 1.00000000e-04]",112.5154125515138,127.0284561982934
13,51.96944872236607,"[2.5347731829545253, 0.281735546645606, 16.67133492973077, 19.98724619576426, 0.8673297200706502, 0.9584433062427188]","[2.86184778e-01 1.00000000e-04 1.46073382e+01 1.44870417e+01
 1.00000000e-04 1.00000000e-04]",115.93889744473213,130.30559237276677
14,54.522898363230624,"[3.7025770229262167, 0.2821587243511336, 20.78559821088125, 7.444180547203183, 0.2292491861569226, 1.8986448752659737]","[1.67524793e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 9.99900000e-01 2.29629012e+00]",121.04579672646125,135.48611221004677
17,51.05691262699477,"[2.6829965362332913, 0.6977562499822915, 23.110065639098874, 6.212316783265602, 0.3136544795199536, 2.0027626440014314]","[7.20782965e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.00000000e-04 1.00000000e-04]",114.11382525398955,128.48052018202418
34,50.22514395104978,"[4.701337402876729, 0.2683931061005977, 3.283047336828475, 9.402713485692013, 0.8028961883251166, 1.6218986075867188]","[6.07607385e-02 1.00000000e-04 1.52860706e+00 1.19553899e+01
 5.41217507e-01 4.99990000e+00]",112.45028790209956,126.8169828301342
37,52.20534692439863,"[3.859829989100708, 0.22415853533238295, 21.718471658504082, 3.2460006785370465, 0.6712646962701362, 3.3405976519334617]","[6.66315919e-02 1.00000000e-04 2.38233506e+01 1.18219971e+00
 9.99900000e-01 1.00000000e-04]",116.41069384879727,130.85100933238277
40,56.83806880591554,"[3.8969650579535067, 0.12938675812222325, 22.38152793093407, 11.838300338777815, 0.28544111558300606, 2.1130979319871077]","[4.99990000e+00 1.00000000e-04 2.39999000e+01 1.18383003e+01
 2.85441116e-01 2.11309793e+00]",125.67613761183108,140.1164530954166
41,52.9315931917679,"[2.61899828119604, 0.015447057304253577, 15.0390516809123, 5.839160851830569, 0.30133575044145966, 1.9594413003108846]","[5.49663941e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.00000000e-04 1.00000000e-04]",117.8631863835358,132.4480871765957
43,50.830757170311756,"[4.466075078412187, 0.6367380387009861, 22.246139150151194, 17.4183003323761, 0.5888673618811514, 1.4385627514719352]","[2.23071847e-01 1.00000000e-04 2.39999000e+01 1.55787421e+01
 9.99900000e-01 1.02218976e-01]",113.66151434062351,128.10182982420903
46,53.35435705010626,"[4.455416261868733, 0.5870399690122347, 17.142660506867998, 20.251372469757417, 0.23200840807656467, 1.35873787218506]","[8.52177458e-02 1.00000000e-04 1.70790267e+01 2.39999000e+01
 8.59092843e-01 3.36676055e-01]",118.70871410021252,133.0008739082558
47,55.29265084617017,"[3.3840931479189442, 0.25657809942634074, 12.023282086169823, 10.968058808520842, 0.5247059116904106, 2.0838099793967113]","[1.63105597e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 6.14684192e-01 4.99990000e+00]",122.58530169234034,137.09834533911993
56,53.97025518817692,"[2.5367405597668493, 0.10264260266213288, 0.9077608838080409, 16.34329756422359, 0.032407616414091914, 1.3952960367595415]","[7.16889132e-02 1.00000000e-04 1.84053087e+01 7.66639255e+00
 9.99900000e-01 2.45528194e-01]",119.94051037635384,134.38082585993936
