participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,56.483677430380745,"[2.7643302994246435, 0.19395823260034167, 21.156685086827682, 8.081689343639336]",[1.03360919e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01],120.96735486076149,130.5942318498185
7,49.90659700031707,"[1.8953556657992643, 0.9889849901895361, 10.867736530379833, 3.1592706870213685]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],107.81319400063414,116.9750317652277
8,55.74985610349012,"[0.9501000277052304, 0.025240351392730655, 5.248907166843371, 0.736749843722814]",[4.68173965e-02 1.00000000e-04 2.71101135e+00 5.80515471e+00],119.49971220698023,129.17507463816662
12,56.1449216253576,"[4.9385350807065365, 0.09052446529024155, 20.742843820019477, 8.673558810860891]",[ 4.93853508  0.09052447 20.74284382  8.67355881],120.2898432507152,129.96520568190158
13,54.7586272642377,"[4.486589774159093, 0.014354875325604064, 16.794710436565065, 3.234748484942814]",[4.48658977e+00 1.43548753e-02 1.67947104e+01 3.23474848e+00],117.5172545284754,127.09505114716517
14,54.909433733965166,"[2.45060368947199, 0.324674425397826, 11.860658069624296, 11.388377948322686]",[2.53760029e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04],117.81886746793033,127.44574445698734
17,56.14492162535559,"[3.028280977564674, 0.030066015849383856, 16.8596350423079, 3.670758800347933]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],120.28984325071119,129.86763986940093
34,52.94066413926264,"[0.5534598202364436, 0.9643377598184192, 17.78108702723336, 1.8239213132661842]",[4.79959157e-02 1.00000000e-04 2.11690630e+00 1.78922685e+01],113.88132827852527,123.45912489721503
37,56.144921625356595,"[3.2985642542435065, 0.026618117857878567, 16.43314501932454, 1.7458642948716594]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],120.28984325071319,129.9167202397702
40,55.45177444479765,"[3.2083315712534097, 0.21278143004933764, 22.602838443472322, 14.044726248113708]",[3.36985783e+00 1.00000000e-04 2.33686784e+01 1.32788408e+01],118.9035488895953,128.53042587865232
41,58.224363167035435,"[4.231980724434448, 0.03059593699749948, 19.308415677758227, 15.88214703556967]",[ 4.23198072  0.03059594 19.30841568 15.88214704],124.44872633407087,134.17199352944414
43,54.758627264238704,"[4.5835689809600115, 0.04721530945837362, 6.677566552552028, 0.04242138339713663]",[4.58356898 0.04721531 6.67756655 0.04242138],117.51725452847741,127.14413151753442
46,54.891554445660155,"[4.699096224298927, 0.3842105495318512, 0.9109883505275328, 23.970652446570547]",[1.44051204e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01],117.78310889132031,127.31121543001584
47,56.740907572487124,"[4.201997898939288, 0.521184771486717, 16.926654940837736, 12.613651099221974]",[1.18646998e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04],121.48181514497425,131.15717757616065
56,56.83592565921192,"[3.4876090413577656, 0.42328768070960454, 16.629989668643912, 8.443340122364145]",[2.74711060e-03 2.03028926e-01 2.39999000e+01 1.00000000e-04],121.67185131842383,131.29872830748084
