participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,55.04078521201552,"[1.3081256448182097, 20.69450678639712, 7.481800297565748, 0.007425770167163749]",[1.60771202e-02 0.00000000e+00 2.11550776e-02 2.39323813e+01],118.08157042403104,127.70844741308805
7,47.348422931062615,"[1.548420844390106, 0.5842529758105911, 15.061280814426935, 0.004884224866247794]",[4.18042838e+00 1.53216895e-06 7.16323430e+00 7.15954378e+00],102.69684586212523,111.8586836267188
8,57.140350648727946,"[1.3447652072750091, 12.372880592292539, 15.833065832620976, 0.008884689857033152]",[0.03034139 0.         9.21271471 3.43772019],122.28070129745589,131.95606372864228
12,46.018989633682935,"[0.7886283849059477, 5.405237443600688, 9.715316560916484, 0.007874955619645196]",[2.61905755e+00 1.06217593e-06 1.73327895e+01 1.72745739e+01],100.03797926736587,109.71334169855226
13,56.11975654858406,"[4.086132310109917, 20.63419594133995, 5.701433428414325, 0.0009663074963837581]",[4.16352943e-03 5.17468309e-03 2.39999000e+01 1.00000000e-04],120.23951309716811,129.81730971585787
14,55.1685655927959,"[0.6256101581260357, 4.871176612973723, 23.261098068131943, 0.007867257150807428]",[2.16986481e-02 8.58584442e-04 2.24048318e+01 1.00000000e-04],118.3371311855918,127.96400817464881
17,50.95735316493671,"[0.49324656237394965, 20.990164067788292, 22.60095449126373, 0.0017253650102789387]",[6.05995243e-02 1.00000000e-02 2.39978012e+01 1.00000000e-04],109.91470632987343,119.49250294856319
34,54.85640287438039,"[3.3313172553905015, 9.537702606518527, 6.166258705558981, 0.009773722780196855]",[1.73274341e-02 7.00847460e-04 1.00000000e-04 2.39998931e+01],117.71280574876079,127.29060236745055
37,53.29791460422104,"[2.404705280223205, 10.340719176818839, 22.862260732334256, 0.006814081821324915]",[3.26101940e-02 1.33386867e-03 2.38010368e+01 1.00000000e-04],114.59582920844208,124.2227061974991
40,19.450749383776923,"[2.4080655957564967, 8.643534208921192, 1.8830439765973297, 0.007272577383532006]",[2.97242200e+00 4.59416639e-07 6.95899769e+00 6.85387667e+00],46.901498767553846,56.528375756610856
41,48.54640937455996,"[0.5406250119947157, 21.251484364354493, 20.732867090318784, 0.005110232647727285]",[5.02755851e-02 4.85369267e-04 2.05902874e+01 1.00000000e-04],105.09281874911991,114.81608594449317
43,56.18554058273953,"[4.618186991164513, 12.49411820606453, 23.221608232557998, 0.009375065019407852]",[2.35697308e-02 1.00000000e-02 2.39999000e+01 1.00000000e-04],120.37108116547905,129.99795815453606
46,55.24291138849198,"[4.662240061528279, 1.5613071151711522, 15.365796380610503, 0.009343096421357814]",[1.02139910e-02 3.16072047e-03 1.00000000e-04 2.39999000e+01],118.48582277698397,128.0139293156795
47,55.865099320608415,"[4.081779889096849, 12.664076412388235, 15.713895141798657, 0.005793989996768115]",[3.53160407e+00 1.09572114e-06 1.23219745e+01 1.23167203e+01],119.73019864121683,129.40556107240323
56,55.26120306103861,"[0.657537728594552, 17.801797581370398, 0.213769797157603, 0.009461033233059942]",[4.99990000e+00 7.07330466e-06 1.13049055e+00 1.13109999e+00],118.52240612207721,128.14928311113422
