participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,54.219305632588544,"[0.8468295807005705, 0.40951430927728116, 0.9060740376508941]",[0.54545456 0.40951431 0.29729728],114.43861126517709,121.65876900696985
7,48.46253008485714,"[0.12534775891909827, 0.13240600971338348, 0.288848067868853]",[0.35135151 0.13240601 0.37142877],102.92506016971429,109.79643849315946
8,52.542161230025954,"[0.7147307155373245, 0.03630078536467552, 0.031035974043764996]",[0.67213117 0.03630079 0.71428572],111.08432246005191,118.3408442834417
12,48.77616687190994,"[0.981334124408571, 0.16910188713970264, 0.05235903369917636]",[0.79999996 0.16910189 0.3571432 ],103.55233374381989,110.80885556720968
13,49.07825767085057,"[0.44526149534322956, 0.39876376654829515, 0.13919947667384597]",[0.8        0.39876377 0.475     ],104.15651534170114,111.33986280571845
14,46.01810878081093,"[0.17193489285947208, 0.9551400785036203, 0.030368428949985]",[0.65909089 0.95514008 0.16216217],98.03621756162185,105.25637530341461
17,51.034599498115995,"[0.41404917134556746, 0.0028758999371774735, 0.5070093072873998]",[0.66666668 0.0028759  0.9999    ],108.06919899623199,115.2525464602493
34,53.39360140499324,"[0.16915257927792077, 0.01975960016601097, 0.9377150029575776]",[0.45070426 0.0197596  0.88888889],112.78720280998648,119.9705502740038
37,49.73355725935952,"[0.3138449011432999, 0.6488440486627955, 0.9528942616884344]",[0.79069765 0.64884405 0.47368422],105.46711451871904,112.6872722605118
40,25.090596423997397,"[0.24481389948214646, 0.02083584895044878, 0.2931143776919601]",[8.6885246e-01 2.0835849e-02 1.0000000e-04],56.181192847994794,63.401350589787555
41,55.28212228914136,"[0.4884965840145615, 0.008850820938043857, 0.7518786953105845]",[0.61728395 0.00885082 0.9999    ],116.56424457828273,123.85669497481267
43,50.92318950146861,"[0.6095134347364037, 0.021909188221627112, 0.6888526115238213]",[0.67142856 0.02190919 0.18181807],107.84637900293723,115.06653674472999
46,50.59104352208985,"[0.4174823975840339, 0.5534981444049102, 0.28740666179986063]",[0.56410254 0.55349814 0.25000001],107.1820870441797,114.32816694820134
47,55.834687961772424,"[0.5465445889408954, 0.007559782930178512, 0.3407645314816629]",[0.5443038  0.00755978 0.9999    ],117.66937592354485,124.92589774693464
56,48.1738608788326,"[0.7395633800717922, 0.09787584895603645, 0.9887545943872227]",[0.81395362 0.09787585 0.55263159],102.3477217576652,109.56787949945796
