participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,54.01406733130881,"[0.6664391804379308, 0.8473155461251757, 0.0714334958052419, 1.128009359859889]",[2.01580023e-04 4.22800299e-01 9.99900000e-01 1.00000000e-04],116.02813466261762,125.65501165167463
7,47.22620603316293,"[4.617254063959547, 0.8106736056791461, 0.15154496227892783, 0.2759918618776543]",[1.00000000e-04 1.00000000e-04 9.99900000e-01 1.20281332e-03],102.45241206632586,111.61424983091942
8,54.95313099175878,"[2.2301552693961937, 0.7854540786734201, 0.10587306878090914, 1.0067059561187857]",[1.14192071 0.69281874 0.9999     4.9999    ],117.90626198351757,127.58162441470395
12,46.11797210365626,"[3.733473715201945, 0.8944283987365759, 0.3693714790577237, 0.39348860757793425]",[0.2744641  0.08317632 0.9999     4.9999    ],100.23594420731251,109.9113066384989
13,48.25059497153706,"[1.239984354281729, 0.5073932828530118, 0.9554465209853117, 3.635363635991907]",[4.9999     0.99400663 0.08205485 4.9999    ],104.50118994307412,114.07898656176388
14,43.65469796267712,"[3.8751991294175103, 0.0025468916362400727, 0.7915950825738536, 3.7575528249620187]",[4.9999     0.99597482 0.9999     0.25009502],95.30939592535424,104.93627291441125
17,47.98980485560072,"[0.20971487707987124, 0.3401103356421594, 0.7281960358334468, 3.1548902950418127]",[1.94327177e-04 1.92803602e-01 9.99900000e-01 1.00000000e-04],103.97960971120143,113.5574063298912
34,55.477668331707754,"[4.350466749229934, 0.17059624426738307, 0.8753927576327718, 3.9415122643416716]",[5.29646702e-02 6.05194797e-04 9.99900000e-01 4.99990000e+00],118.95533666341551,128.53313328210527
37,52.11003397699525,"[1.62751153735432, 0.4456384063868982, 0.07970547728569996, 4.333836890049451]",[2.31610894e+00 9.34684184e-01 1.00000000e-04 1.36826535e+00],112.2200679539905,121.8469449430475
40,19.505417998180377,"[0.3539655729428414, 0.5573472150481058, 0.8557900321582302, 0.767894053461117]",[4.54325597e-01 2.28407637e-01 1.00000000e-04 4.66587399e-01],47.010835996360754,56.637712985417764
41,50.558220735632155,"[2.8281843703825373, 0.12240314840982908, 0.0935565991311942, 3.2059147591482797]",[1.28879378e-01 5.88010442e-02 1.00000000e-04 4.99990000e+00],109.11644147126431,118.83970866663756
43,50.46421351701927,"[4.497045846294491, 0.15891140256267933, 0.540604402491823, 4.216358031137501]",[4.99990000e+00 9.95957235e-01 1.00000000e-04 1.59616617e+00],108.92842703403853,118.55530402309554
46,51.243625236616396,"[3.8637498168503353, 0.396716838303686, 0.3968027784326888, 0.8105424925567231]",[4.99990000e+00 9.97763039e-01 1.00000000e-04 6.38923914e-01],110.48725047323279,120.01535701192832
47,54.505786770944255,"[1.5395477317521562, 0.16759314488167695, 0.7427723589636129, 2.140445047333875]",[1.41913689e-04 3.93499096e-01 9.99900000e-01 1.00000000e-04],117.01157354188851,126.6869359730749
56,50.437771447787824,"[2.5597764856607386, 0.6423703338707787, 0.36628365430901333, 3.1310684079856297]",[4.9999     0.99369825 0.97377601 2.56273411],108.87554289557565,118.50241988463266
