participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,55.92105911040967,"[4.496629726597406, 0.6736770309095167, 0.22792290037606294]",[3.89207423e-03 1.00000000e-04 9.96392249e+00],117.84211822081934,125.0622759626121
7,48.75439929655702,"[1.4532517969100651, 0.5150654656385035, 7.748391647983524]",[6.40311868e-03 1.00000000e-04 9.99990000e+00],103.50879859311404,110.38017691655921
8,53.107409670072244,"[0.5100428410207465, 0.4619577777641867, 4.492439001219884]",[9.85157075e-01 8.70257896e-01 1.00000000e-04],112.21481934014449,119.47134116353428
12,46.630089208995585,"[3.6986120521734125, 0.5345698704791105, 5.071741654875038]",[1.55610671e+00 4.69730774e-02 1.00000000e-04],99.26017841799117,106.51670024138096
13,55.11395498432689,"[0.9870201882572139, 0.002594478096303073, 2.5702576286373566]",[5.35593755e-01 9.99900000e-01 1.00000000e-04],116.22790996865378,123.41125743267109
14,55.44395533007989,"[4.157418542894299, 0.7695448123157272, 2.95862276510653]",[1.02758260e+00 7.77857134e-02 1.00000000e-04],116.88791066015978,124.10806840195254
17,49.92061360090325,"[1.4962090937199273, 0.8617893563645007, 0.1417628666768352]",[6.15676256e-03 2.09517773e-02 9.99990000e+00],105.8412272018065,113.02457466582382
34,55.24394309562754,"[1.1905034864662607, 0.904163591194366, 0.12583666701164098]",[1.22993908e+00 4.95991827e-02 1.00000000e-04],116.48788619125509,123.6712336552724
37,54.589619814661205,"[4.215984093619068, 0.8398462612562249, 1.0818627277490869]",[0.01353062 0.07516166 9.9999    ],115.17923962932241,122.39939737111517
40,22.656206450490465,"[1.122668073005663, 0.3464197799100205, 1.243627180314365]",[1.3008334  0.11901457 0.06024364],51.31241290098093,58.53257064277369
41,49.66049312143384,"[2.2426871927082783, 0.3902234762354426, 0.4524920865537607]",[0.54301203 0.07450882 0.23363498],105.32098624286768,112.61343663939762
43,55.866446373348715,"[0.6711449987641076, 0.02012805317010496, 5.208942857535177]",[0.08165802 0.61622492 9.9999    ],117.73289274669743,124.95305048849019
46,55.45177472721738,"[3.989839814795219, 0.48817380671522154, 2.505827250191647]",[0.0001 0.0001 0.0001],116.90354945443477,124.04962935845641
47,57.16547403371737,"[3.595086402851257, 0.7466015447092247, 0.6083909202938657]",[3.12029407e-03 1.00000000e-04 9.99990000e+00],120.33094806743475,127.58746989082454
56,54.51060428938793,"[2.3633423107695273, 0.24250994623217512, 7.389776196619519]",[0.6468147  0.9999     0.85156091],115.02120857877586,122.24136632056862
