participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,53.03928526000308,"[3.1362083576436235, 0.6882095567131952, 0.3140862993300625, 0.4695237920601712, 6.914065040011899, 0.2916824793417051]","[4.46148766e+00 7.79385982e-01 1.00000000e-04 6.72734995e-02
 7.20480224e-02 2.39211725e-01]",118.07857052000617,132.5188860035917
7,47.82510340593002,"[0.29673717754143203, 0.15665996429217963, 0.10671730044992514, 17.04952342880313, 16.103205670714445, 0.21551150292148882]","[2.83470859e+00 2.18281290e-01 1.00000000e-04 1.90286803e+01
 1.90076251e+01 8.87089213e-02]",107.65020681186004,121.39296345875039
8,51.988586906293826,"[4.673662447682864, 0.4417525582177918, 0.027374063748674148, 2.4734243487692615, 1.4541701653400103, 0.4253965861117199]",[4.9999     0.99620395 0.02190084 0.65315996 0.76147664 0.7106036 ],115.97717381258765,130.49021745936724
12,42.93061127157955,"[2.54465664274592, 0.7786204412029503, 0.48067568938838207, 9.523059860724668, 10.7356272423169, 0.9465537383244105]","[4.99990000e+00 9.94203606e-01 1.11691070e-02 1.04064370e+00
 1.00000000e-04 5.90319062e-01]",97.8612225431591,112.3742661899387
13,49.840056525915074,"[4.461833537489022, 0.3832250477414526, 0.7141067376765349, 5.580619044690664, 8.946785029427625, 0.2378129745080503]",[4.99579652 0.98989597 0.10310943 5.43070528 6.4267383  0.67051862],111.68011305183015,126.04680797986478
14,46.08735115868696,"[2.1648785480384976, 0.9162965231707827, 0.3372108295465195, 0.5352668920695188, 5.626836000619699, 0.7240187568174316]","[4.92208674e+00 9.91024169e-01 5.26885823e-01 1.00000000e-04
 2.39999000e+01 7.96852450e-01]",104.17470231737391,118.61501780095944
17,45.234415304347706,"[1.0837982955406538, 0.26933533238286295, 0.837032401578436, 17.158605570236812, 19.925455017003422, 0.783829263803252]","[4.74885068e+00 6.25346997e-01 1.00000000e-04 9.31912206e-03
 1.60353208e-04 2.67877108e-01]",102.46883060869541,116.83552553673005
34,52.46322411162123,"[0.34044186652563857, 0.7663339610721809, 0.09311780848566306, 3.9811520445147566, 4.973264680714872, 0.4454542949905181]","[4.99990000e+00 9.99900000e-01 4.55386423e-04 1.02421515e+00
 1.02554945e+00 1.00000000e-04]",116.92644822324246,131.2931431512771
37,47.356053183807504,"[0.09444755954996671, 0.8963187120752255, 0.05943427122655145, 18.17653497214693, 8.417887195657293, 0.5167187427529332]","[4.99990000e+00 9.92572499e-01 6.72767452e-03 4.59647392e-01
 1.00000000e-04 6.21148411e-01]",106.71210636761501,121.15242185120053
40,19.12965101291096,"[2.9734283727456554, 0.07623402724540272, 0.7713205736215868, 1.675921636971582, 0.6262630807016861, 0.6264856308627675]","[1.91915596e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04
 6.07697257e-01 9.33973430e-01]",50.25930202582192,64.69961750940743
41,46.553104332439666,"[1.610613596755114, 0.10136562331825719, 0.9523475790765852, 8.720020567596473, 1.4269357203331012, 0.9356618179745213]",[4.9999     0.9998046  0.01757906 2.08089076 1.57748754 0.46000613],105.10620866487933,119.6911094579392
43,50.80538488212205,"[3.437825942284695, 0.26118672179606184, 0.8542253324696404, 15.610501022112004, 23.996005564002687, 0.11346707329035713]","[4.99990000e+00 8.39669600e-01 1.00000000e-04 1.56104768e+01
 2.39960056e+01 3.81630411e-01]",113.6107697642441,128.05108524782963
46,50.73112853826994,"[3.7466400063619427, 0.5388711014074454, 0.16932394710600437, 0.107127969078917, 0.869640962789057, 0.07278846230593802]","[4.99990000e+00 8.98525076e-01 1.36885742e-04 8.07124357e-04
 4.47502422e-03 3.23233301e-01]",113.46225707653988,127.75441688458318
47,48.34900876895786,"[0.7458071894999009, 0.2988347621217923, 0.778277601199813, 2.4155425303209697, 9.162584310806238, 0.2257946192435126]","[3.70502230e+00 3.35455863e-04 2.18371997e-02 2.03330833e+00
 1.88558648e+00 3.19764138e-01]",108.69801753791572,123.21106118469531
56,48.08174325190317,"[1.6780649039923803, 0.7700690789862372, 0.007056084710567283, 3.4429051703427502, 18.7790549790882, 0.6383335739642787]",[ 4.90868855  0.98880858  0.07991593  3.26629235 18.77905498  0.58682071],108.16348650380634,122.60380198739186
