participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,55.042534627340196,"[3.320652505299929, 0.0825182027168348, 5.369588565401917, 18.54057916799045, 0.7397793573596834]","[2.90166021e-02 1.00000000e-04 5.36958549e+00 1.85405822e+01
 1.00000000e-04]",120.08506925468039,132.11866549100165
7,48.04773663456962,"[4.444679471367711, 0.2911732061242245, 21.740050553660776, 0.825744861046214, 0.6495551527947189]","[2.65970844e+00 1.00000000e-04 2.39988698e+01 2.39760484e+01
 1.00000000e-04]",106.09547326913923,117.54777047488119
8,53.79730829224092,"[3.056743800996086, 0.27467101818329703, 15.12276388061829, 0.9264414852176989, 0.801277998707522]","[1.49506884e+00 8.38104943e-01 1.00000000e-04 2.31356896e+00
 7.80889054e-01]",117.59461658448184,129.68881962346484
12,43.556569511671,"[1.7981853043746896, 0.2784280422087301, 4.939897280571515, 2.231984737033275, 0.5839045327356753]","[4.76692340e+00 6.60917731e-02 1.08539008e+00 1.73984871e-04
 7.26027555e-01]",97.113139023342,109.20734206232498
13,50.10374801061118,"[1.7340488490056132, 0.5053296258846616, 8.289755884424425, 20.51525895311676, 0.5898183767208296]",[ 4.9999      0.99396976 23.88888488  1.81197939  0.9999    ],110.20749602122235,122.17974179458454
14,46.3618694903061,"[4.5450910156259505, 0.713626539671318, 16.944216961360603, 19.982850393001502, 0.035699713821495435]",[ 4.88815483  0.99098307 16.94421696 19.98284906  0.81306322],102.7237389806122,114.75733521693346
17,44.88101732633681,"[2.8564644126171546, 0.20947721838430816, 11.774885011294995, 7.357523426855632, 0.4872984486728915]",[4.27540588 0.03078223 1.21645933 0.9208176  0.68996671],99.76203465267362,111.73428042603581
34,49.13048955280727,"[0.07264770169856803, 0.10137984932396428, 2.2028672434516223, 13.330646775245805, 0.3971914590176993]",[3.884754   0.0191268  0.41154521 0.33823676 0.50050728],108.26097910561454,120.23322487897673
37,51.333906144732495,"[0.9514188909151894, 0.8202004426504319, 20.25086013636404, 7.354356617542546, 0.25811646508314356]","[3.74235930e+00 1.32062492e-04 1.10751735e-04 2.06812361e-03
 4.77896414e-01]",112.66781228946499,124.70140852578626
40,16.53331370857488,"[0.4546345132142446, 0.5675330912102522, 10.520560349768042, 14.741207315915705, 0.03067986230261279]","[3.67031282e+00 4.31833622e-03 1.26381886e+01 1.50073344e+01
 8.72633832e-01]",43.06662741714976,55.100223653471026
41,48.22625552988783,"[4.118494764141626, 0.12769350641557492, 2.3362631168299375, 7.342672377455429, 0.7002039595858314]","[3.88740043e+00 2.00849261e-04 1.27270438e+00 1.25217417e+00
 1.00000000e-04]",106.45251105977566,118.60659505399222
43,51.754565077437015,"[0.10383245104806164, 0.38634367683736137, 6.797125317244335, 21.11968310482917, 0.5745524620552241]",[ 4.89627777  0.99360442  2.73054118 20.42585147  0.94893526],113.50913015487403,125.54272639119529
46,53.707205786414285,"[4.81351032838565, 0.44235834837991284, 0.04446542433211059, 0.3103831921644417, 0.06728209036385188]",[4.9999     0.99703029 0.04632272 0.1003354  0.9999    ],117.41441157282857,129.32454474619797
47,50.95846541433287,"[1.0610219925994877, 0.24592428198346003, 5.708347540392581, 3.888002215732822, 0.6968724371084909]",[4.23443353 0.00561214 2.32556114 2.2916215  0.27241594],111.91693082866574,124.01113386764874
56,50.76543239386199,"[4.226628593581023, 0.8077286645736976, 3.781394331704981, 13.94124880234023, 0.5501511276973026]",[ 4.93519676  0.99370786  3.78516542 13.94121652  0.97918011],111.53086478772398,123.56446102404524
