participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
5,55.04101846400236,"[1.536365700997365, 0.24977486048148895, 22.012116526374815, 21.826333103661526, 0.6820089460980825]","[2.12042685e-01 1.00000000e-04 1.00000000e-04 2.39999000e+01
 7.89332740e-01]",120.08203692800473,132.115633164326
7,48.047594374786094,"[4.80942296910577, 0.34778844976092893, 19.390559772706087, 17.093520770976863, 0.3246660046313711]","[2.66012588e+00 1.00000000e-04 2.39999000e+01 2.39771015e+01
 1.00000000e-04]",106.09518874957219,117.54748595531414
8,51.75973008625081,"[4.312154057048513, 0.20933244775246546, 2.7527802599852675, 12.529376625339433, 0.749938406326089]","[1.07251568e+00 9.29827296e-01 1.00000000e-04 2.18225501e+00
 7.79250536e-01]",113.51946017250162,125.6136632114846
12,44.81044626327091,"[2.2942540859203655, 0.1543176589082302, 10.30531612281954, 8.124901583770011, 0.14769074702914972]",[4.9995333  0.04580372 9.28687729 8.16516458 0.49498643],99.62089252654182,111.71509556552482
13,55.11433908101233,"[4.336262716038077, 0.20966046598389287, 1.5818420301986635, 7.410008283011496, 0.532574419012834]","[5.35636424e-01 9.99900000e-01 1.90269622e+01 1.00000000e-04
 9.99900000e-01]",120.22867816202466,132.20092393538687
14,54.229546829188344,"[4.283551762518273, 0.031450441022464436, 2.7943694624541355, 16.154205589430727, 0.9417588552665603]","[3.14975898e+00 8.50478354e-02 1.00000000e-04 2.39999000e+01
 6.33806489e-01]",118.45909365837669,130.49268989469795
17,46.71702388003521,"[4.25682368762894, 0.03718693089825283, 16.77455709218725, 15.93514938022329, 0.7389097776062528]",[ 4.9999      0.11693586 16.77455709 23.9999      0.23044131],103.43404776007041,115.4062935334326
34,52.46324968747283,"[0.13280743378765375, 0.225170917636817, 10.263423320925435, 7.687850164944282, 0.3079754943012735]","[4.99989998e+00 4.54761823e-04 1.02327148e+00 1.02460802e+00
 1.00000000e-04]",114.92649937494566,126.89874514830785
37,53.29850599688714,"[3.594727517224991, 0.2068372844507359, 10.417025899408104, 13.500508849541596, 0.12323522076556019]","[4.81559077e-01 1.05048510e-01 2.39999000e+01 1.00000000e-04
 6.43025066e-01]",116.59701199377427,128.63060823009553
40,17.293135093789633,"[4.388527786464662, 0.4547770946416797, 18.040658760111185, 23.28334049430329, 0.6424516263283833]",[ 4.99989995  0.07015357 23.9999     23.28334061  0.81255237],44.58627018757927,56.61986642390053
41,45.74513268625644,"[1.2831603810804244, 0.9637354462513613, 11.501976485218622, 19.593497491032174, 0.8898929926085359]",[4.9999     0.08467036 0.80126251 0.14620136 0.70279412],101.49026537251288,113.64434936672944
43,55.79626721206397,"[2.1035800996398084, 0.4980430750402685, 23.915988567771272, 1.0071605660802958, 0.9394421673905154]","[4.81337472e-02 4.79491019e-01 2.39999000e+01 1.00000000e-04
 1.00000000e-04]",121.59253442412793,133.6261306604492
46,54.80894327236074,"[4.58309757698964, 0.8471302393443026, 7.688941228048959, 13.18095374693137, 0.23396008927300357]","[4.64816265e+00 1.00000000e-04 1.91928923e-04 3.15855525e-03
 1.00000000e-04]",119.61788654472149,131.5280197180909
47,49.75856348023481,"[1.3955382428114032, 0.9277620931649617, 17.18314118712287, 3.7461992753585722, 0.8632007070117796]",[2.84256024 0.06030497 1.73748173 1.20334752 0.2694548 ],109.51712696046962,121.61132999945261
56,52.738111405340824,"[1.2960180142570863, 0.2020710237227134, 14.548713563073136, 20.952439931724772, 0.8018611344934305]","[3.55579511e+00 4.36609544e-04 1.45229901e+01 2.10354286e+01
 1.00000000e-04]",115.47622281068165,127.5098190470029
