participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,19.378068689369385,"[3.063811338475039, 0.7137022367570015, 11.922714095173028, 23.819920061144956, 0.3690915321219802]",[ 2.0885446   0.63409759 11.9227141  23.81992006  0.36909153],42.75613737873877,47.54503568808365
2,14.51976459204355,"[0.9916776211940818, 0.2469069031429231, 21.02243542885825, 23.66223323573647, 0.9415680994770913]",[ 2.67246015  0.14024668 21.02243543 23.66223324  0.9415681 ],33.0395291840871,37.877210399680294
3,58.22436404964981,"[2.7066806140191537, 0.31774177557951727, 20.504723154310447, 18.6993019794719, 0.6627475643829175]","[1.00000000e-04 1.00000000e-04 2.05047232e+01 1.86993020e+01
 6.62747564e-01]",120.44872809929961,125.31036169698623
4,57.548445063114464,"[3.492544900794492, 0.0026110921858673902, 22.290337078230078, 1.3387121335416756, 0.6736295801368166]","[4.99990000e+00 1.42751808e-04 2.22903371e+01 1.33871213e+00
 6.73629580e-01]",119.09689012622893,123.95852372391556
5,56.8365635941473,"[0.31947842759184025, 0.013898794609038659, 17.353320828525753, 16.107485281916965, 0.18399960302469132]","[2.54459860e+00 1.00000000e-04 1.73533208e+01 1.61074853e+01
 1.83999603e-01]",117.6731271882946,122.48656568282311
6,32.99580341744488,"[2.782180793808708, 0.6064421743893894, 16.487127519880215, 8.783250450202996, 0.046678460841264674]",[ 1.8186751   0.36561924 16.48712752  8.78325045  0.04667846],69.99160683488977,74.82928805048296
7,48.545623687922806,"[0.6947815729305121, 0.9482951598990652, 16.355533596088414, 18.328977224769975, 0.3814574574744578]",[ 1.37537969  0.64147259 16.3555336  18.32897722  0.38145746],101.09124737584561,105.95288097353225
8,58.19696925702986,"[4.513266587210275, 0.4295291832367903, 5.885717032927237, 12.065498789663827, 0.8331330007408622]",[ 0.14443014  0.14464236  5.88571703 12.06549879  0.833133  ],120.39393851405973,125.25557211174635
9,55.451774902189015,"[4.894288365358997, 0.12172551031432943, 7.275742574787909, 12.430756759523069, 0.15995033857472876]","[1.00000000e-04 1.00000000e-04 7.27574257e+00 1.24307568e+01
 1.59950339e-01]",114.90354980437803,119.66760307372579
10,56.64811116543825,"[2.8793613111886858, 0.6853782203440475, 11.872676897059694, 10.388271143854212, 0.15227770579684144]",[ 0.24702097  0.9999     11.8726769  10.38827114  0.15227771],117.2962223308765,122.10966082540502
11,56.82202354391193,"[4.5217918242618955, 0.6360404667604947, 16.276173476295728, 20.893111459544397, 0.6654458805350572]",[ 0.20839763  0.04712837 16.27617348 20.89311146  0.66544588],117.64404708782386,122.45748558235238
12,55.958460635173644,"[1.2503185232132923, 0.8973238664606249, 12.967711822676984, 20.68298846140397, 0.9474217980674261]",[ 0.65181264  0.9999     12.96771182 20.68298846  0.9474218 ],115.91692127034729,120.75460248594048
13,27.468899346454325,"[2.026747232069814, 0.5349541603607633, 4.411646535336658, 6.154203560629295, 0.8893351925213587]",[2.04781779 0.11493109 4.41164654 6.15420356 0.88933519],58.93779869290865,63.79943229059528
14,54.06548037909672,"[2.8882683651253984, 0.16491887968725363, 12.468075946002934, 13.045724382915331, 0.8957785097325348]","[1.00000000e-04 1.00000000e-04 1.24680759e+01 1.30457244e+01
 8.95778510e-01]",112.13096075819344,116.84437841157262
15,57.531219155466296,"[1.9193730686513022, 0.8774269648295808, 19.098201138857387, 18.712976438754378, 0.2381045199718974]","[1.00000000e-04 1.00000000e-04 1.90982011e+01 1.87129764e+01
 2.38104520e-01]",119.06243831093259,123.90011952652578
16,55.44516527929112,"[0.1769301280298641, 0.36249802673517595, 4.501506303206701, 12.64894021904456, 0.9423966398152896]",[ 0.07382463  0.3484545   4.5015063  12.64894022  0.94239664],114.89033055858224,119.65438382792999
17,56.16532593792261,"[3.325220643105767, 0.901913406095828, 4.650189716845754, 4.813401806167459, 0.5139518424937771]",[0.78571091 0.1552194  4.65018972 4.81340181 0.51395184],116.33065187584522,121.16833309143841
18,57.53121723570189,"[0.395071566180819, 0.5413061330542817, 3.901783155870384, 7.247349877991277, 0.1342095491655094]","[1.00000000e-04 1.00000000e-04 3.90178316e+00 7.24734988e+00
 1.34209549e-01]",119.06243447140378,123.90011568699697
19,58.224365967077645,"[0.275913060337386, 0.01370457553694706, 2.4595827530774366, 22.99706150028901, 0.6370318399269485]","[1.00000000e-04 1.00000000e-04 2.45958275e+00 2.29970615e+01
 6.37031840e-01]",120.44873193415529,125.31036553184191
20,56.89783754982318,"[2.290338100270713, 0.35807958671549955, 4.241220481746328, 20.910231107697168, 0.04866069216190194]","[4.99990000e+00 1.45427924e-04 4.24122048e+00 2.09102311e+01
 4.86606922e-02]",117.79567509964636,122.63335631523955
21,50.67582264595372,"[0.46357214265039687, 0.11169075887458783, 0.03850462839932275, 1.0397056212623825, 0.0018983182241206155]",[0.9793133  0.973725   0.03850463 1.03970562 0.00189832],105.35164529190745,110.09054099684148
22,53.37233400213318,"[1.773055524805007, 0.2690376723596548, 6.1774130825799025, 5.573308183600897, 0.9561630309812793]","[1.00000000e-04 1.00000000e-04 6.17741308e+00 5.57330818e+00
 9.56163031e-01]",110.74466800426636,115.43227884797372
23,55.01966178943551,"[2.746569515861903, 0.1753695636000118, 4.1884897340879395, 17.36371135054299, 0.3071918260417184]",[ 0.90660697  0.04771944  4.18848973 17.36371135  0.30719183],114.03932357887102,118.8282218882159
24,56.57038593996587,"[2.4081786976773882, 0.7310726279559396, 15.899509356618077, 17.60975960911238, 0.4281642742930655]","[4.99990000e+00 1.61076895e-04 1.58995094e+01 1.76097596e+01
 4.28164274e-01]",117.14077187993173,121.97845309552493
25,7.035613019837184,"[0.8102327871328595, 0.005718731127724327, 21.878554836876006, 5.522069657474213, 0.7290839664843743]",[ 2.94720988  0.67282606 21.87855484  5.52206966  0.72908397],18.071226039674368,22.83527930902213
26,40.57989478549161,"[3.7781970391468835, 0.32916708610410167, 6.547127122622044, 1.8640510854343912, 0.9359192127423182]",[1.56453586 0.67028163 6.54712712 1.86405109 0.93591921],85.15978957098322,90.02142316866986
27,24.0312536440409,"[3.52688597906545, 0.9394156814910205, 9.994349750844515, 5.582091594873506, 0.10533551155886053]",[1.94973568 0.34473839 9.99434975 5.58209159 0.10533551],52.0625072880818,56.77592494146098
28,25.648167479944195,"[1.3852005549905009, 0.08490581856233684, 16.411162113806586, 14.036761523108774, 0.6312367443103556]",[ 2.15330132  0.18285192 16.41116211 14.03676152  0.63123674],55.29633495988839,60.08523326923327
29,45.77969052771478,"[3.75430433887732, 0.14309533150722595, 10.477386958137224, 5.0565856489995396, 0.5897354617553181]","[4.99990000e+00 6.67922746e-04 1.04773870e+01 5.05658565e+00
 5.89735462e-01]",95.55938105542955,100.42101465311617
30,56.1449244814081,"[3.973575895410945, 0.1881689215772559, 10.58417822893672, 16.39372861865454, 0.724920082241105]","[1.00000000e-04 1.00000000e-04 1.05841782e+01 1.63937286e+01
 7.24920082e-01]",116.2898489628162,121.07874727216107
31,56.0866037738902,"[0.668597372535321, 0.17321654994418353, 21.818597361547646, 21.713977997915595, 0.7281852406604914]",[ 0.18950223  0.48515692 21.81859736 21.713978    0.72818524],116.1732075477804,120.96210585712527
