participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,27.389595698376574,"[3.425731923180059, 0.07088665613121055, 0.3951422745090842, 0.4548107422664955, 2.4298372839953695, 0.18487800898522588]","[4.99990000e+00 3.89325327e-03 2.05679560e-01 1.00000000e-04
 2.23851559e+01 8.04823856e-01]",66.77919139675315,81.07135120479643
2,9.727665116047993,"[2.359278118463889, 0.5339570530620555, 0.3224391520255059, 17.559824677388544, 3.673472653316056, 0.8445886811673188]","[4.46418784e+00 2.47429623e-01 1.00000000e-04 2.39999000e+01
 5.20801414e+00 1.00000000e-04]",31.455330232095985,45.89564571568151
3,55.03723810543113,"[4.826193897970907, 0.12638207177370195, 0.5014598420046715, 16.407925167833724, 11.412053064883438, 0.10281438964257954]","[4.91485035e+00 9.85781872e-03 2.60406986e-01 1.64079360e+01
 1.17905790e+01 1.05301466e-01]",122.07447621086226,136.4411711388969
4,51.10979602898937,"[0.33086690840732724, 0.22261229604816252, 0.7145958839676951, 6.969511058276176, 2.080565690917001, 0.054866405654465406]","[4.99990000e+00 9.99900000e-01 2.85560492e-02 2.08653527e-01
 1.00000000e-04 5.37613297e-01]",114.21959205797874,128.73263570475834
5,53.26210137311527,"[3.2777045374541376, 0.8470169643007454, 0.524837019462491, 15.089882289983379, 16.87595767401576, 0.1718377336127019]","[1.6261864e+00 9.9990000e-01 3.9542692e-03 2.3999900e+01 1.0000000e-04
 6.5308835e-01]",118.52420274623054,132.81636255427384
6,42.01589143102565,"[2.7180526210881033, 0.2324795141513202, 0.6559060387416817, 0.4479126731973162, 1.1809430542589276, 0.10195714886830824]","[4.21494653e+00 2.32924735e-02 6.96872239e-02 1.00000000e-04
 1.21564054e+00 5.15465586e-01]",96.0317828620513,110.24846997685343
7,53.22700569242879,"[0.0467845638195118, 0.28748629996742725, 0.05974679193046905, 2.6942598517735443, 4.206723593934681, 0.9819386367273755]","[4.99990000e+00 3.44678398e-03 1.36743515e-04 1.00000000e-04
 5.49646833e-03 4.17989824e-01]",118.45401138485758,132.8943268684431
8,50.53675626261838,"[0.8234728278055484, 0.6937972161443271, 0.5231200723819219, 6.382010358987976, 0.1490631887859912, 0.18962567398961944]","[4.99990000e+00 2.85433267e-01 3.84076805e-04 2.34025596e-02
 1.53214763e-04 2.54658064e-01]",113.07351252523677,127.21376548537432
9,51.219595676088396,"[3.9229763971253835, 0.4901530622493712, 0.8987530140568726, 7.798520836099501, 11.43765890886251, 0.8938716480838761]","[4.41195373e+00 9.99900000e-01 1.52051716e-01 5.18570456e+00
 1.00000000e-04 3.73564981e-01]",114.43919135217679,128.8795068357623
10,52.27244554006475,"[3.6126700154331943, 0.9091134960541898, 0.31605578781264226, 7.416867224647638, 10.7276130737182, 0.688107468002899]","[4.10028222e+00 1.00000000e-04 7.58083929e-01 1.00000000e-04
 1.32571452e+01 7.86906114e-01]",116.5448910801295,130.68514404026706
11,50.95675916226316,"[0.7305485756459305, 0.6215744650763307, 0.8176716711700852, 3.800950143000626, 8.665374781624788, 0.3355477445511564]",[4.9999     0.9999     0.32369796 1.36112864 0.27598256 0.45205595],113.91351832452632,128.2056781325696
12,54.08813378873546,"[2.840491778159262, 0.8937681509837662, 0.9765973078239233, 11.120488890159264, 20.7714430628168, 0.297046989837298]","[4.50823776e+00 1.00000000e-04 1.57085794e-01 1.00000000e-04
 4.65277125e+00 7.18016549e-01]",120.17626757747092,134.6893112242505
13,51.81854101284326,"[2.4296521115402756, 0.11419627570498887, 0.6546332931559705, 3.1470185144540297, 0.15640665851588653, 0.630337633887348]","[4.84247614e+00 1.00000000e-04 1.51486427e-04 1.07511059e-02
 1.00000000e-04 1.00000000e-04]",115.63708202568652,130.2219828187464
14,50.740823506176746,"[2.2803284671118886, 0.5911241633781272, 0.3001043577928262, 21.79777453465659, 23.07812603211442, 0.6153329636256337]","[4.86899999e+00 3.70313940e-03 1.55709656e-02 1.00000000e-04
 1.10712402e+00 4.14031943e-01]",113.48164701235349,127.69833412715562
15,21.578149926073433,"[4.233475570629806, 0.3728585936543727, 0.40917429000166866, 13.78660750112655, 17.16469298005577, 0.8241979706440599]","[3.43299255e+00 3.10439810e-01 4.84834971e-04 1.65539481e+01
 1.65263951e+01 1.98723451e-02]",55.156299852146866,69.37298696694899
16,38.01613820940472,"[2.1870755716565315, 0.2719875972961968, 0.32536452472070126, 2.477937593920777, 2.627930839251083, 0.19716171119449263]","[4.79501763e+00 1.10194682e-03 2.10790587e-01 2.44658967e+00
 3.30761896e+00 6.88927898e-01]",88.03227641880945,102.09510894993156
17,49.35614417861304,"[3.3810184788946507, 0.9872373166573255, 0.7528284518452274, 14.70421102715225, 0.8457266476171958, 0.7360883357045903]","[3.97664404e+00 5.29169986e-02 2.44854240e-02 2.94348144e+00
 1.00000000e-04 3.95032941e-01]",110.71228835722609,125.00444816526937
18,51.4623698977613,"[4.438227386764806, 0.4891627098161172, 0.04628630917476775, 14.840734055799974, 23.826506220833316, 0.9923532381442304]",[ 3.67772246  0.9999      0.09077181 14.3716995  23.83655339  0.40877108],114.9247397955226,129.21689960356588
19,20.546355908349895,"[2.9896102802475983, 0.28903123238992734, 0.5504123864905962, 8.580256487318044, 13.64979211796897, 0.884003504688157]","[4.50559970e+00 3.32019063e-04 1.59846930e-01 1.35896186e+01
 1.30651057e+01 5.70296492e-02]",53.09271181669979,67.15554434782189
20,53.28762347338983,"[3.492262749731901, 0.3747454183529243, 0.05466988923932148, 18.735263365305983, 5.462642894112166, 0.21811945317470557]","[4.99990000e+00 8.84935077e-01 1.00000000e-04 1.87352634e+01
 4.84073391e-01 4.73583544e-01]",118.57524694677966,132.71549990691722
21,53.16302301183075,"[3.27072099101639, 0.9545500141857536, 0.7530418942449623, 3.516031861482633, 8.901173054482845, 0.13744631348682465]","[4.98636637e+00 5.22106174e-03 6.25101460e-02 2.67873594e+00
 7.72428866e+00 5.08468078e-01]",118.3260460236615,132.76636150724704
22,37.057197296945176,"[3.873306109019262, 0.5230928546696293, 0.7720269719230798, 15.698668831746415, 18.964619452174485, 0.07078024851615226]","[4.48427214e+00 1.80186257e-03 3.95546465e-01 2.39996194e+01
 3.36897000e+00 2.24970026e-01]",86.11439459389035,100.55471007747587
23,52.822612457276776,"[2.155329659265167, 0.8449356627792554, 0.4973839016883803, 2.2560574773543736, 1.0580776334912123, 0.7591415903451479]","[4.99990000e+00 9.13414302e-04 1.29050055e-03 5.67980442e-03
 1.09043430e-02 5.16333406e-01]",117.64522491455355,131.86191202935566
24,55.48379705176478,"[4.8393901721016155, 0.9273678548990515, 0.14392530512572807, 6.4732907311054655, 6.611989748978781, 0.8261017784187991]","[4.58066476e+00 9.27662635e-01 4.89984642e-04 4.59590531e+00
 1.23546071e+01 3.77270666e-01]",122.96759410352956,137.48063775030914
25,45.3195108192845,"[2.450073693790768, 0.7202966100750723, 0.533373615120151, 12.30963598878208, 2.8409320123115203, 0.9175058873829555]","[3.16120015e+00 5.25854182e-03 2.72945532e-02 2.39998243e+01
 2.33520850e+01 7.50156370e-01]",102.639021638569,117.07933712215453
26,23.148100262192735,"[1.4491391542027527, 0.07008068087150517, 0.18451677768789107, 0.539815057341617, 0.24692179407222387, 0.19367097096856026]","[8.04036457e-01 9.99900000e-01 4.49580339e-01 2.39999000e+01
 1.00000000e-04 1.48513796e-01]",58.29620052438547,72.73651600797099
27,53.45224998675711,"[3.9561235958829695, 0.7234739653788604, 0.7460963626824082, 2.5472634903172295, 3.607065806577156, 0.7186527387413768]",[4.9999     0.9999     0.01042344 0.4376085  0.42584802 0.45347838],118.90449997351422,133.27119490154885
28,10.580047891459733,"[2.4355002572911353, 0.4834499614949904, 0.5713331594645603, 20.411497728838626, 16.499218613166995, 0.27247641513229703]","[4.61525489e+00 9.22795073e-03 1.77390394e-01 2.24866377e+01
 1.65024866e+01 6.28509783e-01]",33.16009578291947,47.300348743057015
29,48.59708461434997,"[2.754178080378946, 0.5729582151318197, 0.13510762048149852, 3.472807645794796, 15.059047610087749, 0.7862804739106702]","[4.91159828e+00 9.99900000e-01 7.69358674e-04 3.19084806e+00
 1.56151560e+01 5.06149440e-01]",109.19416922869993,123.41085634350206
30,27.30525894533176,"[0.9925175911663898, 0.6664005284917699, 0.5343259076152634, 6.306296921463902, 6.519228554407876, 0.2989388935143096]",[3.15196452 0.9999     0.00527531 2.69313332 2.62539012 0.05282361],66.61051789066352,80.90267769870681
31,56.644297280275545,"[2.4434704393994453, 0.36113416642320817, 0.26733079604634674, 2.1748407455238974, 11.463562598320054, 0.5830952606853896]","[2.45842238e+00 9.99900000e-01 1.00000000e-04 1.00000000e-04
 1.24064427e+01 5.53698660e-01]",125.28859456055109,139.87349535361096
32,6.001320253079674,"[2.557768946565347, 0.9316878101958012, 0.1628904690449091, 15.495800276622022, 7.923771712197678, 0.15489084844747603]","[2.39805362e+00 9.99900000e-01 1.62890469e-01 1.54958003e+01
 7.92377171e+00 1.36865514e-02]",24.00264050615935,38.442955989744874
33,49.54033501383961,"[0.14955747901158012, 0.7578355754737227, 0.6075470331299321, 2.142359967100523, 2.4346996167241395, 0.3870631304897866]","[4.96883158e+00 5.79727679e-01 9.02909625e-04 9.43514857e-01
 9.43923701e-01 2.11179342e-02]",111.08067002767922,125.29735714248135
34,51.87975179257799,"[4.9684704395728705, 0.24052326102891566, 0.4618278590630698, 13.224379308767455, 0.40859403389289195, 0.4878415054486199]",[ 4.90866584  0.61298614  0.16159106 13.20321273  0.40772654  0.22087463],115.75950358515598,130.1998190687415
35,43.144131284543555,"[4.500403043185122, 0.9859077208478816, 0.23679612641974937, 10.381240827420177, 14.312597622503578, 0.6484786503255088]",[ 4.82942871  0.9999      0.09625819  3.49020579 21.52599943  0.12871441],98.28826256908711,112.58042237713039
36,50.14692748299808,"[2.5865250938020123, 0.8848672881213321, 0.24534482497094856, 17.98933070680262, 9.99555770095461, 0.48036708735376393]","[4.99990000e+00 1.60115250e-02 4.84726472e-04 2.39999000e+01
 2.88578515e+00 3.45665532e-01]",112.29385496599616,126.11824552522118
37,53.16646309128198,"[4.376361447692581, 0.6704644122182535, 0.5299042366354523, 15.56335516915227, 20.678104398998016, 0.21239759263454008]","[1.41435241e-01 1.00000000e-04 9.99900000e-01 1.38857975e+01
 1.00000000e-04 1.00000000e-04]",118.33292618256397,132.62508599060726
38,57.1134448759425,"[3.9659214841377968, 0.12948004321964424, 0.31511278086441674, 0.012033323474740048, 15.62653421569646, 0.48868657101942903]","[2.64194246e+00 1.00000000e-04 8.78479023e-02 2.06391691e-01
 1.73736126e+01 9.04814507e-01]",126.226889751885,140.7399333986646
39,35.90259734569067,"[1.557100890429328, 0.5745367884951409, 0.8914907879740773, 9.975805524381347, 20.633801974012236, 0.9843854752704787]",[ 2.04066307  0.88843781  0.04034573 17.82259158 23.9999      0.63965727],83.80519469138135,97.94544765151889
40,49.263324428360036,"[2.4780272475050147, 0.7036049807748395, 0.08676933896943247, 9.509693715262719, 7.823329241772131, 0.6106473825473181]","[4.91636831e+00 7.63813701e-03 9.23862795e-02 9.16918620e+00
 9.46326476e-01 3.06437034e-01]",110.52664885672007,124.8933437847547
41,48.9503107893465,"[4.865620015003281, 0.2616043630238953, 0.3209280477729872, 1.351615545185035, 10.165879452220533, 0.42885042760803543]","[4.94907232e+00 1.00000000e-04 5.70858605e-04 3.06649895e+00
 3.06878327e+00 1.00000000e-04]",109.900621578693,124.4136652254726
42,45.29644770127355,"[1.1464338135361796, 0.33443706596706174, 0.22041532147821677, 12.422105749180705, 17.801757282389946, 0.921821149332474]","[1.43879732e+00 5.22791439e-01 4.33934267e-02 1.78953989e+00
 1.00000000e-04 8.23165658e-01]",102.5928954025471,117.03321088613262
43,50.808007189005345,"[1.6389504768120702, 0.4979035806303745, 0.8835981961034436, 7.137016754768125, 21.6120518710413, 0.30078884724949023]","[3.04180154e-01 9.99900000e-01 9.47325537e-01 1.00000000e-04
 2.39999000e+01 4.05580907e-01]",113.61601437801069,127.6788469091328
44,53.578132687510184,"[2.89530494693112, 0.10136050529409504, 0.31039712272997017, 3.513814930415431, 9.03722038428552, 0.5704162453599558]","[2.91513202e+00 1.00000000e-04 8.49648252e-02 1.00000000e-04
 1.01158604e+01 8.24252697e-01]",119.15626537502037,133.3729524898225
45,54.454775516247715,"[4.031540167524495, 0.4894692542510756, 0.6840398380569533, 0.1858951714577562, 1.5061049936945647, 0.09297974084491445]","[4.85375101e+00 3.14323947e-04 6.44743695e-01 2.28472759e+01
 1.32487918e+00 6.42299358e-01]",120.90955103249543,135.42259467927502
46,53.60214540203219,"[1.3261922190846398, 0.888127013695681, 0.07011886542853615, 1.8392448911526231, 16.00126818510222, 0.7890887767745953]","[4.99990000e+00 9.99900000e-01 1.94618432e-02 1.00000000e-04
 1.00573233e+00 4.90327445e-01]",119.20429080406439,133.71733445084396
47,52.61669132298522,"[2.713272745291042, 0.11358909830030167, 0.9341605596159678, 13.138035229859756, 12.003189022336185, 0.42839282985833577]","[3.94393140e+00 2.63788599e-03 9.45423470e-03 1.54123730e+01
 9.72220850e+00 5.25909007e-01]",117.23338264597044,131.45006976077258
48,51.108632090412485,"[1.4712672868952246, 0.977732000599699, 0.6520948459317957, 0.6537828857230218, 12.558365276345095, 0.1357662204493788]","[2.04249910e+00 9.99900000e-01 1.08541153e-01 1.34604685e-01
 1.00000000e-04 6.31708471e-01]",114.21726418082497,128.5839591088596
49,30.127563082087256,"[0.668698094140377, 0.4399002341626943, 0.8449341255206552, 19.697032779877286, 13.463113281740418, 0.05413875943487109]","[4.54983253e+00 1.02405666e-03 2.00298597e-01 2.39999000e+01
 2.39994067e+01 9.12287966e-02]",72.25512616417451,86.5472859722178
50,29.365513834553134,"[0.6291569239741295, 0.11627834797429831, 0.7947687940977579, 10.245038495189737, 20.236264421195138, 0.519233391220368]",[ 2.11554965  0.07128766  0.07388667 23.9999     22.75897273  0.65106009],70.73102766910627,85.02318747714955
51,45.34030808962994,"[1.5812505386436515, 0.01950128104919615, 0.2773742973251812, 0.04046199655548496, 1.2560582526036692, 0.7121899218203609]","[4.89948295e+00 2.79790741e-04 1.36309209e-01 8.14120787e-01
 1.68873733e+00 6.79556409e-01]",102.68061617925989,116.42337282615023
52,47.855305040399934,"[2.198449232142749, 0.5099576245578527, 0.9439115415361818, 22.06186240403014, 5.861044890860344, 0.718143242733343]","[4.99990000e+00 3.24366499e-03 3.23951870e-02 1.76621089e-01
 1.15421736e-04 5.93879571e-01]",107.71061008079987,122.15092556438539
53,45.99076781266243,"[1.9578947329585705, 0.8828027583731071, 0.3050837022105824, 5.464605526921712, 15.548688765116252, 0.7004511695358593]","[4.45319696e+00 4.26168434e-04 9.63097542e-01 1.50584777e+01
 1.25257897e+01 4.82996086e-01]",103.98153562532487,117.80592618454989
54,48.70433478021402,"[1.768642932222835, 0.7621979023150176, 0.19081617316301167, 7.092874300470465, 6.6791327529512285, 0.5502559160575349]","[4.99990000e+00 6.41533726e-01 8.60984279e-04 4.06487177e-02
 1.00000000e-04 2.59647255e-01]",109.40866956042804,123.70082936847132
55,54.14294225868436,"[1.1522989115302966, 0.48388898635359084, 0.2971915209247387, 16.015280091606744, 16.194219526104998, 0.7566476035451625]","[3.94667515e+00 2.41862886e-04 7.10260141e-02 9.68899610e+00
 2.23142668e+01 6.74747236e-01]",120.28588451736871,134.7989281641483
56,43.651774833321966,"[4.1875175062021945, 0.1126972221116262, 0.019988181523424516, 23.678376191627436, 8.943902549317915, 0.30441014171060293]",[ 4.15661107  0.43554615  0.10539373 23.67837619  8.83381735  0.24619056],99.30354966664393,113.67024459467856
57,49.97275746698117,"[2.7764396053674827, 0.9863434169373442, 0.2680382991046726, 7.8208667069101345, 4.945221952242754, 0.6553921660322442]",[2.43056423 0.04709825 0.0394046  1.598626   1.92125562 0.49741606],111.94551493396234,126.16220204876447
58,45.435889152258895,"[4.197976951701995, 0.9046519068052349, 0.7912759786218788, 20.35897230410616, 20.30198712452348, 0.5862211932050896]","[3.50286489e+00 3.76218316e-03 3.80604397e-02 1.94708154e+01
 2.06929517e+01 6.95658214e-01]",102.87177830451779,117.31209378810331
59,51.455430335929464,"[2.3493184444342026, 0.6955046791120859, 0.6373544868412075, 12.475440654204162, 2.0681948949049067, 0.4057726931551896]","[4.99990000e+00 9.71906902e-01 5.58220554e-04 3.85724729e-03
 1.00000000e-04 2.87278798e-01]",114.91086067185893,129.4239043186385
