participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,0.6931471805689451,"[1.6921168248736842, 0.745369108234781, 20.579471141471693, 2.1256320814000493]",[ 1.69211682  0.74536911 20.57947114  2.12563208],9.38629436113789,10.596634733114074,1,1,10
4,3.6878500266142797,"[0.12878527673097473, 0.6159419064092089, 10.90528217535228, 20.95098241055876]",[4.99990000e+00 6.41721035e-03 1.00000000e-04 1.56897293e-02],15.37570005322856,16.586040425204743,1,1,10
11,6.421966629614699,"[4.265529402344146, 0.5057447591149502, 9.434055891166532, 9.853459435456388]",[2.59167179e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04],20.8439332592294,22.054273631205582,1,1,10
16,5.904243619227203,"[0.0004053242792905089, 0.45572297674966605, 0.41632885776048073, 4.579275445483265]",[4.65147013e+00 1.20167564e-03 1.00012176e-04 9.61615071e-03],19.808487238454404,21.01882761043059,1,1,10
19,0.6931471805689451,"[2.587782356726884, 0.8567163312366375, 14.16983819011075, 3.769508457308379]",[ 2.61077217  0.19900784 14.17787241  3.71358394],9.38629436113789,10.596634733114074,1,1,10
21,2.77258872777676,"[1.1922764803028238, 0.2930152835978397, 15.442152871226872, 17.834198447273216]",[ 3.50268068  0.05959724 17.35261028 16.50159302],13.545177455553521,14.755517827529705,1,1,10
23,5.399109825743783,"[2.062088007283233, 0.319969184332058, 15.923178402942728, 9.789985174963322]",[1.61127487e+00 1.08628922e-01 9.10282670e-04 7.73491526e-01],18.798219651487564,20.00856002346375,1,1,10
24,4.680780416651275,"[0.54344821985245, 0.42167652710256376, 7.227749875736282, 23.619871370151973]",[4.99990000e+00 3.45952480e-03 1.10793979e+00 1.11616650e+00],17.361560833302548,18.571901205278735,1,1,10
26,4.168285502592653,"[1.3516152319144654, 0.5439703799004503, 4.425190850094075, 22.88308457773929]",[1.03801978e+00 9.99900000e-01 1.00000000e-04 2.46432769e+00],16.336571005185306,17.54691137716149,1,1,10
30,0.6931471805689451,"[3.5698100600949916, 0.9685869892104674, 17.57317746778321, 1.4774289515062788]",[ 3.56981006  0.96858699 17.57317747  1.47742895],9.38629436113789,10.596634733114074,1,1,10
31,5.34016968867058,"[0.8083491352696406, 0.8312589215166918, 18.326757570408994, 18.452421079885852]",[4.99990000e+00 2.76559147e-03 2.42596023e+00 2.43815988e+00],18.68033937734116,19.890679749317343,1,1,10
32,2.0794415416868364,"[4.679032028513339, 0.3696480833875734, 17.957616011899127, 7.956626177427952]",[ 4.64539321  0.37417923 17.95761601  7.95232011],12.158883083373674,13.369223455349857,1,1,10
33,0.6931471805689451,"[4.745235951406495, 0.44139876895564145, 6.280982640570827, 2.521381785883784]",[4.74523595 0.44139877 6.28098264 2.52138179],9.38629436113789,10.596634733114074,1,1,10
36,6.87581291429827,"[0.7258818013496481, 0.6471353376638146, 2.882367733817398, 2.599878439523705]",[6.39544512e-02 1.00000000e-04 7.66642379e-01 3.83070929e+00],21.751625828596538,22.961966200572725,1,1,10
40,5.545177451395193,"[3.929232031345543, 0.10820406188861824, 11.30435246231172, 20.9176218896354]",[ 3.92537967  0.11446068 11.30405904 20.91762189],19.090354902790388,20.300695274766568,1,1,10
41,0.6961750218087535,"[0.30639292816171787, 0.7659632324973898, 2.1888845181921397, 0.3958264284684685]",[4.99990000e+00 1.69964581e-01 4.93917591e-01 1.00000000e-04],9.392350043617506,10.60269041559369,1,1,10
46,3.465735902804727,"[0.08160296786199009, 0.8859129599182962, 0.6878599141757362, 18.93280095030842]",[ 4.9999      0.9999      0.68544798 18.96048733],14.931471805609455,16.14181217758564,1,1,10
49,0.6931471805689451,"[4.909946419004693, 0.23725339666686346, 9.127162752199919, 3.332276931373478]",[4.076485   0.36671499 9.12716275 2.86291036],9.38629436113789,10.596634733114074,1,1,10
50,0.6931472063017439,"[0.7634784247760482, 0.5406426016281048, 8.226717793887396, 15.718969198991747]",[4.82968745 0.9999     8.74713312 3.32170278],9.386294412603487,10.59663478457967,1,1,10
51,2.7725887236379276,"[4.934695067593341, 0.7642246047513682, 7.899905022938483, 4.153414214896227]",[4.93469507 0.7642246  7.89990502 4.15341421],13.545177447275854,14.755517819252038,1,1,10
60,0.7384450823500647,"[3.1161991898522836, 0.5096182272378382, 2.291080963147139, 13.190147583079721]",[4.99990000e+00 4.87295448e-02 1.00000000e-04 5.42503552e-01],9.47689016470013,10.687230536676314,1,1,10
65,6.012502329993983,"[0.2953443576288927, 0.6839840892511736, 0.061428719922801654, 5.649863878580146]",[1.94288586e+00 3.37356260e-02 1.00000000e-04 2.42423946e-01],20.025004659987964,21.23534503196415,1,1,10
73,0.9566213974810273,"[1.316564960370796, 0.41850890030433713, 6.022527190716075, 0.22810532958371]",[4.99990000e+00 1.13345502e-01 1.41243712e+00 1.00000000e-04],9.913242794962054,11.123583166938237,1,1,10
75,1.1592327195494438,"[2.0493401197914967, 0.5579697461197305, 22.62881372590558, 2.785743786574427]",[4.9999     0.12321448 2.6250431  2.59127468],10.318465439098887,11.52880581107507,1,1,10
77,0.6936461480860616,"[3.2169404397473946, 0.8173177246879901, 0.037441217182782614, 4.2124261357327475]",[4.99990000e+00 1.13348735e-01 2.52174884e-01 1.00000000e-04],9.387292296172124,10.597632668148307,1,1,10
84,5.288295247486672,"[3.082435282204718, 0.9011744652244944, 2.543403017421209, 0.7021885673885373]",[4.99990000e+00 2.54514830e-03 2.10931666e-02 1.00000000e-04],18.576590494973345,19.786930866949525,1,1,10
85,6.656275870544062,"[0.5808999607062466, 0.9445523927169349, 4.536854808952502, 7.526867133247849]",[1.70847221e+00 2.83107084e-02 1.00000000e-04 3.87681489e-02],21.31255174108812,22.52289211306431,1,1,10
88,4.158895887864028,"[2.2124769639413757, 0.9915736010776284, 15.400309976461378, 15.045766772831346]",[ 3.53606664  0.01733426 15.57316388 14.92375129],16.317791775728054,17.52813214770424,1,1,10
89,5.52596401062667,"[0.7504571906954723, 0.21599460516871963, 2.7706518922987233, 1.3824880410072773]",[4.99990000e+00 8.97782589e-04 1.06778400e-02 1.00000000e-04],19.05192802125334,20.262268393229526,1,1,10
90,0.6931471805689451,"[3.335954562035791, 0.047391228062651156, 10.500699556007465, 1.0444834992318608]",[ 3.33595456  0.04739123 10.50069956  1.0444835 ],9.38629436113789,10.596634733114074,1,1,10
91,2.612472497604698,"[1.5092731915798967, 0.4980475668145918, 16.28754864096582, 9.032680959150394]",[4.99990000e+00 1.40157247e-02 1.00000000e-04 3.10963819e-02],13.224944995209395,14.435285367185578,1,1,10
95,0.6939828338950208,"[1.308100249634392, 0.007910752118880517, 14.462190678150334, 10.07250133866184]",[4.99990000e+00 1.95860534e-01 1.00000000e-04 2.56517475e+00],9.387965667790041,10.598306039766225,1,1,10
96,1.7941682807221278,"[2.706193056362477, 0.8696555870422741, 23.145274448536984, 6.785678248959741]",[4.99990000e+00 2.59560690e-02 1.00000000e-04 1.94296217e-01],11.588336561444255,12.798676933420438,1,1,10
97,6.800305042729986,"[1.015523486988557, 0.7277572745865359, 7.680775925587913, 0.7707027259639282]",[2.37119563e-02 9.77479915e-01 2.39999000e+01 1.00000000e-04],21.60061008545997,22.810950457436157,1,1,10
98,2.7725887222457817,"[4.39580751344307, 0.7434075610093628, 1.8333863713437033, 23.620489061171146]",[ 4.9999      0.9999     23.9999     23.58604197],13.545177444491564,14.755517816467748,1,1,10
99,2.3588559897337364,"[1.2992476676379257, 0.2230738944979496, 15.238298529429573, 14.405153827625272]",[1.38536456e+00 9.99900000e-01 2.58222915e+00 1.00000000e-04],12.717711979467474,13.928052351443657,1,1,10
1,0.6931471805689451,"[2.848963314726314, 0.250323990333258, 8.677234880848422, 10.789723341376565]",[ 1.65884226  0.56346158 15.07832343  6.28232637],9.38629436113789,10.596634733114074,2,2,11
4,3.71836098323622,"[2.5992251362844834, 0.35737711442815895, 14.426022894460662, 8.47530794922491]",[4.99990000e+00 6.59179903e-03 1.82083758e-02 1.00000000e-04],15.43672196647244,16.647062338448624,2,2,11
11,5.460690349818238,"[0.3859965481173835, 0.7743076852373963, 21.638071127421025, 21.10725257920546]",[5.85528060e-01 1.00000000e-04 2.17625040e+01 2.03752663e+01],18.921380699636476,20.13172107161266,2,2,11
16,5.929318576839539,"[0.6571634965759738, 0.7514196517433519, 2.1332638917921662, 1.5989228652157634]",[4.99990000e+00 8.11500773e-04 1.00000000e-04 5.73592763e-03],19.858637153679076,21.068977525655264,2,2,11
19,0.6931471805689451,"[2.886133354744636, 0.05466152440568561, 7.299317551765293, 7.372981601577596]",[3.01752677 0.9999     8.08013197 6.63489376],9.38629436113789,10.596634733114074,2,2,11
21,2.0794415416868364,"[4.748497286275346, 0.4985525885715366, 6.769959398666882, 7.565340768720474]",[4.74849729 0.49855259 6.7699594  7.56534077],12.158883083373674,13.369223455349857,2,2,11
23,3.2086850766553514,"[1.3909793343949157, 0.2427903150624067, 22.921949476505, 2.0278507253100995]",[4.99990000e+00 5.43339791e-03 1.00000000e-04 2.52974583e-02],14.417370153310703,15.627710525286886,2,2,11
24,4.6226039344832,"[2.5902586563776175, 0.31928547464136525, 16.000240884688978, 7.5471580468781365]",[4.99990000e+00 3.84467142e-03 1.37987279e+00 1.38777438e+00],17.2452078689664,18.455548240942584,2,2,11
26,0.6931471989613824,"[0.3182206760639727, 0.2914887895198597, 3.087028466335426, 1.1000130884619224]",[4.99990000e+00 1.97772637e-01 1.45336045e+00 1.00000000e-04],9.386294397922764,10.596634769898948,2,2,11
30,0.6931471805689451,"[2.4580516996547264, 0.8378134011312925, 14.791277205713238, 11.54392289835881]",[ 2.4580517   0.8378134  14.79127721 11.5439229 ],9.38629436113789,10.596634733114074,2,2,11
31,0.6931471846709569,"[2.2969510087069054, 0.43259586460344757, 2.3390223803858796, 8.26249687403527]",[4.74938177 0.14928261 0.01387676 1.71964324],9.386294369341915,10.596634741318098,2,2,11
32,0.6931471805689451,"[0.6978855206701793, 0.2626530907829413, 11.46717018126178, 21.165990391980035]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],9.38629436113789,10.596634733114074,2,2,11
33,0.6931471805689451,"[2.194550123598302, 0.2650565703002118, 8.157397503425193, 0.36748370152527243]",[2.19455012 0.26505657 8.1573975  0.3674837 ],9.38629436113789,10.596634733114074,2,2,11
36,5.527197623137865,"[0.6863282950151094, 0.49222519988712243, 23.31907494458972, 1.625604117674186]",[4.99990000e+00 2.27662769e-03 1.00000000e-04 2.93184408e-03],19.054395246275732,20.264735618251912,2,2,11
40,4.425266112029677,"[0.8596099612028653, 0.7874276668391842, 9.627153205462347, 0.4567838453161651]",[4.99990000e+00 2.19373931e-03 1.77123321e-02 1.00000000e-04],16.850532224059354,18.060872596035537,2,2,11
41,5.738212354061837,"[1.7902654316933222, 0.8980203898667527, 1.289043204183708, 7.525704141996355]",[3.66694257e-01 9.87292892e-01 2.39999000e+01 1.00000000e-04],19.476424708123673,20.686765080099857,2,2,11
46,2.7472687772827986,"[0.6142180385035892, 0.2647614197966594, 3.903427876587712, 0.22247966905314479]",[2.78041124 0.05594057 1.00527198 1.65960862],13.494537554565596,14.70487792654178,2,2,11
49,0.6931471805689451,"[4.823240621183224, 0.5272024738317473, 3.3793576869468924, 5.410645197279235]",[4.82324062 0.52720247 3.37935769 5.4106452 ],9.38629436113789,10.596634733114074,2,2,11
50,0.6931471805689451,"[0.7205232403684992, 0.7973257738474322, 0.5249512914336073, 1.8269876868223127]",[4.65301102 0.9999     0.42780016 2.97466036],9.38629436113789,10.596634733114074,2,2,11
51,3.465735910489455,"[4.915402014548876, 0.8267835362655316, 15.784671692666159, 8.505150447064912]",[ 4.91069902  0.82809203 15.78467169  8.50510759],14.93147182097891,16.141812192955094,2,2,11
60,4.387301207245992,"[0.6817009900941596, 0.322901234222971, 1.9140706750562564, 4.91312746103874]",[2.30928076e+00 1.24642180e-01 1.00000000e-04 9.19635652e-01],16.774602414491984,17.984942786468167,2,2,11
65,5.964787585136644,"[0.7752212560129189, 0.21698823144356302, 5.2074317489029855, 1.1453443723264622]",[3.04514019 0.01536565 0.03906908 0.10265965],19.92957517027329,21.139915542249472,2,2,11
73,3.286932457704234,"[0.7575636133422218, 0.5879811487252182, 18.109811030143646, 23.052266696743548]",[4.9999     0.0085789  1.94199644 1.89066544],14.573864915408468,15.784205287384651,2,2,11
75,1.1592275204118774,"[0.4061309181032708, 0.9205495834305502, 7.061404297314387, 7.9978247382981005]",[4.9999     0.12320681 2.54719042 2.59129004],10.318455040823755,11.528795412799939,2,2,11
77,0.6933215980195215,"[2.3972597743154904, 0.8744853679835216, 20.897916272226993, 15.313304770661471]",[4.99990000e+00 8.90351074e-02 1.00000000e-04 2.19782229e-02],9.386643196039042,10.596983568015226,2,2,11
84,6.051078668507636,"[1.1360023393454899, 0.7482008134941938, 3.8385945772392662, 0.6104177537679465]",[4.99990000e+00 1.54288967e-03 1.11128535e-02 1.00000000e-04],20.10215733701527,21.312497708991458,2,2,11
85,5.199428777248803,"[3.8788065158809646, 0.15324080549467217, 10.189333963438601, 9.277322419282388]",[4.99990000e+00 2.17685131e-03 1.04278875e-02 1.00000000e-04],18.398857554497607,19.60919792647379,2,2,11
88,6.4218748575932665,"[2.5256674419376344, 0.41306493182534504, 9.183739347445952, 6.16670889217504]",[6.46294523e-02 1.00000000e-04 9.42130127e+00 1.00000000e-04],20.843749715186533,22.054090087162717,2,2,11
89,5.6554224357067735,"[3.006542199277208, 0.8199989031611168, 8.473712663267968, 1.6591966078001006]",[4.99990000e+00 8.89802031e-04 8.81203393e-03 1.00000000e-04],19.310844871413547,20.52118524338973,2,2,11
90,0.6931471805689451,"[0.3501186337380346, 0.8014409312278746, 12.78400432407482, 9.424555840667995]",[ 1.40854264  0.85599217 12.81386627  9.4229598 ],9.38629436113789,10.596634733114074,2,2,11
91,6.700600765600756,"[2.988382139631316, 0.8695653164993449, 12.404784086714956, 2.8020718973742595]",[1.66582851e-01 9.99900000e-01 1.00000000e-04 6.11532038e+00],21.40120153120151,22.611541903177695,2,2,11
95,0.6937097943746995,"[1.8085885520299398, 0.2028483848806382, 9.951778958250786, 7.322874046302619]",[4.99990000e+00 2.04640261e-01 1.00000000e-04 2.56614679e+00],9.387419588749399,10.597759960725583,2,2,11
96,1.7985031872876667,"[1.471776072765121, 0.3088793430444382, 18.293355675810567, 0.9386874068880878]",[4.99990000e+00 2.60836208e-02 1.00000000e-04 2.20300057e-01],11.597006374575333,12.807346746551517,2,2,11
