participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,0.6931471811141408,"[3.541172711597441, 0.13138804574155177, 8.696768484741762, 15.355686449777544, 0.7612368458836737]","[4.88616922e+00 8.45167114e-01 8.68314430e+00 1.23568552e+01
 1.00000000e-04]",11.38629436222828,12.899219827198511,1,1,10
4,3.688019052770927,"[1.022255094234483, 0.3426356599529171, 0.9243118160216981, 0.4173699108900883, 0.25022917776984993]","[4.99990000e+00 6.41770506e-03 1.00000000e-04 1.56918982e-02
 1.00000000e-04]",17.376038105541852,18.888963570512082,1,1,10
11,6.414550922707821,"[2.15948386053442, 0.5394666327713246, 23.458589532711496, 4.778452007503905, 0.10621842004725857]",[ 2.19537515  0.60565119 23.9999      4.73911471  0.34575635],22.829101845415643,24.342027310385873,1,1,10
16,5.810414578438858,"[1.0658467637913858, 0.9227259698686997, 2.8956963203892148, 3.904698998772125, 0.1829572948344396]",[1.50794714 0.92472596 2.88946028 4.9814608  0.4495121 ],21.62082915687772,23.13375462184795,1,1,10
19,0.6935972155329367,"[0.5117721752814366, 0.5281476332895985, 19.555961968382867, 0.12689110560847072, 0.19202466522323952]","[8.02908156e-01 1.00000000e-04 1.95685340e+01 1.23797496e-01
 1.00000000e-04]",11.387194431065874,12.900119896036104,1,1,10
21,2.6027017553404823,"[0.22595860892016603, 0.8682072147989849, 21.822952360093733, 3.426567179917714, 0.8039903112215423]",[ 4.93814572  0.4362613  21.25148965  3.80471392  0.33332279],15.205403510680965,16.718328975651197,1,1,10
23,4.9455990849325655,"[2.2944156602779575, 0.4713552118716567, 2.209445128950263, 3.7664456606785257, 0.4426455361879709]","[4.99990000e+00 3.22434469e-03 1.27110558e+00 1.28564293e+00
 1.00000000e-04]",19.89119816986513,21.40412363483536,1,1,10
24,4.6809445884474865,"[0.770395515437513, 0.9597675166804862, 1.298732693160374, 4.342923136945623, 0.899522747366502]","[4.99990000e+00 3.45967950e-03 1.10810105e+00 1.11633021e+00
 1.00000000e-04]",19.361889176894973,20.874814641865203,1,1,10
26,2.5750018319541215,"[4.93126730554949, 0.7139733723601559, 1.8446931344988173, 2.0645099660402173, 0.8655537752739918]",[4.52385841 0.31040198 2.10913636 1.99346214 0.35144183],15.150003663908244,16.662929128878474,1,1,10
30,0.693597222524805,"[1.1645520981937185, 0.31871575051182977, 20.06328839686429, 1.404776406693978, 0.0023029495807014065]","[8.00405787e-01 1.00000000e-04 2.00632884e+01 1.40477641e+00
 1.00000000e-04]",11.38719444504961,12.900119910019841,1,1,10
31,3.396514438191837,"[1.2552279894414693, 0.24198102672883898, 7.125671253528107, 13.777988397694727, 0.2937750732501148]",[4.74482787 0.39310482 1.80382485 6.84418132 0.16666618],16.793028876383673,18.305954341353903,1,1,10
32,2.079931728400968,"[3.2563042712712824, 0.7651388437121528, 7.843334706686592, 17.227409805571067, 0.9548449634338582]","[3.11624491e+00 1.78698155e-02 2.39804637e+01 2.39982896e+01
 1.00000000e-04]",14.159863456801936,15.672788921772167,1,1,10
33,0.6931475530165813,"[3.725650290935056, 0.5024129769899314, 22.017323997764347, 0.4645895798172047, 0.4153385185440803]","[4.99990000e+00 3.47032834e-01 2.20173240e+01 4.64589580e-01
 1.00000000e-04]",11.386295106033163,12.899220571003394,1,1,10
36,5.707875399291433,"[2.257668962256463, 0.08869036308461149, 8.433994765769922, 0.3360677018563771, 0.3468710058672777]","[4.98833058e+00 2.21107762e-03 4.49675264e-03 2.00778700e-04
 1.00000000e-04]",21.415750798582867,22.928676263553097,1,1,10
40,3.9266110709575495,"[2.919292526582752, 0.06948160990671474, 11.10987588864209, 2.3800840493863817, 0.17136584437006047]",[ 4.97359293  0.88336413 16.99625267  2.02890104  0.18808938],17.853222141915097,19.366147606885328,1,1,10
41,0.6966752193311272,"[2.8059626675607365, 0.9477605452997901, 0.3132022534699461, 8.67149834444733, 0.9633960449136212]","[4.99990000e+00 1.69964684e-01 4.93917887e-01 1.00000000e-04
 1.00000000e-04]",11.393350438662255,12.906275903632485,1,1,10
46,0.693711521888201,"[4.175988917193942, 0.6539204214910082, 0.8503811591464554, 4.032378240037786, 0.7114095153775939]","[4.99990000e+00 6.29726795e-02 1.12223814e-04 1.25459227e+00
 1.00000000e-04]",11.387423043776401,12.900348508746632,1,1,10
49,0.6935972193121887,"[0.7635911594694244, 0.00013537748610383516, 20.63778652124651, 2.8797005670101075, 0.886164546331882]","[7.62471611e-01 1.00000000e-04 2.06377865e+01 2.87970057e+00
 1.00000000e-04]",11.387194438624377,12.900119903594607,1,1,10
50,0.6935472007139825,"[0.9210617340722616, 0.2215442572205897, 1.5227491570946519, 2.2063811762743875, 0.31647819560672585]","[4.88200252e+00 6.03452707e-01 1.00000000e-04 2.06183107e+00
 1.00000000e-04]",11.387094401427966,12.900019866398196,1,1,10
51,2.772888737246136,"[4.962978088492864, 0.7109726676385572, 16.693342047066988, 0.2485245780801936, 0.6607523930923612]","[4.96297782e+00 7.10973196e-01 1.66933420e+01 2.48524578e-01
 1.00000000e-04]",15.545777474492272,17.058702939462503,1,1,10
60,0.738969739827021,"[1.4526566553145872, 0.4003522816142425, 1.117993460037509, 20.94860002055029, 0.32047604812925384]","[4.99990000e+00 4.87298875e-02 1.00000000e-04 5.42505768e-01
 1.00000000e-04]",11.477939479654042,12.990864944624272,1,1,10
65,5.86641942659991,"[1.753578911914996, 0.2506101505255046, 0.323468932544345, 2.150230533764973, 0.389925556628794]","[4.96808492e+00 1.56271709e-03 1.00000000e-04 9.16899666e-03
 1.00000000e-04]",21.73283885319982,23.24576431817005,1,1,10
73,0.957405911719867,"[0.521483972197356, 0.1480782249876992, 1.0704328857948988, 0.6814773627860113, 0.9736600365726604]","[4.99990000e+00 1.13344544e-01 1.41242877e+00 1.00000000e-04
 1.00000000e-04]",11.914811823439734,13.427737288409965,1,1,10
75,1.1593069464612449,"[0.7442711439302095, 0.9069714490978068, 2.801317570335135, 3.65401591725205, 0.03522816811335159]","[4.99990000e+00 1.23214711e-01 2.62504393e+00 2.59127493e+00
 1.00000000e-04]",12.318613892922489,13.83153935789272,1,1,10
77,0.6941462098676004,"[0.040310193984099914, 0.049096104797939855, 6.0476375848118575, 3.3169108050766343, 0.2260125516558036]","[4.99990000e+00 1.13349412e-01 2.52176371e-01 1.00000000e-04
 1.00000000e-04]",11.388292419735201,12.901217884705432,1,1,10
84,5.985653321807725,"[4.5713080832995425, 0.06527364176693923, 17.578896524946767, 19.676663088553862, 0.9610756482507357]",[ 4.62983543  0.31868684 17.57889652 19.67666309  0.25000097],21.97130664361545,23.48423210858568,1,1,10
85,6.238424905021209,"[4.200620875029383, 0.3044623853847853, 20.31993502917315, 7.772821127267986, 0.28720383999296156]","[4.43782544e+00 2.88020166e-01 2.03283982e+01 7.75354133e+00
 1.00000000e-04]",22.476849810042417,23.989775275012647,1,1,10
88,4.154089378198662,"[2.4498643734633623, 0.07211195443033733, 20.950162703260283, 16.997129494477964, 0.8431800906247743]",[4.4076909  0.0306117  6.30596391 5.73203868 0.0718252 ],18.308178756397325,19.821104221367555,1,1,10
