participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,3.8724544484576318,"[1.922173685302379, 0.12752983347318786, 0.125387425253611, 0.5183044702735689]",[4.9999     0.01351978 1.18725819 1.2184915 ],15.744908896915263,16.533807206260143,1,1,10
2,4.852030263922617,"[4.0782178304920755, 0.3030743232579407, 19.69874448416136, 21.68424502158051]",[ 4.07821783  0.30307432 19.69874448 21.68424502],17.704060527845236,18.914400899821416,1,1,10
3,4.835615380155636,"[0.34505677058113177, 0.11254186905997052, 0.01780951477772857, 1.346708775649778]",[4.81276538e+00 2.31738306e-04 1.00000000e-04 7.95166542e-03],17.67123076031127,17.988996927030612,1,1,10
4,4.524603059652028,"[3.0778586855706753, 0.5730279666144342, 2.3240840260370175, 2.75648741473554]",[4.99990000e+00 1.16794314e-03 1.00704138e-04 1.39425916e-02],17.049206119304056,17.838104428648933,1,1,10
5,6.021880047709301,"[0.16898865924200016, 0.1300804978328113, 19.89234849487333, 17.819192185687992]",[4.99990000e+00 1.20613969e-03 2.21429231e-03 1.00000000e-04],20.0437600954186,21.254100467394785,1,1,10
6,2.772588728036807,"[0.4054710644740367, 0.012329008593989138, 16.921210497089135, 16.92817777885454]",[ 3.45469535  0.07147377 17.25665247 17.52798347],13.545177456073613,13.862943622792958,1,1,10
7,1.066625070329293,"[1.7710841992484003, 0.16869673370273988, 16.55921263742688, 17.07449548899199]",[4.99990000e+00 3.07563400e-02 3.49707246e-01 1.00000000e-04],10.133250140658586,10.922148450003464,1,1,10
8,0.693233833697718,"[0.3035693379065686, 0.19720696260045653, 2.2532394370310582, 5.6168323261019575]",[4.99990000e+00 9.37495049e-02 6.71213352e-01 1.00000000e-04],9.386467667395436,9.170108263616688,1,1,10
9,0.7067925375555472,"[1.9411260153978267, 0.41223298595020685, 5.176293928872487, 11.694430460904247]",[4.99990000e+00 8.56084349e-02 1.00000000e-04 3.96531440e-01],9.413585075111094,9.731351241830437,1,1,10
10,2.7019096328876095,"[0.1332587840809532, 0.17824765037797513, 5.965511959197158, 4.626744704559513]",[4.99990000e+00 2.05812234e-03 2.85723291e-02 1.00000000e-04],13.403819265775219,13.187459861996473,1,1,10
11,6.308275491751675,"[0.7194812838442948, 0.2907203580121333, 10.398605020239062, 8.393535080053425]",[4.99990000e+00 3.24156486e-04 1.00000000e-04 3.73577386e-03],20.616550983503352,21.826891355479532,1,1,10
12,2.0794415416868364,"[4.4801587915362875, 0.5103218176879885, 9.849929262727873, 11.540325364998436]",[ 4.48015879  0.51032182  9.84992926 11.54032536],12.158883083373674,13.369223455349857,1,1,10
