participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,6.238324631413226,"[4.051220177321877, 0.7729880782742775]",[1.000e-04 9.999e-01],16.476649262826452,16.871098417498892,1,1,10
2,6.676873209178574,"[2.3638782218607126, 0.013678744393068785]",[4.9999     0.99663526],17.353746418357147,17.95891660434524,1,1,10
3,5.200452423942622,"[4.902841458168807, 0.5408911290575116]",[4.48743665e-01 1.00000000e-04],14.400904847885243,14.559787931244916,1,1,10
4,6.238267169532566,"[0.24158401198493742, 0.08588679449512034]",[0.00530287 0.0001    ],16.476534339065132,16.870983493737572,1,1,10
5,6.931471807908214,"[2.365557952438327, 0.5295095597456301]",[1.000e-04 9.999e-01],17.862943615816427,18.46811380180452,1,1,10
6,4.809849487875174,"[0.2582899320963675, 0.3915133629611858]",[1.16295286 0.39349454],13.619698975750348,13.778582059110018,1,1,10
7,6.2383246352015265,"[4.039565006513054, 0.476841386795116]",[1.000e-04 9.999e-01],16.47664927040305,16.87109842507549,1,1,10
8,4.852030264030001,"[3.763523883844055, 0.43640994449466947]",[1.000e-04 9.999e-01],13.704060528060001,13.595880826170628,1,1,10
9,5.545177467055324,"[2.656025738488842, 0.5804147524160016]",[1.000e-04 9.999e-01],15.090354934110648,15.249238017470319,1,1,10
10,4.852030266062007,"[3.7205469705218444, 0.42181303877675197]",[1.000e-04 9.999e-01],13.704060532124014,13.595880830234641,1,1,10
11,6.430055824140283,"[2.5323525915809015, 0.9282585410512354]",[4.9999     0.99268665],16.860111648280565,17.46528183426866,1,1,10
12,3.4835511597596547,"[1.1439584405474605, 0.01644632590418005]",[1.26891596e+00 1.00000000e-04],10.96710231951931,11.572272505507401,1,1,10
13,6.180999017497337,"[2.532847783002905, 0.9099566512989521]",[4.9999     0.99358718],16.361998034994674,16.967168220982764,1,1,10
14,0.6931471805689451,"[3.8431329725374357, 0.8673446948976646]",[4.18074297e+00 1.00000000e-04],5.386294361137891,5.991464547125982,1,1,10
15,6.238324632949358,"[0.9240125499775154, 0.9768481371804272]",[1.000e-04 9.999e-01],16.476649265898715,16.871098420571155,1,1,10
16,6.925441659957095,"[0.1924228106298072, 0.5256493829665119]",[0.06065074 0.14541381],17.85088331991419,18.456053505902283,1,1,10
17,4.867070552626241,"[4.7824682983927564, 0.5057565224579026]",[5.55266365e-01 1.00000000e-04],13.734141105252482,13.893024188612152,1,1,10
18,0.6931471805689451,"[4.793008169060124, 0.8883036918170322]",[4.86540091 0.1321397 ],5.386294361137891,5.991464547125982,1,1,10
19,6.696572196573722,"[3.653556718398174, 0.31001332810541604]",[4.9999     0.99692876],17.393144393147445,17.99831457913554,1,1,10
20,4.15888308423839,"[4.63987395775166, 0.4829870343755413]",[1.000e-04 9.999e-01],12.31776616847678,11.901285106932889,1,1,10
21,6.8487786111601086,"[1.8937160154165398, 0.5608114314662028]",[4.9999     0.99785624],17.697557222320217,18.302727408308307,1,1,10
22,6.238324631687581,"[0.7351247826721179, 0.7677767758163152]",[1.000e-04 9.999e-01],16.476649263375162,16.871098418047602,1,1,10
23,4.8460020803921,"[1.465851131745944, 0.7742581209273642]",[0.84062094 0.34245253],13.6920041607842,14.086453315456637,1,1,10
24,6.669899576049782,"[2.0981460632229276, 0.12445506462430693]",[4.9999     0.99692812],17.339799152099566,17.944969338087656,1,1,10
25,6.238324640090115,"[1.197614640715603, 0.7196372350815543]",[1.000e-04 9.999e-01],16.47664928018023,16.87109843485267,1,1,10
26,4.05016378681567,"[3.06842903789097, 0.4541458590335733]",[7.5011825e-01 1.0000000e-04],12.10032757363134,12.49477672830378,1,1,10
27,6.931471809170793,"[3.8871353546757583, 0.34438009906497113]",[1.000e-04 9.999e-01],17.862943618341586,18.468113804329676,1,1,10
28,6.931471806917443,"[1.1856484535366765, 0.8492945960079212]",[1.000e-04 9.999e-01],17.862943613834886,18.46811379982298,1,1,10
29,4.9209011862566925,"[0.6851513845878815, 0.3827175985784499]",[2.34279377 0.87529755],13.841802372513385,14.000685455873057,1,1,10
30,6.719976484280018,"[1.4983634901649876, 0.8879806542369013]",[4.9999     0.99723237],17.439952968560036,18.04512315454813,1,1,10
31,6.929958453537468,"[0.5545180180575612, 0.7308912308356607]",[4.9999     0.99977256],17.859916907074936,18.465087093063026,1,1,10
32,5.515469593549257,"[2.7822542317147554, 0.3536701392868514]",[1.41434076 0.5291942 ],15.030939187098515,15.636109373086606,1,1,10
33,4.938158091008769,"[4.67403444240089, 0.9566857413403891]",[4.9999     0.98937008],13.876316182017538,14.48148636800563,1,1,10
34,6.931471819992306,"[2.5340551904884903, 0.09761893220543548]",[1.000e-04 9.999e-01],17.862943639984614,18.468113825972704,1,1,10
35,4.298875589140624,"[1.0925386389487453, 0.43172648065476665]",[6.78564508e-01 1.00000000e-04],12.597751178281248,13.20292136426934,1,1,10
36,5.811963381759244,"[1.069534890446811, 0.49116508415917914]",[4.9999     0.99480092],15.623926763518488,16.018375918190927,1,1,10
37,6.502675975922587,"[3.992658742264491, 0.32038543396984687]",[4.9999     0.99553646],17.005351951845174,17.610522137833264,1,1,10
38,6.931471813894658,"[2.4339949087344603, 0.6303606796625326]",[1.000e-04 9.999e-01],17.862943627789313,18.468113813777407,1,1,10
39,4.288261428998889,"[4.371738319069623, 0.9996001464706411]",[3.29397396 0.90551096],12.576522857997778,12.970972012670217,1,1,10
40,0.6931471805659452,"[4.482990244698025, 0.14665102797238877]",[4.48299024 0.14665103],5.38629436113189,5.278114659242517,1,1,10
41,5.353636231516157,"[1.917258286367416, 0.21780182713469728]",[0.71016421 0.56092762],14.707272463032314,14.866155546391987,1,1,10
42,4.789190125127669,"[2.4489564498437413, 0.5504493562151886]",[6.18412768e-01 1.00000000e-04],13.578380250255337,13.972829404927776,1,1,10
43,6.9314718093359895,"[1.4504142450421997, 0.14244271176201476]",[1.000e-04 9.999e-01],17.862943618671977,18.46811380466007,1,1,10
44,4.516141890365417,"[0.22629779314251278, 0.0026445955463318773]",[5.74308757e-01 1.00000000e-04],13.032283780730834,13.191166864090505,1,1,10
45,0.6931471805689451,"[0.9687892728342733, 0.22314079558723926]",[4.07808856e+00 1.00000000e-04],5.386294361137891,5.991464547125982,1,1,10
46,6.238324632729624,"[2.4452133420259896, 0.3182052624828277]",[1.000e-04 9.999e-01],16.476649265459248,16.871098420131688,1,1,10
47,6.238324627071377,"[0.7104399202679446, 0.5641250518633871]",[1.000e-04 9.999e-01],16.476649254142753,16.871098408815193,1,1,10
48,5.1276348791398565,"[1.5060204588146577, 0.6430212513117498]",[4.9999     0.99079731],14.255269758279713,14.649718912952153,1,1,10
49,6.092281232211835,"[3.2950457549798604, 0.3465500793739517]",[4.9999     0.99387295],16.18456246442367,16.789732650411764,1,1,10
50,6.108752875340426,"[1.6754143975875377, 0.4389261031743044]",[4.9999     0.99754522],16.21750575068085,16.61195490535329,1,1,10
51,6.238324625479625,"[1.8909696802681024, 0.18716328259229773]",[1.000e-04 9.999e-01],16.476649250959248,16.871098405631688,1,1,10
52,6.931471816751568,"[1.2649347385943264, 0.07909730547940992]",[1.000e-04 9.999e-01],17.862943633503136,18.46811381949123,1,1,10
53,4.719455488428074,"[0.3785623298168218, 0.26532143052750695]",[4.9999     0.99761754],13.438910976856148,13.330731274966775,1,1,10
54,6.640787180953326,"[3.6485984178091377, 0.648612443553139]",[2.35914211 0.9196532 ],17.28157436190665,17.886744547894743,1,1,10
55,4.158883084679078,"[0.7776043023776131, 0.6965021915681909]",[1.000e-04 9.999e-01],12.317766169358157,11.901285107814267,1,1,10
56,5.8242144006415755,"[0.10394524950592657, 0.37339494633309483]",[0.86914553 0.39586278],15.648428801283151,16.04287795595559,1,1,10
1,6.2383246374554036,"[0.14611301019951892, 0.35166132026962715]",[1.000e-04 9.999e-01],16.476649274910805,16.871098429583245,2,2,11
2,6.279950622601293,"[4.185946789033353, 0.22430272759437994]",[4.9999     0.99454566],16.559901245202585,17.165071431190675,2,2,11
3,4.88146736556035,"[0.09330031909508257, 0.3586055824983015]",[6.51683248e-01 1.00000000e-04],13.7629347311207,13.92181781448037,2,2,11
4,6.174668796633658,"[0.16584353546800232, 0.521649725216932]",[1.73354168e-01 1.00000000e-04],16.349337593267315,16.743786747939755,2,2,11
5,6.9314718077428426,"[4.395751922508239, 0.03426810491313842]",[1.000e-04 9.999e-01],17.862943615485683,18.468113801473777,2,2,11
6,2.94085473811365,"[0.044760869231341725, 0.5705066373961988]",[1.21934426e+00 1.00000000e-04],9.8817094762273,10.040592559586972,2,2,11
7,6.009958050377175,"[3.5442265452574384, 0.2611713570208773]",[2.58649763e-01 1.00000000e-04],16.01991610075435,16.414365255426787,2,2,11
8,5.532796016211392,"[3.665157164295317, 0.7852889520012502]",[4.9999     0.99897513],15.065592032422783,15.224475115782454,2,2,11
9,6.238324650801124,"[1.8264263880083034, 0.14654475517915996]",[1.000e-04 9.999e-01],16.476649301602247,16.871098456274687,2,2,11
10,5.545177444754401,"[2.403108012496844, 0.23034077309640547]",[1.000e-04 9.999e-01],15.090354889508802,15.249237972868475,2,2,11
11,6.911053006535312,"[0.029056595999520665, 0.4356336953586381]",[0.15499858 0.03427216],17.822106013070623,18.427276199058717,2,2,11
12,3.8168134030780205,"[1.859360473047745, 0.04579208651752756]",[1.33080349 0.07436504],11.633626806156041,12.238796992144133,2,2,11
13,6.676388916312843,"[0.8095617451513074, 0.19100440989403322]",[4.9999     0.99629178],17.352777832625684,17.957948018613777,2,2,11
14,4.147735631755471,"[0.49437689284084657, 0.21572063175300488]",[1.52965085 0.5917836 ],12.295471263510942,12.900641449499034,2,2,11
15,5.545177449917646,"[0.25350487579141034, 0.3018822391623526]",[1.000e-04 9.999e-01],15.090354899835292,15.249237983194963,2,2,11
16,6.187817172891285,"[4.707614592087404, 0.3264656143244304]",[0.13439074 0.10936891],16.375634345782572,16.77008350045501,2,2,11
17,4.867070552626241,"[4.397516168522862, 0.47871277037528703]",[5.55266367e-01 1.00000000e-04],13.734141105252482,13.893024188612152,2,2,11
18,0.6931471805689451,"[1.9512667358490359, 0.8776098094960724]",[3.84247438e+00 1.00000000e-04],5.386294361137891,5.991464547125982,2,2,11
19,6.832831631631671,"[2.388287162786665, 0.9504088841544138]",[4.9999     0.99815965],17.66566326326334,18.270833449251434,2,2,11
20,3.564813165250209,"[1.2882205609539603, 0.15382439158621547]",[8.8594308e-01 1.0000000e-04],11.129626330500418,10.713145268956527,2,2,11
21,6.499011567259173,"[4.789256955470758, 0.14068501926355978]",[4.9999     0.99521074],16.99802313451835,17.60319332050644,2,2,11
22,6.238324637729758,"[1.4331080280528157, 0.5619995945927176]",[1.000e-04 9.999e-01],16.476649275459515,16.871098430131955,2,2,11
23,4.508499954256914,"[3.058284590781909, 0.9546471063596804]",[3.67890073e-01 1.00000000e-04],13.016999908513828,13.411449063186268,2,2,11
