participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,168.43476491077834,"[3.9314533789275106, 0.045048099875829944, 7.039000885156563, 18.77811591118501]",[ 3.9314278   0.04507652  7.03900089 18.77811591],344.8695298215567,358.8582027227295
2,167.7416176955091,"[4.8848536448916935, 0.7470395847068919, 19.999209116012253, 11.132585550104105]",[3.57259156e+00 1.00000000e-04 1.99992092e+01 1.11325855e+01],343.4832353910182,357.471908292191
3,168.43476487606702,"[4.807105254560057, 0.37959631305317565, 6.779914608379753, 2.7902943518209447]",[4.99990000e+00 1.00000000e-04 6.77991461e+00 3.04895030e+00],344.86952975213404,358.84177552549625
4,170.51420641774686,"[4.239338970149758, 0.2239924214328685, 5.440713366281184, 15.358283216846383]",[4.99990000e+00 1.00000000e-04 5.44071337e+00 1.53568266e+01],349.0284128354937,363.04973897922315
5,225.74565721400657,"[2.68389666520848, 0.15638116738329255, 18.685630108031784, 3.1415268539885415]",[3.18541667e-03 1.00000000e-04 1.00000000e-04 2.39999000e+01],459.49131442801314,474.63890395348
6,169.12791205662796,"[3.685158593298099, 0.06453005541672231, 10.018729000843958, 20.6968650607836]",[ 3.68515859  0.06453006 10.018729   20.69686506],346.2558241132559,360.26085695543486
7,208.63730134854495,"[2.768930259242814, 0.043607132176109856, 15.12689256299855, 2.0913552688143247]",[4.99990e+00 1.00000e-04 2.39999e+01 1.00000e-04],425.2746026970899,440.1163107665894
8,224.57968650142274,"[4.88155402256942, 0.3382886917417111, 13.86306635771122, 11.065186093049556]",[4.99990000e+00 1.00000000e-04 1.37194571e+01 1.12086134e+01],457.1593730028455,472.2823470660148
9,166.7371040671889,"[4.005817524721591, 0.39779278286274317, 3.072968741400053, 17.101036386087635]",[8.68811848e-03 1.00000000e-04 1.00000000e-04 2.39999000e+01],341.4742081343778,355.4299590390046
10,158.64586954523543,"[3.2491512823473583, 0.3233058696899485, 22.343432276532035, 1.2086164646406499]",[1.75459200e-03 1.00000000e-04 1.00000000e-04 2.38094024e+01],325.29173909047086,339.0266271046878
