participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,157.34441248437966,"[3.865620462520299, 0.6403680250505318, 7.923291329843772, 12.516762604336096, 0.005052248078893055]","[6.76650724e-02 1.00000000e-04 6.13373197e+00 2.39999000e+01
 7.54301818e-03]",324.6888249687593,342.17466609522535
2,168.43476515440383,"[3.5311253555611697, 0.0038493497318239614, 11.890290195323384, 14.601605470095542, 0.00014895874529054389]","[3.52794162e+00 6.69988739e-03 1.18902902e+01 1.46014132e+01
 1.48958745e-04]",346.86953030880767,364.3553714352737
3,89.9936895654593,"[0.8851323509635365, 0.06994701587698969, 19.00145479471685, 11.315006835982262, 0.000272476060206287]","[5.53286465e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",189.9873791309186,207.45268634762135
4,167.93249929515477,"[2.838098638909126, 0.4339055048373049, 5.46814091318319, 9.456245240379182, 0.007126058861773075]","[2.37563559e-02 6.18780430e-03 1.00000000e-04 1.40587431e+01
 0.00000000e+00]",345.86499859030954,363.39165626997135
5,221.097201259142,"[2.868827928032447, 0.26515691958899457, 17.957317760579375, 6.043765912920788, 0.009484911188095982]","[1.04347695e-01 1.00000000e-04 2.15929943e+00 1.00000000e-04
 0.00000000e+00]",452.194402518284,471.1288894251175
6,167.74523248182476,"[4.440369599248223, 0.015323409328469768, 15.986887536372139, 18.893427976968734, 0.007023989295814182]","[4.43116450e+00 1.73643847e-02 1.59725018e+01 1.88934280e+01
 7.03305997e-03]",345.4904649636495,362.9967560163731
7,187.0623092596187,"[0.704469738281854, 0.4159080029370304, 15.554943175502617, 3.17861641900141, 0.0033803392772363415]","[6.14857502e-02 1.00000000e-04 1.21322765e+01 1.00000000e-04
 1.59719709e-03]",384.1246185192374,402.67675360611173
8,210.4790760108888,"[2.759185333458351, 0.2873700610749049, 8.810578839079787, 6.037725520349716, 0.00247327818755376]","[2.23677283e-01 1.00000000e-04 2.36548136e+01 2.39999000e+01
 8.50571911e-03]",430.9581520217776,449.8618696007393
9,166.7467252751946,"[3.21611626462415, 0.5896150818620203, 17.8675011720157, 3.623001651875741, 0.006753867515426638]","[1.13428491e-02 1.54398796e-01 1.00000000e-04 2.39999000e+01
 0.00000000e+00]",343.4934505503892,360.93813918117263
10,158.6136152740896,"[0.42273083163014047, 0.2550757576767612, 22.788735339715572, 11.17686469356303, 0.008044690345579765]","[3.93049041e-03 1.00000000e-04 1.00000000e-04 2.39999000e+01
 8.12568875e-03]",327.2272305481792,344.3958405659504
11,154.4848530833356,"[3.5061167758310496, 0.7095321429645793, 12.388215831322643, 0.6215866994657412, 0.004107607540123094]","[1.01127128e-01 1.00000000e-04 1.91514216e+01 2.39999000e+01
 4.05283551e-03]",318.9697061666712,336.41439479745463
12,164.54847956065504,"[0.9541711702576302, 0.10977812523482866, 21.4607853159646, 12.86782652499158, 0.0018066792849360368]","[7.24116210e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.72938704e-03]",339.0969591213101,358.01608503295876
13,228.71863413347194,"[0.23054554757190449, 0.17595884139762544, 16.506513378658322, 3.3361211386359155, 0.009446465179991492]","[1.31583528e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.00000000e-02]",467.4372682669439,486.4478601438292
14,195.44638449539332,"[1.6777672297651913, 0.10580653870445249, 5.996090882178904, 7.505531329935769, 0.005510099421880345]","[9.68110755e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 1.00000000e-02]",400.89276899078664,419.8578370327074
15,157.58338310516532,"[0.01855438762234764, 0.12022387020259408, 21.822244532643673, 10.881856323267733, 0.004660635808557605]","[3.24637951e-02 9.48950401e-02 2.39999000e+01 3.46714993e+00
 6.80226876e-03]",325.16676621033065,342.3788547629396
16,156.04513674014444,"[1.722637781282703, 0.2566219069572922, 22.61171281470366, 17.145824693329207, 0.0030686608207357415]","[4.39594511e-02 1.00000000e-04 2.12717963e+01 2.39999000e+01
 1.00000000e-02]",322.0902734802889,339.2150235676959
17,188.20571937295097,"[2.2427158264912266, 0.7985024677088273, 9.875265024616729, 16.559401495548933, 0.008668305354104917]","[5.31933882e-02 6.52071480e-03 1.03427960e+01 1.00000000e-04
 0.00000000e+00]",386.41143874590193,405.2059476152883
18,101.40808731487846,"[2.864501342726392, 0.2098185859201011, 12.091385370405844, 20.978834734225558, 0.008163258877925484]","[1.32794986e-01 1.00000000e-04 2.39999000e+01 3.63460985e+00
 4.24534314e-03]",212.81617462975692,230.28148184645966
19,147.21926253317744,"[2.1557307127131287, 0.4089912827827772, 6.265533906522283, 8.28150133266382, 0.0023853422357498857]","[7.58322684e-02 1.00000000e-04 1.41772382e+01 1.00000000e-04
 0.00000000e+00]",304.4385250663549,321.9243661928209
20,163.42901868471964,"[4.351527777173364, 0.6431675730403933, 8.79231557535175, 6.058347718124476, 0.006768546542455797]","[3.52966566e-02 1.00000000e-04 1.91673874e+01 2.39999000e+01
 1.00000000e-02]",336.8580373694393,354.21939073779663
21,166.94220786819554,"[1.4329784195447846, 0.18610669897327572, 13.935029315349395, 15.723511833618474, 0.008659204702357079]","[1.15337942e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01
 0.00000000e+00]",343.8844157363911,361.3497229530938
22,167.85751896955122,"[0.9225442807745146, 0.09591772603699268, 1.8994778435881101, 6.552569320772615, 0.0021088733095560343]","[3.77824521e-02 1.55435212e-01 2.39999000e+01 1.50573475e+01
 1.00000000e-02]",345.71503793910244,363.2008790655685
23,159.09737387195835,"[2.5275004907072685, 0.10761865121402019, 6.29812631743238, 9.581472686250132, 0.009629716086321462]","[1.76734866e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",328.1947477439167,345.7010387966403
24,164.3636745521651,"[0.18387234648394957, 0.21123628378886267, 13.212316896747664, 7.329165059903637, 0.0058445952175602625]","[1.66815900e-02 1.00000000e-04 1.68178686e+01 1.00000000e-04
 0.00000000e+00]",338.7273491043302,356.08870247268754
25,168.43476487606802,"[4.293494377507699, 0.3760057411752279, 15.22447756350522, 23.697349846451928, 0.006057043090915188]","[4.99990000e+00 1.00000000e-04 2.39999000e+01 2.23805151e+00
 0.00000000e+00]",346.86952975213603,364.35537087860206
26,169.1171160679498,"[1.087515377415875, 0.4164324122509212, 6.239232252942878, 6.4325932571416855, 0.00445492258613692]",[0.07041758 0.08948984 0.08086057 0.0001     0.01      ],348.2342321358996,365.7608898155614
27,157.92356429217236,"[2.3849824763220306, 0.37284328433715497, 14.720004957842757, 16.902474741587852, 0.008322975300354626]","[2.95684922e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",325.8471285843447,343.3534196370683
28,167.925978612467,"[2.9644869742448003, 0.07523013008912237, 9.070849465707527, 6.865450514674717, 0.005044399935914498]","[1.15170016e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",345.851957224934,363.3786149045958
29,158.50106700291985,"[0.837432011871264, 0.06247176588085925, 4.722599827955866, 11.251459644804843, 0.004716053824789754]",[1.9651084e-02 1.0000000e-04 2.3999900e+01 1.0000000e-04 2.1260732e-03],327.0021340058397,344.5287916855015
30,168.47703288249016,"[1.0578257828236663, 0.315227362936456, 13.762290191202483, 1.5057510252801332, 0.0038751626128048955]","[3.02314696e-02 1.00000000e-04 2.39999000e+01 1.00000000e-04
 7.38136933e-03]",346.9540657649803,364.52120949580524
31,160.62074070057008,"[1.948995473269184, 0.22985057477003193, 2.28861917548182, 3.017924913442169, 0.007055330284558763]","[3.17729087e-02 1.00000000e-04 1.00000000e-04 8.42756834e+00
 0.00000000e+00]",331.24148140114016,348.66546606859345
32,164.4042985893949,"[3.1409309980524247, 0.6550793974189459, 0.4337908265330843, 19.486924721140742, 0.003370325204507054]","[2.80766781e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01
 6.01431990e-03]",338.8085971787898,356.3757409096147
33,159.54189631140858,"[3.5847773386197557, 0.2669010721006326, 8.49654418640996, 8.718434884304576, 0.00258881890766303]","[2.48995371e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01
 1.85129399e-03]",329.08379262281716,346.61045030247897
34,223.76778102807594,"[0.5435261681716281, 0.21124790450896785, 13.84277111819165, 10.721024709505143, 0.008006922985406003]","[3.17864216e-02 1.00000000e-04 1.00000000e-04 2.13128280e+00
 0.00000000e+00]",457.5355620561519,476.50063009807263
35,158.34761120343362,"[0.16046062602182262, 0.1203081660659314, 20.707553584316486, 19.788328920959053, 0.001878112733802716]","[2.02985349e-02 1.00000000e-04 1.00000000e-04 2.39999000e+01
 1.00000000e-02]",326.69522240686723,344.0143814319953
