participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,157.58340170207234,"[4.818473118583334, 0.1557829668772326, 0.1385816199031165, 0.2750024436859273, 0.950483877316416]","[3.13860196e+00 1.00000000e-04 6.38684446e-01 4.40046226e-01
 3.57048137e-01]",325.1668034041447,342.6526445306107
2,144.9748471113266,"[4.485293252505975, 0.6702470182366154, 0.43114382801219925, 0.8613505064566938, 0.8752664717527416]",[4.9999     0.91694333 0.20436185 0.84769067 0.66737247],299.9496942226532,317.4355353491192
3,78.20952991490273,"[3.053965785641007, 0.2869149962581107, 0.6278912316321498, 0.8688749996333742, 0.1974835531278575]",[0.7851586  0.09033921 0.81037425 0.20987647 0.62689914],166.41905982980546,183.8843670465082
4,167.14387699504246,"[0.6531307063396091, 0.3020031605011763, 0.8164140378877641, 0.47734659498512194, 0.6558359065955685]","[2.53010291e-02 1.00000000e-04 2.52987140e-02 1.00000000e-04
 9.55766117e-01]",344.2877539900849,361.81441166974673
5,219.09183222435,"[2.90633034657299, 0.45691960955537864, 0.48223935163005943, 0.13621346681878035, 0.8729743550439799]","[4.99990000e+00 7.89838455e-01 1.00000000e-04 9.66053176e-01
 5.80137528e-01]",448.1836644487,467.1181513555335
6,165.96997950425637,"[1.2662013385251614, 0.9526846853649538, 0.8286583753098095, 0.7080087316122442, 0.5878545037860797]","[1.20805575e+00 6.78994855e-01 1.00000000e-04 3.88243852e-01
 8.27905108e-01]",341.93995900851274,359.44625006123636
7,191.56300065308858,"[0.7185965238288451, 0.4241306962525667, 0.7005571159627157, 0.784346027983956, 0.8029396617889916]","[4.39978637e-01 1.00000000e-04 4.85373394e-01 4.58179328e-01
 3.50537139e-01]",393.12600130617716,411.6781363930515
8,198.57702714489176,"[2.999608780999222, 0.8761888551616148, 0.6326129031675117, 0.5593683372573635, 0.5589409699561231]",[0.2835911  0.15011775 0.9999     0.04737873 0.79001871],407.1540542897835,426.05777186874514
9,167.02883585949732,"[3.58831698701158, 0.9734651252224982, 0.266849080562723, 0.6060224852498425, 0.26432856224110385]",[4.9999     0.71721676 0.24572117 0.67264299 0.2802971 ],344.05767171899464,361.5023603497781
10,155.51678363786183,"[1.8350045864498796, 0.14894791018719292, 0.2731355507058077, 0.9950727255381269, 0.8304597639596216]","[6.33758892e-01 5.52411598e-01 1.60243092e-01 1.00000000e-04
 9.02392967e-01]",321.03356727572367,338.20217729349486
11,156.246552616518,"[1.9424515780822236, 0.08638995587894284, 0.3739309533492086, 0.25686860514937704, 0.6663745337231778]","[2.70038860e+00 1.11921480e-04 5.73582809e-01 4.69584238e-01
 2.86312919e-01]",322.493105233036,339.9377938638194
12,156.9277529807902,"[2.736319519422867, 0.5957709283282486, 0.7996545193635275, 0.7303585987141767, 0.3245660749860093]",[4.9999     0.07743855 0.57368063 0.25221431 0.51940481],323.8555059615804,342.77463187322905
13,216.8507260881257,"[2.4199416551863737, 0.6630310966643586, 0.03544331417138314, 0.2632572177902106, 0.03433428873069911]",[4.9999     0.99762955 0.9999     0.2076191  0.83551999],443.7014521762514,462.7120440531367
14,165.01727265940414,"[0.00856461951362888, 0.1269296173184936, 0.039436592409969905, 0.30366885334611027, 0.3125374141183886]","[4.37331662e+00 1.00000000e-04 8.88448367e-01 1.36348123e-01
 4.20929624e-01]",340.0345453188083,358.99961336072903
15,158.78128920320785,"[0.847874382060708, 0.3619848429374193, 0.8254726931967798, 0.2738249048329041, 0.9277255898989794]","[4.99990000e+00 9.61188309e-01 1.00000000e-04 9.95859288e-01
 5.21069219e-01]",327.5625784064157,344.77466695902467
16,155.71777482855117,"[2.3202064317255346, 0.6594960775992822, 0.7627882969074428, 0.1864250713222558, 0.6119033441291784]","[5.60630469e-01 4.00386255e-01 1.00000000e-04 5.59579288e-01
 7.45803156e-01]",321.43554965710234,338.56029974450934
17,187.2184634849358,"[1.9712987803633328, 0.596699109478216, 0.25435574986608134, 0.6233222387845611, 0.9556321965308904]",[0.31568307 0.01705443 0.41572984 0.39643727 0.4687329 ],384.4369269698716,403.231435839258
18,102.11757296882321,"[1.3709490591550964, 0.5122580446277258, 0.577858554869707, 0.28694832341873255, 0.23070161742382944]","[3.54765076e+00 2.00441081e-04 7.12851845e-01 3.93531585e-01
 6.42520299e-01]",214.23514593764642,231.70045315434916
19,142.13954360667915,"[1.3681163372105007, 0.6510210620021071, 0.6257417221176872, 0.9419511088679048, 0.4834367350482016]",[0.17616342 0.01384979 0.69678433 0.29217854 0.47431232],294.2790872133583,311.76492833982434
20,155.7311201878423,"[4.7431906327898155, 0.540809514773783, 0.9818045186216544, 0.10128279421273079, 0.7779151792558477]",[4.9999     0.35729309 0.62671392 0.43139942 0.13411036],321.4622403756846,338.82359374404194
21,163.37802022014793,"[0.19575853073096033, 0.020346298548729293, 0.7599425583060503, 0.35947263093432896, 0.047737960520027434]","[3.62654583e-02 1.00000000e-04 9.99900000e-01 5.49613551e-01
 7.98883723e-01]",336.75604044029586,354.2213476569986
22,168.46022446286878,"[0.34018964594435874, 0.6777248839281533, 0.8567882591390334, 0.9927635826703479, 0.558312591329995]","[1.00000000e-04 9.99900000e-01 6.87410319e-01 9.99900000e-01
 9.04716464e-01]",346.92044892573756,364.4062900522036
23,137.24566663016176,"[1.8885351484565323, 0.3595129625763434, 0.2632725330162968, 0.8926847956702095, 0.28116823590622636]",[4.76807379 0.05933661 0.75738286 0.29246246 0.26830352],284.49133326032353,301.99762431304714
24,161.9856033106416,"[3.4742334667343804, 0.28926056503463354, 0.7531656051678683, 0.38061386675540093, 0.43391684890763205]",[4.9999     0.1180927  0.46842915 0.41430081 0.13126492],333.9712066212832,351.3325599896406
25,167.40168041158896,"[3.9976949963015813, 0.11566050287901959, 0.6967219893011142, 0.21268371491654894, 0.30539422875442257]",[4.75233381 0.0614037  0.45162497 0.55587249 0.13588981],344.8033608231779,362.28920194964394
26,167.00872991310257,"[2.7083411550891485, 0.8433104306932002, 0.692499493919535, 0.5272290904950433, 0.9473543636834874]","[4.99990000e+00 9.93324013e-01 1.00000000e-04 8.26372871e-01
 7.49285595e-01]",344.01745982620514,361.54411750586695
27,144.32485364256806,"[4.140449095938259, 0.59424964067014, 0.7342048608133752, 0.8541650857289831, 0.8166262568869016]",[0.3386352  0.05869516 0.65842429 0.3229233  0.48801222],298.6497072851361,316.1559983378597
28,165.21973571867412,"[3.4523704439473804, 0.11752608127059938, 0.46425883595205525, 0.24450607415199574, 0.8323113586390327]",[4.9999     0.08461294 0.43403161 0.40109187 0.16176427],340.43947143734823,357.96612911701004
29,156.43134889053408,"[4.26260313254571, 0.16867060138611176, 0.9979361924903968, 0.40329228889994045, 0.9476356558914381]","[1.19304271e+00 1.00000000e-04 6.58352343e-01 4.62446230e-01
 2.68686564e-01]",322.86269778106816,340.38935546073
