participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,162.5533108401027,"[0.2415381594855237, 0.005350410395081935, 0.6973518593486965]",[0.62441318 0.00535041 0.60000006],331.1066216802054,341.598126356085
2,145.44560255304023,"[0.2515246022783004, 0.7973944700355216, 0.2124052791276531]",[0.67521437 0.79739447 0.24603107],296.89120510608046,307.38270978196005
3,98.8821503677274,"[0.8790325170514898, 0.4682632155263667, 0.47989137805643683]",[0.90677966 0.46826322 0.19354836],203.7643007354548,214.24348506547645
4,169.12057434978723,"[0.972219136366967, 0.5489863101058339, 0.5861618343498355]",[0.45299013 0.54898631 0.4218745 ],344.24114869957447,354.75714330737156
5,222.00291498544627,"[0.6516642233196636, 0.9527811484269532, 0.07643423417969868]",[0.54819273 0.95278115 0.38993721],450.00582997089253,461.3665221149927
6,166.1045376260953,"[0.5691272760375762, 0.050326215604174974, 0.5516386892521135]",[0.50793644 0.05032622 0.36440671],338.2090752521906,348.7128498838248
7,204.7308702682705,"[0.022172006508514815, 0.12972654622294894, 0.05336027758156006]",[0.50714296 0.12972655 0.37267232],415.461740536541,426.59302158866564
8,205.47166052798792,"[0.16558248355715782, 0.012517963628656748, 0.1119809118998101]",[0.69756107 0.01251796 0.38135585],416.94332105597584,428.2855516033528
9,167.77695994140544,"[0.05174349558098391, 0.09395891835473749, 0.721229626577919]",[0.44827575 0.09395892 0.48799996],341.5539198828109,352.0207330612809
10,156.27471751141005,"[0.7336593825346199, 0.5024684967823743, 0.9980840335897437]",[0.61403503 0.5024685  0.47368422],318.5494350228201,328.8506010334828
11,164.44063567840112,"[0.3653664927782873, 0.028885516712414815, 0.9018103537756382]",[0.61832078 0.02888552 0.46363616],334.88127135680224,345.3480845352723
12,185.9712704463216,"[0.033293500046030676, 0.14027148389453126, 0.007619350160024158]",[0.78807951 0.14027148 0.30635847],377.9425408926432,389.2940164396324
13,216.6758322220772,"[0.7685088466371354, 0.6150792588928577, 0.1570736438093874]",[0.68484844 0.61507926 0.42424242],439.3516644441544,450.75801957028557
14,174.99589210884605,"[0.6896837324191202, 0.0027115411630764205, 0.4189474581735171]",[0.79094077 0.00271154 0.37500001],355.9917842176921,367.37082504284456
15,160.48387887641553,"[0.4653131550984956, 0.029383616410764327, 0.04207885876543787]",[0.52173962 0.02938362 0.53260964],326.96775775283106,337.29501088439645
16,155.9520862079468,"[0.13678093088484125, 0.07348914225915174, 0.8742485216648075]",[0.41964282 0.07348914 0.44736844],317.9041724158936,328.1790224683378
17,211.28831291897012,"[0.6006112394223377, 0.05196616510064173, 0.14433755389415168]",[0.54545457 0.05196617 0.33950602],428.57662583794024,439.85333115957206
18,127.64230937150475,"[0.547960917159819, 0.09100603014773796, 0.7219904353824701]",[0.83333338 0.09100603 0.27868859],261.2846187430095,271.76380307303117
19,152.7889347555972,"[0.5121562225254292, 0.26391086979391265, 0.3951499454932354]",[0.70833331 0.26391087 0.3414634 ],311.5778695111944,322.069374187074
20,156.4543682125259,"[0.4862056286729221, 0.14418769054829694, 0.4341791592442714]",[0.67256637 0.14418769 0.40322581],318.9087364250518,329.32554844606625
21,166.75818967241992,"[0.576592188170789, 0.003544164513129739, 0.08333021392057618]",[0.54418457 0.00354416 0.33333315],339.51637934483983,349.9955636748615
22,166.86048670482904,"[0.7556895416471852, 0.4070225027388094, 0.479829043580705]",[0.55932201 0.4070225  0.59200006],339.7209734096581,350.21247808553767
23,143.86229296942528,"[0.2698962107063625, 0.5295388865117834, 0.19431171535547007]",[0.76422761 0.52953889 0.31404955],293.72458593885057,304.22836057048477
24,163.6437202990008,"[0.15190978304585762, 0.021411648075286338, 0.5391842897568735]",[0.52349029 0.02141165 0.39772733],333.2874405980016,343.704252619016
25,167.94729483600176,"[0.02690603117544614, 0.9568514487305891, 0.9810126525210688]",[0.52845527 0.95685145 0.58333336],341.8945896720035,352.3860943478831
26,168.042741122697,"[0.05215670164180081, 0.00813939627596059, 0.9235946008699834]",[0.57500009 0.0081394  0.59999993],342.085482245394,352.6014768531911
27,154.7851326986758,"[0.702717379497999, 0.13760633561646848, 0.6291861911957671]",[0.71818183 0.13760634 0.36567165],315.5702653973516,326.0740400289858
28,165.89729841185525,"[0.6485323763044599, 0.10422623124143844, 0.9335903681910594]",[0.45762707 0.10422623 0.36220466],337.7945968237105,348.3105914315076
29,163.5305853653274,"[0.587069488849951, 0.0032030922692615894, 0.09153511943581458]",[0.62499945 0.00320309 0.61538388],333.0611707306548,343.5771653384519
30,170.40304597662055,"[0.7568458101959664, 0.6544065704865607, 0.8376226842699583]",[0.59016392 0.65440657 0.47199997],346.8060919532411,357.34637819173605
31,165.44192296516846,"[0.4609293367779358, 0.014051821233861086, 0.5802456957603481]",[0.52258012 0.01405182 0.3882355 ],336.8838459303369,347.3382367308089
32,159.2196760152463,"[0.6045259946338774, 0.08664944611494164, 0.1250227188429331]",[0.70078752 0.08664945 0.39166654],324.4393520304926,334.97963826898757
33,158.32363058079844,"[0.6860198102150175, 0.9732654858995736, 0.9394041205968936]",[0.71875034 0.97326549 0.4700848 ],322.6472611615969,333.16325576939397
34,226.72295251779778,"[0.11074500795068914, 0.20187892220683715, 0.21537393710281122]",[0.56578952 0.20187892 0.50285703],459.44590503559556,470.824945860748
