participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,165.22682410033227,"[0.2087117982309876, 0.6395224424270364, 0.480637471252788, 0.37809877542139, 0.19904607802885532]",[0.2087118  0.63952244 0.6036036  0.40909091 0.19904608],340.45364820066453,357.93948932713056
2,146.2104728308708,"[4.375412379072414, 0.0557430342492999, 0.34717420502093044, 0.3008994961126657, 0.9499835074351506]",[4.37541238 0.05574303 0.73529415 0.29787234 0.94998351],302.4209456617416,319.9067867882076
3,100.63993853115382,"[0.6445712788397566, 0.5628566371615328, 0.8987919532536722, 0.20942797684238004, 0.7068794877675952]",[0.64457128 0.56285664 0.88495575 0.17054264 0.70687949],211.27987706230763,228.74518427901037
4,171.00519983918653,"[0.49778566838837524, 0.8507243510086682, 0.2811599694221128, 0.6375201054213412, 0.053386232623745845]",[0.49778567 0.85072435 0.50892855 0.47368423 0.05338623],352.01039967837306,369.5370573580349
5,222.63286027254375,"[1.6560326273682475, 0.27735943336943136, 0.9587509454829483, 0.6216790966128168, 0.48203462139883224]",[1.65603263 0.27735943 0.57446806 0.41847827 0.48203462],455.2657205450875,474.200207451921
6,167.81926390224487,"[4.646651314406025, 0.5534458801166267, 0.0843399841283928, 0.47584673452973764, 0.39294492526468144]",[4.64665131 0.55344588 0.5431034  0.40624999 0.39294493],345.63852780448974,363.14481885721335
7,204.64765183389966,"[2.194117883991284, 0.4140130359049272, 0.7969191649373972, 0.60091119979502, 0.3806375778433426]",[2.19411788 0.41401304 0.4957983  0.37912086 0.38063758],419.2953036677993,437.84743875467365
8,205.7127216198789,"[2.5887653403312973, 0.2582077220320486, 0.04632352868170594, 0.23584800761571328, 0.801609726500513]",[2.58876534 0.25820772 0.70322581 0.36309523 0.80160973],421.4254432397578,440.3291608187194
9,168.04857689366443,"[1.8731212787170435, 0.9982523694209352, 0.8991318585272251, 0.1331111806712793, 0.1439312336136097]",[1.87312128 0.99825237 0.45714286 0.50000004 0.14393123],346.09715378732886,363.5418424181123
10,156.93210634916866,"[3.965110011895352, 0.44670072167444236, 0.6885008076732589, 0.07063821477667949, 0.08157422520056151]",[3.96511001 0.44670072 0.54629629 0.40833334 0.08157423],323.8642126983373,341.0328227161085
11,164.24375265130746,"[0.43764512958946244, 0.2632665461760679, 0.846716270453015, 0.3077691663110174, 0.5742127337902342]",[0.43764513 0.26326655 0.63207546 0.45925927 0.57421273],338.4875053026149,355.93219393339837
12,187.73955658612783,"[3.5716389020189663, 0.35964077532290667, 0.927147577229249, 0.323921690353842, 0.9657511345110025]",[3.5716389  0.35964078 0.75000001 0.27272726 0.96575113],385.47911317225567,404.39823908390434
