participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,164.0746483982004,"[4.617803524380913, 0.9022016004942511]",[0.97425949 0.72405408],"[np.float64(0.16012880705084434), np.float64(0.008976838206623745)]",[0. 0.],332.1492967964008,339.1436332469872
2,148.44843380840587,"[0.3486761109504112, 0.716413109043463]",[1.51473701 0.9999    ],"[np.float64(1.3857906625377324e-21), np.float64(0.07046422729808059)]",[0. 0.],300.89686761681173,307.8912040673981
3,173.28410160351453,"[4.245092150916258, 0.8924270695370191]",[0.00198384 0.0001    ],"[np.float64(25.53662301367223), np.float64(19.888175024626534)]",[0. 0.],350.56820320702906,357.60310899995847
4,85.97033054024361,"[2.4878875040079986, 0.3306542138404626]",[0.66399239 0.07878491],"[np.float64(0.3978729928767108), np.float64(2.6338952154124216)]",[0. 0.],175.94066108048722,182.92678396716832
5,168.00951092903867,"[4.8734241912176905, 0.2641829022580991]",[0.07022402 0.0001    ],"[np.float64(26.708174611416435), np.float64(16.04913193164991)]",[0. 0.],340.01902185807734,347.02968492994205
6,223.52620928569988,"[4.368936229206459, 0.7871512462177896]",[0.53419231 0.67219913],"[np.float64(0.22621139412006824), np.float64(0.003644819167825795)]",[0. 0.],451.05241857139976,458.6262133341332
7,168.10989781186993,"[2.622649698685668, 0.47800750323920815]",[0.80152695 0.95417105],"[np.float64(0.04239657152220711), np.float64(0.0011196119433657086)]",[0. 0.],340.21979562373986,347.2223120448293
8,169.69716447476574,"[0.02165253191632026, 0.45416666607593614]",[0.11102978 0.21065808],"[np.float64(0.6195965888103875), np.float64(0.41965209078762056)]",[0. 0.],343.3943289495315,350.3886654001179
9,197.08469205824974,"[3.13611529855629, 0.9530770630291484]",[0.08863029 0.01119288],"[np.float64(9.098724141288573), np.float64(12.529255684667786)]",[0. 0.],398.1693841164995,405.59023815124925
10,198.45488672524644,"[2.0708773425901406, 0.730370619570972]",[0.89829535 0.43196212],"[np.float64(0.027996451260797164), np.float64(0.5976233236906018)]",[0. 0.],400.9097734504929,408.4712604820775
11,159.76199529897121,"[2.6626001076600208, 0.44583379307105886]",[1.13758278 0.99804912],"[np.float64(0.000271425816174646), np.float64(0.08644018508155046)]",[0. 0.],323.52399059794243,330.53465366980714
12,168.42290700369986,"[2.477217273187107, 0.7030279768681137]",[0.02993394 0.06794299],"[np.float64(1.1883008888860793), np.float64(1.9156207403026222)]",[0. 0.],340.8458140073997,347.8236894597131
13,162.1842180562053,"[2.0215025735414853, 0.7057226859446025]",[0.3279654  0.04762687],"[np.float64(2.005584199351187), np.float64(2.9404820264643257)]",[0. 0.],328.3684361124106,335.37909918427533
14,161.21130150112333,"[3.9832296584486953, 0.7821123027692385]",[0.55378492 0.19464204],"[np.float64(1.0632440239146304), np.float64(0.35530311577316986)]",[0. 0.],326.42260300224666,333.40047845456
15,171.1778578079397,"[0.21247036829518237, 0.431189810687857]",[0.24912527 0.04658495],"[np.float64(1.2276536936852067), np.float64(4.93361104352109)]",[0. 0.],346.3557156158794,353.92336598053885
16,220.7356969102795,"[3.9697936822809194, 0.5681163880398694]",[0.92242796 0.9999    ],"[np.float64(1.552229444509448e-05), np.float64(0.1798279906176701)]",[0. 0.],445.471393820559,453.0756305713131
17,189.77072501466023,"[0.8664472400922806, 0.44982909767787466]",[1.27254834 0.74415171],"[np.float64(0.15245366653735692), np.float64(1.3988647269365457e-06)]",[0. 0.],383.54145002932046,391.12747724608874
