participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,164.70335492432852,"[1.0039163892810488, 0.6279338001071351]",[0.46254408 0.69575804],[0.57316246 0.04882907],[0. 0.],333.40670984865704,340.40104629924343
2,148.42564465143295,"[1.295145645359932, 0.36456255225436707]",[0.82491069 0.9999    ],[4.90261069e-21 3.00047010e-01],[0. 0.],300.8512893028659,307.8456257534523
3,172.9827311247333,"[0.497877538498599, 0.5691553105272426]",[0.11789067 0.54651563],[0.12930814 0.65477558],[0. 0.],349.9654622494666,357.000368042396
4,86.54656278735669,"[3.5198109233371944, 0.6967711025602544]",[0.35627777 0.10629939],[0.67128379 5.46824135],[0. 0.],177.09312557471338,184.07924846139449
5,168.06782326474064,"[3.41179151621652, 0.5682801028646485]",[0.02325091 0.0001    ],[81.45195172 51.85467971],[0. 0.],340.1356465294813,347.146309601346
6,223.97224545467168,"[4.46171516191838, 0.7144264808067595]",[0.30067516 0.62000098],[0.53905849 0.01777261],[0. 0.],451.94449090934336,459.5182856720768
7,167.70697245459505,"[1.0466419172331687, 0.6189247239899272]",[0.3369176  0.60270076],[0.3423275  0.13626058],[0. 0.],339.4139449091901,346.41646133027956
8,169.0477567781691,"[3.3330704776455553, 0.8961618846620123]",[0.1057682  0.15729174],[1.913321   1.54000248],[0. 0.],342.0955135563382,349.08985000692456
9,195.560464486264,"[0.9612032349711445, 0.6769663951002755]",[0.0801638  0.01750454],[12.44496959 18.59512931],[0. 0.],395.120928972528,402.5417830072778
10,201.59963984859007,"[1.139682897463661, 0.637729787867277]",[0.49288134 0.35321233],[0.14938035 1.95081392],[0. 0.],407.19927969718015,414.7607667287648
11,159.16152093730872,"[2.6833071881457027, 0.9993009934647268]",[0.66799626 0.94937382],[0.00810046 0.32133741],[0. 0.],322.32304187461745,329.33370494648216
12,168.43070664636744,"[1.668866550662737, 0.052066375701079026]",[0.00773761 0.09082829],[1.98676692 3.6211279 ],[0. 0.],340.8614132927349,347.83928874504824
13,163.4544263254672,"[3.262694076051228, 0.4663629561031975]",[0.13318003 0.04384332],[4.4206967  7.64339423],[0. 0.],330.9088526509344,337.91951572279913
14,161.12034028575465,"[3.4099139012145665, 0.42320685925977936]",[0.3523475  0.31898745],[1.47110477 0.2692301 ],[0. 0.],326.2406805715093,333.21855602382266
15,167.98817940478935,"[2.0293838343382298, 0.7669843636145932]",[0.24574081 0.08908703],[1.22744818 5.04109617],[0. 0.],339.9763588095787,347.54400917423817
16,217.78363795737002,"[0.9252398506185905, 0.07851692590760036]",[0.60630773 0.9999    ],[4.10105015e-05 4.60000000e-01],[0. 0.],439.56727591474004,447.17151266549416
17,178.95801159063106,"[3.130605377341564, 0.04073953134906148]",[0.93219468 0.76516925],[4.95697767e-01 2.33040326e-06],[0. 0.],361.9160231812621,369.5020503980304
18,160.68536993641297,"[3.9212998361751175, 0.7243315334094583]",[0.00959446 0.00052022],[54.20210079 60.83458125],[0. 0.],325.37073987282594,332.2555752938695
19,157.9339487617338,"[4.9732443698120505, 0.8389662451061066]",[0.05769157 0.266759  ],[0.81973995 1.45258341],[0. 0.],319.8678975234676,326.7177975584304
20,191.96036607269647,"[1.3732117584546388, 0.2415384550663169]",[0.08320655 0.01790349],[ 9.55724547 20.05131011],[0. 0.],387.92073214539295,395.4385356931475
21,108.22530996443402,"[3.814383782799077, 0.29693790658869096]",[0.39360447 0.12934419],[1.20964268 4.43757938],[0. 0.],220.45061992886804,227.43674281554914
22,147.29600884440183,"[0.7247778896415744, 0.5596371101789109]",[0.23841397 0.07300734],[1.64187552 5.12559321],[0. 0.],298.59201768880365,305.58635413939004
23,158.5102568534149,"[1.8565229858606038, 0.33589484241078393]",[0.5346771  0.73316645],[0.53990294 0.08212029],[0. 0.],321.0205137068298,327.96505505417275
24,166.1491477829228,"[3.815357815939031, 0.031135262193187217]",[0.03962021 0.00736989],[35.3965994  25.22749871],[0. 0.],336.2982955658456,343.3089586377103
25,166.44291866185577,"[3.4406656353550655, 0.5699380657546942]",[0.03072469 0.0001    ],[74.90149509 53.92412415],[0. 0.],336.88583732371154,343.8719602103926
26,205.19770076239124,"[0.151616472252208, 0.17685544695941777]",[0.13903534 0.06354892],[1.76786399 8.10648239],[0. 0.],414.39540152478247,421.97532186657696
27,169.82139431268527,"[2.1966138921304124, 0.31574768493275257]",[1.00000000e-04 7.79133821e-01],[0.23031394 0.44173338],[0. 0.],343.64278862537054,350.63712507595693
28,184.51560296068752,"[4.3990633946994, 0.8998008767119693]",[0.10964858 0.03501487],[ 3.41180008 13.89347601],[0. 0.],373.03120592137503,380.6233214229058
29,144.26303935467251,"[4.868925625259877, 0.5799330091244501]",[0.64122066 0.37768202],[0.01479378 1.21626488],[0. 0.],292.52607870934503,299.5285951304345
30,165.15319861169198,"[1.8752054763672226, 0.06280954198616188]",[0.17500856 0.9999    ],[5.00100014e-05 3.80000000e-01],[0. 0.],334.30639722338395,341.25093857072693
31,169.35314496340033,"[4.0777028462887595, 0.3445505412711267]",[0.03123846 0.02768386],[11.77829755  7.56123543],[0. 0.],342.70628992680065,349.70062637738704
32,168.74017781358012,"[0.6902164195311415, 0.6341358621147491]",[0.35589357 0.9999    ],[4.90052005e-01 3.10064004e-09],[0. 0.],341.48035562716024,348.49101869902495
33,224.3192476148171,"[2.6822932255007617, 0.825546577948899]",[0.3953921  0.66594068],[1.23859509e+00 1.03244461e-03],[0. 0.],452.6384952296342,460.2427319803883
34,148.58951495187299,"[4.61268663556023, 0.8573406993183312]",[0.20521978 0.08842868],[1.45445648 4.16889201],[0. 0.],301.17902990374597,308.18154632483544
35,169.384728058006,"[0.15784321132779705, 0.9123090958490291]",[0.16746309 0.16278154],[0.28034769 2.47010777],[0. 0.],342.769456116012,349.7801191878767
36,162.78286816227563,"[4.781589762952511, 0.8277530204158979]",[0.06132268 0.01229091],[17.35028764 24.29656933],[0. 0.],329.56573632455127,336.576399396416
37,168.96863705523154,"[4.82093700931335, 0.6745664535389223]",[0.07764929 0.03740757],[7.24979783 5.31822982],[0. 0.],341.9372741104631,348.96413160279303
38,162.38708635408176,"[4.983457779703204, 0.6644280361940574]",[0.06620473 0.02303744],[17.25864546  7.26020302],[0. 0.],328.7741727081635,335.74376657514483
39,162.37294487255554,"[1.7265078406770111, 0.692141030521169]",[0.61240533 0.79411227],[0.59797008 0.00174851],[0. 0.],328.74588974511107,335.772747237441
40,157.30116243730572,"[2.0611350356157514, 0.056388309329262906]",[0.47785462 0.37977927],[0.37069411 0.24474661],[0. 0.],318.60232487461144,325.61298794647615
41,226.98105245209848,"[2.447693292304529, 0.9528214699419574]",[0.04121308 0.01983576],[14.58032423 11.39196355],[0. 0.],457.96210490419696,465.54813212096525
42,159.13478621043737,"[4.035776238701415, 0.8305782374539846]",[0.43077802 0.70469374],[0.24003589 0.20505398],[0. 0.],322.26957242087474,329.197236030926
43,69.07334320288702,"[2.972969828746772, 0.302207649758454]",[0.51792016 0.15079021],[1.35517195e-03 3.56566412e+00],[0. 0.],142.14668640577403,149.06585743406237
44,198.48391853449945,"[1.1983372701003865, 0.76269386884899]",[0.14139534 0.03729652],[6.77715018 7.53920547],[0. 0.],400.9678370689989,408.5538642857672
45,205.21159551544665,"[0.1495155308450208, 0.25455692321122136]",[0.69065904 0.89791118],[0.00075281 0.29237709],[0. 0.],414.4231910308933,421.9784956773386
46,172.59379864369268,"[4.6136345137705215, 0.18409365952244144]",[1.00000000e-04 5.84430521e-01],[0.75915922 0.13546149],[0. 0.],349.18759728738536,356.2144547797153
47,125.65852804724044,"[1.004978360494704, 0.5399199271172361]",[0.2764396  0.07446569],[1.17627076 5.25599482],[0. 0.],255.31705609448088,262.21913300161225
48,36.909098265989265,"[1.4431394449110277, 0.5988361512371144]",[0.5546984  0.11762158],[0.03514306 5.61740992],[0. 0.],77.81819653197853,85.37968356356319
49,193.51668666248966,"[2.917725992987644, 0.950179823521598]",[0.20162612 0.06470249],[2.76388355 5.10923406],[0. 0.],391.0333733249793,398.60716808771275
50,146.92018620062447,"[3.2252348660436407, 0.09839847224927871]",[0.44007546 0.77802532],[0.51006992 0.08175855],[0. 0.],297.84037240124894,304.60016710832986
51,205.21489355711427,"[0.3479022193098872, 0.5058773536207142]",[0.75323476 0.9999    ],[1.40052014e-01 4.40197045e-13],[0. 0.],414.42978711422853,421.997437478888
52,163.09181295459257,"[0.4219008648592976, 0.37843240150915775]",[0.49114032 0.67645603],[0.53766148 0.01157735],[0. 0.],330.18362590918514,337.1779623597715
53,131.00562624027648,"[3.827017322875446, 0.3070173785889714]",[0.34000418 0.10941577],[3.30619196 2.21230488],[0. 0.],266.01125248055297,272.9389160906042
54,216.00608202329747,"[4.906503949443681, 0.13876934859097634]",[0.33417647 0.69664759],[0.06531456 0.7870511 ],[0. 0.],436.01216404659493,443.5173093242462
55,227.66122255424116,"[3.2001285418216554, 0.05157557308015053]",[0.12484193 0.11300087],[1.59245357 3.00097209],[0. 0.],459.3224451084823,466.92668185923645
56,151.35755729427376,"[4.417829501117317, 0.7967601548079981]",[0.72594085 0.9999    ],[6.40245046e-13 1.70044008e-01],[0. 0.],306.7151145885475,313.6512348708178
57,147.61552703194454,"[2.960959250647688, 0.5537141973021202]",[0.82031837 0.9999    ],[1.60101013e-01 5.30201036e-13],[0. 0.],299.2310540638891,306.19233191057305
58,162.71167785461887,"[4.28626382545595, 0.6961932492741357]",[0.38541713 0.9999    ],[4.90147025e-13 5.50047010e-01],[0. 0.],329.42335570923774,336.3678970565807
59,169.9658697469645,"[4.711676192677362, 0.7578588977895097]",[0.26853087 0.9999    ],[4.70000000e-01 5.00099011e-05],[0. 0.],343.931739493929,350.9424025657937
60,204.04029971279405,"[3.886396397458713, 0.18762408495285013]",[0.44835788 0.23069341],[0.27080182 2.05491293],[0. 0.],412.0805994255881,419.68483617634223
61,228.77349368947574,"[4.011223434535794, 0.43048685206684384]",[0.1717747  0.98800602],[0.60000076 0.00124778],[0. 0.],461.5469873789515,469.14517268787256
62,170.26375181184022,"[2.068847070645135, 0.15851417045991129]",[0.11940052 0.69116679],[0.04573591 0.65800337],[0. 0.],344.52750362368045,351.5300200447699
