participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,161.7713472913724,"[0.8012064263125025, 0.7243522425823713, 2.181646426350956]",[0.01123624 0.0476079  9.9999    ],329.5426945827448,340.03419925862437
2,168.9265234410009,"[0.5231206791938067, 0.6107419619901719, 1.2531166668435434]",[3.26248212e-01 2.11819220e-01 1.00000000e-04],343.8530468820018,354.3445515578814
3,88.0169802713252,"[4.935528935281979, 0.6672019418386801, 0.8982534057224365]",[0.02166797 0.04526516 9.9999    ],182.0339605426504,192.51314487267203
4,167.43119535337448,"[2.7352490813948567, 0.45401921733787776, 0.9207104872754414]",[3.82606746e+00 3.00830889e-04 1.00000000e-04],340.86239070674895,351.37838531454605
5,225.96598156586418,"[3.120377600828408, 0.4862325302961902, 1.3467227821304069]",[0.0001 0.0001 0.0001],457.93196313172837,469.2926552758285
6,169.59989388039565,"[1.893786720992064, 0.7929693454069536, 8.467749890253959]",[1.95386377e-01 9.99900000e-01 1.00000000e-04],345.1997877607913,355.7035623924255
7,190.0487845338778,"[2.1698599464588026, 0.5965847604869068, 1.0865586331581032]",[7.95963526e-03 2.50609204e-02 9.99990000e+00],386.0975690677556,397.22885011988024
8,216.15420239618686,"[1.4348884615552406, 0.3902659660922972, 3.2498536728573466]",[1.05832202e+00 3.05964177e-01 1.00000000e-04],438.3084047923737,449.6506353397507
9,167.57621314872296,"[3.1559646371848946, 0.48672975276332464, 5.1419349054924925]",[6.83228232e-04 3.51821348e-03 9.93947538e+00],341.1524262974459,351.61923947591595
10,157.9834280023868,"[1.654459377697044, 0.1686965198291866, 1.772646093486239]",[3.80750312e-01 6.76113762e-01 1.00000000e-04],321.9668560047736,332.2680220154363
11,161.1901692119702,"[0.2531824876695196, 0.12521858434092323, 5.777514089478086]",[3.72278838e-03 1.82271519e-02 9.99990000e+00],328.3803384239404,338.84715160241046
12,167.96028977583114,"[2.131538746310003, 0.9715722472792733, 3.9665685334045455]",[1.29192436 0.03041654 0.00972333],341.9205795516623,353.2720550986515
13,227.7844755787148,"[1.6687098066992043, 0.3027577285486032, 2.1907432435398193]",[0.32953686 0.9999     2.06130249],461.5689511574296,472.97530628356077
14,193.6323068676587,"[2.951414584373812, 0.9813278941323155, 0.2932202380360987]",[1.22047845 0.07724411 0.03753969],393.2646137353174,404.6436545604699
15,158.97962516671856,"[1.9160393746507627, 0.9754259299216348, 2.134749981054684]",[7.78100005e-03 4.25632144e-02 9.99990000e+00],323.9592503334371,334.2865034650025
16,157.34441094228055,"[2.4556728093925693, 0.7940555995094404, 0.4172279822021933]",[0.0001 0.0001 0.0001],320.6888218845611,330.9636719370053
17,188.7466782891818,"[0.3111079236018539, 0.9688445627994642, 2.5441273632841153]",[6.41759774e-03 1.63734449e-02 9.99990000e+00],383.4933565783636,394.7700618999954
18,106.058022941733,"[3.0498343477079297, 0.3261921192216394, 3.267247235417331]",[0.9686037  0.04424151 0.05724945],218.116045883466,228.59523021348764
19,145.25051396939918,"[0.7625055023924017, 0.7023927444691324, 0.5149018445624269]",[5.75932455e-03 1.26127347e-02 9.99990000e+00],296.50102793879836,306.99253261467794
20,164.96749705747536,"[3.507276329169854, 0.9558594939708082, 9.410849837981043]",[1.01210735e-04 1.00000000e-04 6.23644175e+00],335.9349941149507,346.35180613596515
21,165.63745082753772,"[2.8100499016129947, 0.5649940083627685, 3.010420092401455]",[1.71162824e+00 1.86411672e-02 1.00000000e-04],337.27490165507544,347.7540859850971
22,168.70092503936345,"[4.479538071280721, 0.5840259579667546, 2.527811043344026]",[2.37826318e-01 9.99900000e-01 1.00000000e-04],343.4018500787269,353.8933547546065
23,160.00247970648638,"[3.327659022866697, 0.7410325143145087, 3.2415690101816947]",[2.78870331e-03 6.69176451e-03 9.99990000e+00],326.00495941297277,336.50873404460697
24,164.6275684297956,"[3.8128338306225142, 0.3654751488750709, 2.876331049893652]",[4.40327396e-01 1.26788184e-01 1.00000000e-04],335.2551368595912,345.6719488806056
25,168.78845411457203,"[2.8521686823208108, 0.23882319212834602, 1.8383052527037576]",[2.25362151e-01 9.99900000e-01 1.00000000e-04],343.57690822914407,354.06841290502365
26,169.60543174966688,"[0.18039177249933716, 0.3828917268282305, 6.896214550961474]",[4.84326382e-01 6.08257541e-01 1.00000000e-04],345.21086349933375,355.72685810713085
27,154.5740177776308,"[0.062233504043912306, 0.994921334025569, 9.037819750837942]",[1.4193745  0.02005971 0.01204257],315.1480355552616,325.6518101868958
28,167.33708339471082,"[3.408264207345937, 0.9551820711923613, 5.517916971041546]",[5.34941907e-03 1.00000000e-04 3.67554630e+00],340.67416678942163,351.19016139721873
29,160.01321231503167,"[0.1375558249643461, 0.861530094274816, 8.089884208701209]",[7.81171096e-03 2.82945399e-02 9.99990000e+00],326.02642463006333,336.54241923786043
30,168.26962342715944,"[1.94665703302946, 0.9418451062664905, 1.3613494170280935]",[0.01205382 0.03983834 9.9999    ],342.5392468543189,353.07953309281385
31,161.3181235811027,"[2.398742297600074, 0.755024377669929, 0.3479493626577621]",[1.51137979e+00 2.67295915e-02 1.00000000e-04],328.6362471622054,339.09063796267736
32,164.96305086328042,"[2.134095975896819, 0.6155047631936853, 1.7739773762284046]",[0.02015161 0.07267665 9.9999    ],335.92610172656083,346.4663879650558
33,156.76627639059998,"[0.856611705049809, 0.40561175285052353, 8.315959314674167]",[1.4882117  0.05191453 0.00934098],319.53255278119997,330.04854738899706
34,225.0650338863782,"[3.5737239689501177, 0.3792786557492882, 3.0809327518284824]",[2.18261007e-03 6.70752593e-03 9.99990000e+00],456.1300677727564,467.50910859790883
35,158.12784118941943,"[3.23594714921733, 0.745817021923227, 7.302146604564582]",[0.03509902 0.13081746 9.9999    ],322.25568237883886,332.6471777939157
36,75.68719886261196,"[1.254458483811424, 0.7918315443539329, 6.015483869540135]",[0.01291614 0.03216539 9.9999    ],157.37439772522393,167.7531542676564
37,193.57844919703746,"[2.3578095991031334, 0.503675913488734, 1.3711839314567413]",[0.01263526 0.0274787  9.9999    ],393.1568983940749,404.5359392192274
38,171.86236311443835,"[2.371151496175579, 0.6667261274845138, 5.943897545340192]",[0.02606586 0.9999     9.9999    ],349.7247262288767,360.26501246737166
39,124.81873052627343,"[3.419295711892989, 0.7204985389155463, 4.000213430626387]",[0.01261104 0.03139471 9.9999    ],255.63746105254685,265.99057641324396
40,34.779858268239984,"[2.978329998560776, 0.697765160839179, 3.175824286578671]",[0.07510841 0.12086917 7.13570954],75.55971653647997,86.90194708385695
41,212.5573572060522,"[4.209614661547602, 0.7807999925346938, 5.599835223664145]",[2.35580151e-03 1.00000000e-04 5.59983522e+00],431.1147144121044,442.4754065562045
42,146.9008462443061,"[0.17560373723690767, 0.329431897921243, 7.031216093950768]",[1.03403067e+00 2.54432724e-01 1.00000000e-04],299.8016924886122,309.9413845492336
43,225.1791693624514,"[1.7712043377511042, 0.05640779478293321, 3.9160937757908423]",[1.04880756e-01 9.99900000e-01 1.00000000e-04],456.3583387249028,467.709814271892
44,168.500627483752,"[1.3515929980861334, 0.5664582067433058, 7.296920440283671]",[0.08222286 0.7877764  9.9999    ],343.001254967504,353.4927596433836
45,134.28679111995112,"[2.1568190595616765, 0.43152903753100774, 5.148743779355465]",[0.03277824 0.11675667 9.9999    ],274.57358223990224,284.96507765497904
46,218.30014829396066,"[4.96582225391734, 0.3357651870866415, 0.1404129669672142]",[2.42107363e-04 1.00000000e-04 9.99989999e+00],442.6002965879213,453.8580145043982
47,227.61126214869643,"[0.3815422406363532, 0.9850052183873802, 6.143506884440583]",[4.88328900e-01 7.59603793e-01 1.00000000e-04],461.22252429739285,472.62887942352404
48,164.27588271446703,"[2.576735723755633, 0.9297674553593204, 0.9591107201043966]",[0.0001 0.0001 0.0001],334.55176542893406,344.9559458523395
49,166.35532410642998,"[1.5846403961145759, 0.8855683161764003, 1.7868614428821854]",[0.0001 0.0001 0.0001],338.71064821285995,349.1525649828859
50,164.70995999072787,"[1.4045315257768267, 0.318772249199726, 7.158004739811853]",[2.29018789e-01 9.46767612e-01 1.00000000e-04],335.41991998145573,345.83673200247017
51,168.71254470251228,"[0.5823423371403498, 0.4127587330860863, 0.34377248134202426]",[5.25465452e-03 2.40996859e-02 9.99990000e+00],343.42508940502455,353.94108401282165
52,169.82106034559285,"[0.2579576275541874, 0.8808340186552343, 8.948106831415823]",[0.0001 0.0001 0.0001],345.6421206911857,356.1458953228199
53,163.52785710449248,"[1.8920327871522475, 0.7837163352604323, 0.5501716292897091]",[1.59390947e-03 6.40066196e-03 9.99990000e+00],333.05571420898497,343.4598946323904
54,169.48217842148222,"[3.4049253761906138, 0.9836785784448834, 6.845572355688026]",[4.47873136e-03 1.00000000e-04 6.18553956e+00],344.96435684296443,355.5046430814594
55,169.6328743266122,"[0.5878172809125434, 0.3727040157838376, 5.190507493084017]",[0.05662226 0.9999     9.9999    ],345.2657486532244,355.7695232848586
56,207.1271341719772,"[2.9402606500127586, 0.6511915243878583, 3.9286316538623223]",[0.99582305 0.06183269 0.11090995],420.2542683439544,431.6241488566461
