participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,164.14486043141085,"[4.391047097717945, 0.39478198269084624]",[1.75295009 0.02678509],332.2897208628217,339.2840573134081
2,168.9264787266701,"[0.09210643864044704, 0.5905717213386795]",[0.3262872  0.21180277],341.8529574533402,348.8472939039266
3,90.45632715373692,"[3.2952884686804365, 0.7474739296061487]",[1.81155476 0.03451361],184.91265430747384,191.89877719415495
4,167.3748206192253,"[3.8644656032007716, 0.21663949094721863]",[4.99990000e+00 1.06579302e-04],338.7496412384506,345.7603043103153
5,225.965981555153,"[3.8789435312997056, 0.7892995992376409]",[0.0001 0.0001],455.931963110306,463.50575787303944
6,169.5998810631433,"[0.05211661601207081, 0.43863742656126337]",[0.19539188 0.9999    ],343.1997621262866,350.20227854737607
7,195.44201332111555,"[2.129678786366241, 0.6391448893125087]",[2.16532619 0.00805339],394.8840266422311,402.3048806769809
8,216.15388907429525,"[2.468831958370725, 0.137221568095297]",[1.0583499  0.30594941],436.3077781485905,443.86926518017515
9,167.74161816848564,"[0.9632276357170823, 0.04824553086869784]",[0.0001 0.0001],339.4832363369713,346.46111178928464
10,157.98342585991594,"[0.5202060050663169, 0.08823609001170166]",[0.38075669 0.67610344],319.9668517198319,326.83429572694035
11,161.9912871160182,"[4.184070298229748, 0.4539262834292456]",[1.19728197 0.0129395 ],327.9825742320364,334.9604496843498
12,168.11533102023643,"[4.304702989598998, 0.8225194196823017]",[1.55824606 0.0329203 ],340.23066204047285,347.7983124051323
13,228.12251222458957,"[0.12615977403529754, 0.6162214887770767]",[0.34883994 0.9999    ],460.24502444917914,467.84926119993327
14,193.95260242031245,"[0.1346446807219094, 0.11021268501949824]",[1.53839978 0.06635771],391.9052048406249,399.4912320573932
15,159.92697703438068,"[2.9226080783990476, 0.027509884071198632]",[1.28189366 0.00992962],323.85395406876137,330.73878948980496
16,157.34441032557226,"[4.754134714628259, 0.11326640040790716]",[0.0001 0.0001],318.6888206511445,325.5387206861073
17,192.19161201358847,"[2.1550101809407223, 0.5166512551632719]",[2.23254487 0.00778579],388.38322402717694,395.9010275749315
18,106.66283822825324,"[2.9262394141251034, 0.35903958300642475]",[1.78331956 0.04703529],217.32567645650647,224.31179934318757
19,149.66402835723,"[1.862783846233985, 0.7469636462073904]",[3.05919558e+00 2.18550056e-03],303.32805671446,310.3223931650464
20,164.96902921691057,"[4.706368299936472, 0.6405479994800084]",[0.0001 0.0001],333.93805843382114,340.8825997811641
21,165.6240645813427,"[4.878726794955972, 0.6471005775546689]",[1.72246399 0.01805781],335.2481291626854,342.2342520493665
22,168.70092336648608,"[0.584348235787307, 0.13030872755845985]",[0.23782713 0.9999    ],341.40184673297216,348.39618318355855
23,162.99442678108406,"[2.8868726922862513, 0.06971758171203832]",[4.99990000e+00 1.40998214e-04],329.9888535621681,336.9913699832576
24,164.6274582921685,"[0.35781635116291155, 0.0633046998797501]",[0.44047517 0.12675514],333.254916584337,340.19945793168
25,168.39391145139624,"[3.713152924675545, 0.6022866491665851]",[0.89493445 0.11104677],340.78782290279247,347.78215935337886
26,169.60539586122076,"[0.6800083710135927, 0.3109034028870949]",[0.48433518 0.60825881],343.2107917224415,350.2214547943062
27,154.8357245353983,"[2.484561258459796, 0.3221856338574592]",[1.70106259 0.01546497],313.6714490707966,320.67396549188607
28,170.36058096307627,"[1.0017302719269072, 0.02778974433044437]",[4.94627647e+00 1.00000000e-04],344.72116192615255,351.73182499801726
29,161.3512672049055,"[1.499547671724908, 0.33067560862474704]",[1.96992291 0.01149668],326.702534409811,333.7131974816757
30,169.0077407768987,"[2.8665742196695203, 0.11077507360189119]",[1.14384015 0.03338336],342.0154815537974,349.0423390461273
31,161.31530584730316,"[4.769199919683066, 0.3672853903318664]",[1.51401988 0.02663834],326.63061169460633,333.60020556158764
32,166.34091927174794,"[4.635037006544223, 0.6810014088942115]",[1.55836249 0.02411457],336.68183854349587,343.7086960358258
33,156.83641072919772,"[1.9535735362230437, 0.3395205081803216]",[1.55498448 0.05057437],317.67282145839545,324.68348453026016
34,226.78968246562982,"[4.814009392860562, 0.8166845905068055]",[0.27142603 0.9999    ],457.57936493125965,465.16539214802793
35,161.37308036916164,"[3.7183033073558365, 0.4733983370409841]",[0.75087395 0.09835021],326.7461607383233,333.6738243483745
36,77.70261524856511,"[4.519476557653147, 0.9688411536305005]",[1.87854337 0.03658639],159.40523049713022,166.32440152541852
37,200.48216549848644,"[2.7851084541331987, 0.0643081072039465]",[2.22390399 0.01177612],404.9643309969729,412.55035821374116
38,171.8993163606234,"[0.08688300352254354, 0.5565210391012998]",[0.0387838  0.10482327],347.7986327212468,354.82549021357676
39,125.28395584640893,"[3.185260249615551, 0.5885433449758545]",[2.22263341 0.02383325],254.56791169281786,261.46998859994926
40,36.85606384586592,"[3.54470092895837, 0.593779318061628]",[2.01002794 0.09569563],77.71212769173184,85.2736147233165
