participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,157.09085382006288,"[1.403517344857265, 0.27791759902112156, 0.060610857869389564, 0.44425523323837884, 2.500600490154659, 12.366545521653029, 0.2451071031446753]","[3.64910048e+00 1.00000000e-04 9.99900000e-01 2.28889505e-01
 1.00000000e-04 2.47068810e-02 1.68683711e-01]",328.18170764012575,352.66188521717817
2,145.44120871018694,"[4.712321124707569, 0.8083343462349833, 0.4511950895323389, 0.9460114317015178, 12.271715368238752, 9.281055064906663, 0.48348413855710154]","[ 4.90181194  0.91843936  0.76377353  0.28635554 12.27117654  9.28105873
  0.91502336]",304.8824174203739,329.3625949974263
3,73.39984245457529,"[0.25343489423171234, 0.13291272113738023, 0.8569153079550206, 0.20461293931549118, 0.7297945417405657, 0.8529522961998172, 0.16283211052742327]","[4.67515591 0.02772647 0.75485271 0.22518597 3.49681932 4.15859336
 0.31651111]",160.79968490915059,185.25111501253443
4,167.8759398144943,"[0.27880993530209214, 0.06447396338555308, 0.28571836195567585, 0.19548861007501825, 15.243598088589755, 16.174102310978476, 0.07427751226378049]","[2.29902741e+00 1.00000000e-04 1.34722444e-01 1.00000000e-04
 1.63414512e+01 1.63628514e+01 4.89717393e-02]",349.7518796289886,374.2892003805151
5,218.85729212109587,"[1.7746962979913083, 0.2613814459304456, 0.7524925099805533, 0.4427954162169081, 17.970882266881624, 23.713134106657936, 0.9452864130766754]","[4.58843140e+00 3.83336550e-01 5.76793354e-01 4.12569059e-01
 1.00000000e-04 1.37550572e-01 8.45980553e-01]",451.71458424219173,478.2228659117587
6,166.5883805385858,"[4.324356891200736, 0.20375157485282822, 0.33189561569943615, 0.39964074743531786, 1.4684731353722793, 3.2712023911481007, 0.9551499689576054]","[4.31738565 0.20451961 0.55045717 0.39375783 1.46865568 3.27117128
 0.89415746]",347.1767610771716,371.68556855098467
7,187.85645581296185,"[0.08284894500251253, 0.6077947950257834, 0.21304773966721066, 0.3131504443009405, 9.967793067249692, 16.77059814950928, 0.9303968138570604]","[2.52276445e+00 1.00000000e-04 2.47106074e-01 1.00000000e-04
 6.78520044e-02 1.00000000e-04 1.99114019e-02]",389.7129116259237,415.6859007475478
8,196.42643781325305,"[0.9034103632275254, 0.09319590178305749, 0.8141784767998314, 0.23033218865467278, 23.769161465920263, 22.244546917998107, 0.7635734341193178]","[4.88434717 0.05343259 0.70199245 0.33181347 1.51648154 1.39726369
 0.75528043]",406.8528756265061,433.3180802370524
9,165.32283711701328,"[0.22843327077427858, 0.6639339546356205, 0.6942669412826824, 0.3506594358203156, 3.3298674990925665, 2.2728882597418636, 0.3564084187293809]","[4.66818024e+00 1.03335639e-04 1.00000000e-04 5.99287377e-01
 1.08449489e+00 1.08688033e+00 6.96626155e-02]",344.64567423402656,369.06823831712336
10,156.0682863458027,"[0.28003020778447807, 0.4066410667849308, 0.2802287826349661, 0.11145628041078968, 11.471131217780068, 18.52983101184162, 0.5741252168497405]","[8.82584126e-03 1.81106409e-02 7.42405752e-01 1.00000000e-04
 1.00000000e-04 2.39999000e+01 1.79447271e-01]",326.1365726916054,350.17262671648507
11,153.17531264177194,"[4.108383914460772, 0.05152372431492176, 0.15223781575874532, 0.8776523440962212, 2.1393421960614014, 4.652105884840369, 0.48936208818926985]","[4.81370279 0.01868289 0.50961797 0.49894599 2.26198618 3.44904346
 0.62441605]",320.3506252835439,344.7731893666407
12,154.78582920149768,"[2.1308806438423793, 0.4885907208285584, 0.8379548825020936, 0.4587862916641143, 8.16672529715707, 23.324423660998736, 0.7197835777598329]","[3.15134491e+00 1.00000000e-04 6.16063473e-01 1.00000000e-04
 8.29242623e-02 1.00000000e-04 2.28272995e-01]",323.57165840299535,350.0584346793035
