participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,163.67251274609367,"[2.8137173183848043, 0.7615738503105534, 19.770327409155612, 0.7815488859408674]",[ 0.60699712  0.61655866 19.77032737  0.26777739],[0.62637298 0.06203077],"[np.float64(-0.36976745567269664), np.float64(-0.07908956463378179)]",335.34502549218735,349.3336983933602
2,146.06939323787205,"[3.6941586515050986, 0.408779099289022, 20.155488645681665, 0.4777459596649223]",[ 1.04480135  0.9999     20.15548865  0.45577773],[4.90016010e-21 3.00047006e-01],"[np.float64(-2.8272974005768867e-21), np.float64(-0.2348703690510684)]",300.1387864757441,314.12745937691693
3,172.98276042988041,"[2.241747937189931, 0.8370050245605972, 12.918428586492286, 0.36517474188145793]",[ 0.11789362  0.54654402 12.91842859  0.9999    ],[0.1292912  0.65475499],"[np.float64(-0.17204737155805436), np.float64(-0.7049175305793591)]",353.96552085976083,368.03533244561964
4,82.35259096241197,"[4.407432854441253, 0.24416247611136907, 5.227180614721094, 0.6417779098294664]",[0.62649739 0.12836932 5.22718067 0.30465423],[0.5089213  4.55578545],"[np.float64(-0.4223982207999957), np.float64(-2.5693760014541187)]",172.70518192482393,186.67742769818614
5,168.06782820772563,"[0.31978835902722413, 0.9212928447681091, 6.6298975835974945, 0.9865541754255487]",[2.32525426e-02 1.00000000e-04 6.62989944e+00 9.99900000e-01],[81.45204574 51.85474767],"[np.float64(-51.85165211546906), np.float64(-39.023697321286335)]",344.13565641545125,358.1569825591807
6,219.29188891162673,"[0.5173908180499889, 0.6008041674840523, 12.24724736504335, 0.828435316060549]",[4.92045228e-01 6.88087845e-01 1.22472474e+01 1.00000000e-04],[0.4950951 0.0132081],"[np.float64(-0.5171817626820194), np.float64(-0.08061407523411568)]",446.58377782325346,461.7313673487203
7,167.70697599368117,"[1.0535102175579403, 0.3661729625464658, 20.247279052584986, 0.6532943987339939]",[ 0.33693424  0.60270762 20.24727762  0.9999    ],[0.34232357 0.13625481],"[np.float64(-0.2812004187766755), np.float64(-0.16877616600563344)]",343.41395198736234,357.4189848295413
8,169.04779250342736,"[0.3507056998524194, 0.5645415079950427, 23.64420661487108, 0.39086552968360405]",[ 0.1057695   0.15729028 23.64420662  0.9999    ],[1.91333732 1.54002222],"[np.float64(-1.5909626418211056), np.float64(-1.0660841706967914)]",346.0955850068547,360.08425790802755
9,193.70614803551146,"[4.7922642353364395, 0.7270008154813478, 2.2700737367693056, 0.714725598037508]",[1.05649518e-01 3.32376938e-02 2.27007354e+00 1.00000000e-04],[ 6.12387303 10.25912889],"[np.float64(-4.703387913982892), np.float64(-8.837748142428484)]",395.4122960710229,410.2540041405224
10,197.23628265935253,"[0.7454617017053073, 0.4094998275277064, 21.41897331490036, 0.9308265272804841]",[ 0.76468303  0.58247719 21.41897331  0.1082189 ],[0.03482882 1.21272051],"[np.float64(-0.023469059276809423), np.float64(-0.6038268710573186)]",402.47256531870505,417.59553938187435
11,156.29615375528536,"[0.21380339384994038, 0.41966743567439396, 19.25709336086405, 0.12461947890744343]",[ 0.8609119   0.9999     19.25709336  0.3441844 ],[1.60000000e-05 3.20000005e-01],"[np.float64(-8.695652173912087e-05), np.float64(-0.27012425936851797)]",320.5923075105707,334.61363365430014
