participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,158.55187747717594,"[0.33875061684518454, 0.1556014784034562, 8.734150476439213, 10.685725452394797, 0.32985168677411325]","[3.13413916e+00 1.00000000e-04 1.01100591e-04 2.70993202e-02
 1.86256323e-01]",327.10375495435187,344.5895960808179
2,147.06461401084653,"[4.931698526453758, 0.6994194896789271, 17.57894496006072, 0.11972996503308549, 0.49559476638022376]",[ 4.93401638  0.9926652  17.57894496  0.11972997  0.91846862],304.12922802169305,321.6150691481591
3,79.38534049501935,"[0.7429174012805108, 0.10874423064322561, 21.129116717538132, 13.555311267498896, 0.2597277533868661]","[1.84898364e+00 4.40670456e-04 3.88260792e-01 1.00000000e-04
 4.83765395e-01]",168.7706809900387,186.23598820674144
4,167.37468292686643,"[3.6167770121557634, 0.030640692118269763, 22.99638242329207, 11.091795975516154, 0.20626954187792285]","[2.32574656e-02 1.00000000e-04 2.31365721e+01 1.08159815e+01
 9.99900000e-01]",344.74936585373285,362.27602353339466
5,220.6358399027029,"[1.9127262115257073, 0.3908604200754943, 3.341327292296235, 11.821064366878867, 0.24715588952355538]","[5.91830836e-01 5.76096409e-01 1.00000000e-04 8.56466091e+00
 7.62365753e-01]",451.2716798054058,470.20616671223934
6,167.01428657102844,"[1.2733246934209832, 0.9056086241189836, 8.719639932712287, 19.362291540286144, 0.15286418003326355]",[ 0.68694169  0.60253882  8.63351032 19.36767222  0.9999    ],344.02857314205687,361.5348641947805
7,187.89837138239716,"[0.6417045401302791, 0.954390517304499, 4.969940514880121, 5.055687232893311, 0.23541569015215685]","[2.41974612e+00 1.12016076e-04 7.63613551e-02 1.00000000e-04
 1.00000000e-04]",385.7967427647943,404.34887785166865
8,200.46376956265527,"[2.3081685726105516, 0.975076641706955, 10.343220426097748, 4.88288353356966, 0.16906647128636865]","[7.58618473e-01 3.76143488e-01 2.17083497e+00 1.00000000e-04
 8.86404008e-01]",410.92753912531055,429.83125670427216
9,166.82562732154202,"[0.2693007358963071, 0.5573745034731097, 2.297899868123263, 3.511507494735407, 0.07449981093093562]","[1.26237021e-01 6.93241357e-04 2.28400627e+00 3.50266771e+00
 1.00000000e-04]",343.65125464308403,361.0959432738675
10,156.3477506949104,"[1.4765934172692008, 0.10039116340993244, 8.559493406742988, 13.331089269948007, 0.7120031596939262]",[0.55371873 0.53727184 3.41229098 0.67752127 0.9999    ],322.6955013898208,339.86411140759196
