participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,159.20447562760606,"[4.360162807296943, 0.5705720342739092, 8.207892821439515, 17.344685093369637, 0.9572977268236209]","[3.51767063e+00 1.00000000e-04 1.00000000e-04 2.56193686e-02
 1.00000000e-04]",328.4089512552121,345.89479238167814
2,168.20439670443417,"[0.8815213583554751, 0.2806809634372466, 17.645880512622742, 15.845483583489303, 0.14179556967222176]","[7.19212036e-01 1.73439930e-01 3.46791514e+00 1.00000000e-04
 8.44523030e-01]",346.40879340886835,363.8946345353344
3,81.58086430900539,"[3.7538269125901835, 0.6809997044199262, 3.602927393716658, 20.616916911652016, 0.14998803253230825]","[4.14765218e+00 5.04871234e-03 7.50203038e+00 1.35332386e+01
 8.78407489e-01]",173.16172861801078,190.62703583471352
4,165.8802258797375,"[1.0822756697179086, 0.3169574705154326, 7.690242134648009, 12.32261344534652, 0.16861620688839088]","[4.17590434e+00 1.00000000e-04 7.20599612e+00 1.46763690e+01
 3.49357804e-01]",341.760451759475,359.2871094391368
5,221.95007813307487,"[1.449034734691188, 0.07796792502700679, 0.603843405388694, 10.137865199477472, 0.4152995569773231]","[1.00710217e-01 9.99900000e-01 2.92200336e+00 1.00000000e-04
 1.00000000e-04]",453.90015626614974,472.83464317298325
6,169.19409768535138,"[0.985272435973066, 0.5849803235795197, 5.2825805653683915, 21.45443843976954, 0.9300530547009602]","[3.15043798e-02 1.67011298e-01 1.00000000e-04 2.39999000e+01
 1.00000000e-04]",348.38819537070276,365.8944864234264
7,187.8963053820434,"[1.6805938687561859, 0.5511246688303092, 6.761085915059087, 1.212435066801378, 0.15645366150063889]","[2.52529791e+00 1.00000000e-04 6.76619312e-02 1.00000000e-04
 1.00000000e-04]",385.7926107640868,404.34474585096115
8,213.30246795819056,"[2.8943911820689907, 0.5184529689902346, 0.3305333927756032, 17.133746979746967, 0.899349828069141]","[1.16086359e+00 2.17368421e-01 1.00000000e-04 2.39999000e+01
 7.76420030e-01]",436.6049359163811,455.50865349534274
9,165.57757861562195,"[2.777834750996027, 0.559136304685573, 0.8699847797016392, 2.4928320797542693, 0.637158277509034]","[4.64039947e+00 1.02778947e-04 1.11992675e+00 1.12219835e+00
 1.00000000e-04]",341.1551572312439,358.59984586202734
10,157.98415078356675,"[4.517466463538327, 0.15106610803869108, 3.984427756273101, 9.432145535983025, 0.6448085447089901]",[ 0.38051731  0.67621314 13.52769205  1.40309935  0.9999    ],325.9683015671335,343.1369115849047
11,153.20886156341626,"[3.178648633274549, 0.5227383477741376, 6.964656850416629, 17.410586038816746, 0.06990674504389488]","[3.15583072e+00 3.49584282e-02 1.00000000e-04 9.46861892e-01
 6.08088822e-01]",316.4177231268325,333.862411757616
