LEDISAS2	Code = 28	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
28	4	1	0	1	1	36	22	3	2	2	2	1	NaN	NaN	0	0	4152	1	NaN
28	4	2	0	1	2	47	4	2	3	3	2	1	NaN	NaN	0	0	3277	1	1
28	4	3	0	1	3	45	38	4	3	3	2	1	NaN	NaN	0	0	2512	1	1
28	4	4	0	1	4	38	32	2	4	4	2	1	NaN	NaN	0	0	5465	1	1
28	4	5	0	1	5	28	48	4	2	2	2	1	NaN	NaN	0	0	1317	1	1
28	4	6	0	1	6	6	11	5	4	4	2	1	NaN	NaN	0	0	3980	1	1
28	4	7	0	2	1	44	16	4	2	3	0	0	NaN	NaN	0	0	2755	NaN	NaN
28	4	8	0	2	2	5	54	4	3	3	2	1	NaN	NaN	0	0	2575	0	NaN
28	4	9	0	1	1	27	5	4	5	5	2	1	NaN	NaN	0	0	3526	1	1
28	4	10	0	1	2	3	11	4	3	3	2	1	NaN	NaN	0	0	2558	1	1
28	4	1	1	1	1	44	4	5	2	2	2	1	1	1	1.950000e+00	1.950000e+00	1191	1	NaN
28	4	2	1	1	2	19	18	2	3	3	2	1	1	1	1.800000e+00	3.750000e+00	1821	1	1
28	4	3	1	1	3	42	33	4	5	5	2	1	1	1	2.010000e+00	5.760000e+00	3186	1	1
28	4	4	1	1	4	15	39	4	2	2	2	1	1	1	2.030000e+00	7.790000e+00	2097	1	1
28	4	5	1	1	5	46	39	2	4	4	2	1	1	1	1.860000e+00	9.650000e+00	2281	1	1
28	4	6	1	1	6	15	6	3	5	5	2	1	1	1	2.140000e+00	1.179000e+01	1459	1	1
28	4	7	1	2	1	27	12	2	5	5	2	1	2	2	4.560000e+00	1.635000e+01	1111	0	1
28	4	8	1	2	2	19	29	4	2	2	2	1	2	2	3.980000e+00	2.033000e+01	2712	0	1
28	4	9	1	1	1	35	53	5	2	2	2	1	1	1	2.040000e+00	2.237000e+01	2073	1	1
28	4	10	1	1	2	24	23	5	2	2	2	1	1	1	2.020000e+00	2.439000e+01	1444	1	1
28	4	11	1	2	1	27	34	3	2	2	2	1	2	2	3.910000e+00	2.830000e+01	1463	0	1
28	4	12	1	2	2	14	46	4	3	3	2	1	2	2	4.340000e+00	3.264000e+01	2346	0	1
