SubNo,"Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)",Block_trial,Block,VarDist_cond,Run_number,Targ1_position,Targ2_position,Red_targ_digit,Blue_targ_digit,Response,Targ_Choice,Acc,RewardOutcome(0=inaccurate;1=lowReward;2=highReward),VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance),OutcomeValue,Points,RT,Optimal_Choice,Repeat_Switch,Original_SubNo
1,1,1,1,2,1,38,13,5,2,5,1,1,2.0,2.0,3.8,3.8,2.863,1,,1
1,1,2,1,2,2,35,27,3,5,3,1,1,2.0,2.0,3.22,7.02,1.745,1,1.0,1
1,1,3,1,2,3,11,10,2,5,2,1,1,2.0,2.0,4.06,11.08,3.149,1,1.0,1
1,1,4,1,2,4,9,46,5,3,5,1,1,2.0,2.0,4.14,15.22,1.49,1,1.0,1
1,1,5,1,2,5,6,45,2,4,2,1,1,2.0,2.0,3.46,18.68,3.945,1,1.0,1
1,1,6,1,1,1,50,42,4,2,4,1,1,1.0,1.0,2.14,20.82,2.925,0,1.0,1
1,1,7,1,1,2,41,50,2,4,2,1,1,1.0,1.0,2.14,22.96,2.663,0,1.0,1
1,1,8,1,1,3,35,52,5,3,5,1,1,1.0,1.0,2.0,24.96,1.388,0,1.0,1
1,1,9,1,1,4,24,30,3,4,3,1,1,1.0,1.0,2.04,27.0,4.067,0,1.0,1
1,1,10,1,1,5,17,5,4,3,4,1,1,1.0,1.0,2.02,29.02,2.169,0,1.0,1
1,1,11,1,1,6,54,20,5,3,5,1,1,1.0,1.0,1.98,31.0,3.649,0,1.0,1
1,1,12,1,2,1,24,26,3,2,3,1,1,2.0,2.0,4.34,35.34,3.655,1,1.0,1
1,1,13,1,2,2,17,30,3,5,3,1,1,2.0,2.0,3.72,39.06,2.199,1,1.0,1
1,1,14,1,2,3,11,32,2,4,2,1,1,2.0,2.0,5.03,44.09,2.337,1,1.0,1
1,1,15,1,2,4,30,41,3,5,3,1,1,2.0,2.0,3.94,48.03,1.192,1,1.0,1
1,1,16,1,2,5,8,2,3,5,3,1,1,2.0,2.0,4.05,52.08,1.81,1,1.0,1
1,1,17,1,2,6,14,1,5,4,5,1,1,2.0,2.0,4.5,56.58,2.845,1,1.0,1
1,1,18,1,1,1,15,21,5,4,5,1,1,1.0,1.0,2.01,58.59,1.274,0,1.0,1
1,1,20,1,1,3,4,9,2,5,2,1,1,1.0,1.0,1.9,62.48,2.662,0,1.0,1
1,1,21,1,1,4,10,54,3,5,3,1,1,1.0,1.0,2.03,64.51,4.425,0,1.0,1
1,1,22,1,1,5,5,17,5,2,5,1,1,1.0,1.0,1.84,66.35,6.224,0,1.0,1
1,1,23,1,2,1,39,4,3,5,3,1,1,2.0,2.0,4.34,70.69,2.906,1,1.0,1
1,1,24,1,2,2,47,26,5,3,5,1,1,2.0,2.0,4.77,75.46,2.474,1,1.0,1
1,1,25,1,2,3,29,17,5,3,5,1,1,2.0,2.0,3.67,79.13,0.896,1,1.0,1
1,1,26,1,2,4,36,10,5,2,5,1,1,2.0,2.0,4.4,83.53,2.145,1,1.0,1
1,1,27,1,1,1,51,4,3,2,3,1,1,1.0,1.0,2.15,85.68,1.952,0,1.0,1
1,1,28,1,1,2,16,38,4,2,4,1,1,1.0,1.0,1.81,87.49,3.321,0,1.0,1
1,1,31,1,2,1,36,19,4,5,4,1,1,2.0,2.0,3.81,95.2,2.014,1,1.0,1
1,1,33,1,1,2,45,33,4,5,4,1,1,1.0,1.0,2.1,99.38,5.305,0,1.0,1
1,1,34,1,1,3,16,37,5,2,5,1,1,1.0,1.0,2.08,101.46,1.568,0,1.0,1
1,1,35,1,2,1,26,43,4,3,4,1,1,2.0,2.0,4.61,106.07,3.133,1,1.0,1
1,1,36,1,2,2,31,5,4,3,4,1,1,2.0,2.0,4.32,110.39,1.097,1,1.0,1
1,1,38,1,1,2,50,11,3,4,3,1,1,1.0,1.0,1.86,114.39,5.929,0,1.0,1
1,1,39,1,2,1,5,8,2,4,2,1,1,2.0,2.0,3.99,118.38,2.249,1,1.0,1
1,1,40,1,2,2,26,3,2,4,2,1,1,2.0,2.0,3.93,122.31,2.588,1,1.0,1
1,1,41,1,2,3,45,8,2,3,2,1,1,2.0,2.0,3.24,125.55,2.663,1,1.0,1
1,1,43,1,2,1,14,28,3,2,3,1,1,2.0,2.0,3.5,131.08,1.784,1,1.0,1
1,1,45,1,2,3,47,4,4,3,4,1,1,2.0,2.0,4.67,135.75,3.906,1,,1
1,1,46,1,1,1,12,50,2,3,2,1,1,1.0,1.0,1.91,137.66,1.409,0,1.0,1
1,1,47,1,1,2,45,21,3,4,3,1,1,1.0,1.0,2.06,139.72,4.058,0,1.0,1
1,1,48,1,1,3,45,13,2,3,2,1,1,1.0,1.0,2.03,141.75,6.103,0,1.0,1
1,1,49,1,1,4,13,47,2,5,2,1,1,1.0,1.0,1.89,143.64,5.304,0,1.0,1
1,1,50,1,2,1,51,50,3,4,3,1,1,2.0,2.0,2.98,146.62,1.552,1,1.0,1
1,1,51,1,2,2,47,43,4,3,4,1,1,2.0,2.0,3.97,150.59,2.444,1,1.0,1
1,1,52,1,2,3,4,42,5,4,5,1,1,2.0,2.0,3.52,154.11,1.255,1,1.0,1
1,1,53,1,2,4,22,48,5,2,5,1,1,2.0,2.0,4.29,158.4,2.214,1,1.0,1
1,1,54,1,1,1,13,52,4,2,4,1,1,1.0,1.0,2.06,160.46,4.101,0,1.0,1
1,1,55,1,1,2,16,10,2,3,2,1,1,1.0,1.0,2.2,162.66,2.181,0,1.0,1
1,1,56,1,1,3,29,30,5,3,5,1,1,1.0,1.0,2.07,164.73,2.409,0,1.0,1
1,1,57,1,1,4,34,3,3,2,3,1,1,1.0,1.0,1.92,166.65,2.68,0,1.0,1
1,1,58,1,1,5,2,5,5,3,5,1,1,1.0,1.0,2.04,168.69,1.317,0,1.0,1
1,1,59,1,1,6,49,38,2,4,2,1,1,1.0,1.0,1.88,170.57,3.553,0,1.0,1
1,1,60,1,2,1,40,35,4,5,4,1,1,2.0,2.0,3.99,174.56,2.216,1,1.0,1
1,1,61,1,2,2,24,30,3,2,3,1,1,2.0,2.0,3.98,178.54,2.249,1,1.0,1
1,1,62,1,2,3,17,11,5,2,5,1,1,2.0,2.0,4.0,182.54,1.924,1,1.0,1
1,1,63,1,2,4,52,16,2,5,2,1,1,2.0,2.0,3.85,186.39,2.441,1,1.0,1
1,1,64,1,2,5,23,52,4,5,4,1,1,2.0,2.0,4.52,190.91,3.049,1,1.0,1
1,1,65,1,1,1,39,52,5,4,5,1,1,1.0,1.0,1.78,192.69,4.674,0,1.0,1
1,1,66,1,1,2,47,11,2,3,2,1,1,1.0,1.0,2.05,194.74,2.491,0,1.0,1
1,1,67,1,1,3,24,51,2,5,2,1,1,1.0,1.0,2.11,196.85,1.329,0,1.0,1
1,1,68,1,2,1,31,4,3,5,3,1,1,2.0,2.0,4.34,201.19,3.921,1,1.0,1
1,1,69,1,1,1,3,2,3,4,4,2,1,2.0,2.0,4.27,205.46,3.465,1,2.0,1
1,1,70,1,2,1,52,25,4,2,2,2,1,1.0,1.0,2.0,207.46,3.162,0,1.0,1
1,1,71,1,2,2,18,20,2,5,5,2,1,1.0,1.0,2.08,209.54,2.424,0,1.0,1
1,1,72,1,2,3,38,6,2,3,3,2,1,1.0,1.0,2.07,211.61,1.567,0,1.0,1
1,1,73,1,2,4,50,38,4,2,2,2,1,1.0,1.0,1.97,213.58,6.128,0,1.0,1
1,1,74,1,2,5,30,23,4,3,4,1,1,2.0,2.0,3.82,217.4,0.992,1,2.0,1
1,1,76,1,1,1,43,2,2,5,5,2,1,2.0,2.0,3.3,224.56,1.122,1,2.0,1
1,1,77,1,1,2,50,17,5,4,4,2,1,2.0,2.0,3.89,228.45,1.24,1,1.0,1
1,1,78,1,1,3,14,13,5,4,4,2,1,2.0,2.0,4.06,232.51,4.296,1,1.0,1
