LEDISAS1	Code = 1	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
1	1	1	0	1	1	32	17	3	2	3	1	1	NaN	NaN	0	0	2255	0	NaN
1	1	1	1	1	1	10	22	3	5	5	2	1	2	2	6.800000e-01	6.800000e-01	3162	1	NaN
1	1	2	1	1	2	12	43	2	5	2	1	1	1	1	2.600000e-01	9.400000e-01	2307	0	2
1	1	3	1	1	3	53	4	5	2	5	1	1	1	1	4.000000e-01	1.340000e+00	5184	0	1
1	1	4	1	1	4	30	11	3	4	4	2	1	2	2	9.300000e-01	2.270000e+00	1699	1	2
1	1	5	1	1	5	8	22	4	5	5	2	1	2	2	5.700000e-01	2.840000e+00	1464	1	1
1	1	1	2	2	1	21	16	5	2	2	2	1	1	1	9.000000e-02	2.930000e+00	1131	0	NaN
1	1	2	2	2	2	14	7	2	4	2	1	1	2	2	7.300000e-01	3.660000e+00	1137	1	2
1	1	3	2	2	3	50	54	4	2	2	2	1	1	1	5.200000e-01	4.180000e+00	1493	0	2
1	1	4	2	2	4	39	38	3	4	3	1	1	2	2	1.150000e+00	5.330000e+00	1936	1	2
1	1	5	2	2	5	28	17	4	3	3	2	1	1	1	1.500000e-01	5.480000e+00	1502	0	2
1	1	1	3	2	6	22	27	4	2	2	2	1	1	1	3.200000e-01	5.800000e+00	1861	0	NaN
1	1	2	3	1	1	14	51	5	4	5	1	1	1	1	2.500000e-01	6.050000e+00	1112	0	2
1	1	3	3	1	2	25	19	2	5	2	1	1	1	1	2.100000e-01	6.260000e+00	2006	0	1
1	1	4	3	1	3	22	16	3	5	3	1	1	1	1	1.900000e-01	6.450000e+00	2451	0	1
1	1	5	3	2	1	28	38	5	3	3	2	1	1	1	3.700000e-01	6.820000e+00	3390	0	2
1	1	1	4	1	1	10	19	4	3	4	1	1	1	1	2.800000e-01	7.100000e+00	2598	0	NaN
1	1	2	4	1	2	4	41	4	5	4	1	1	1	1	3.400000e-01	7.440000e+00	1037	0	1
1	1	3	4	1	3	53	7	5	2	5	1	1	1	1	2.900000e-01	7.730000e+00	4102	0	1
1	1	4	4	1	4	2	52	2	4	2	1	1	1	1	2.800000e-01	8.010000e+00	972	0	1
1	1	5	4	1	5	32	54	3	4	3	1	1	1	1	3.800000e-01	8.390000e+00	3946	0	1
1	1	1	5	1	1	30	12	3	4	4	2	1	2	2	1.010000e+00	9.400000e+00	2491	1	NaN
1	1	2	5	1	2	51	41	2	3	3	2	1	2	2	1.660000e+00	1.106000e+01	1907	1	1
1	1	3	5	1	3	35	24	2	5	5	2	1	2	2	3.000000e-02	1.109000e+01	2040	1	1
1	1	4	5	1	4	13	27	4	3	3	2	1	2	2	1.900000e-01	1.128000e+01	1512	1	1
1	1	5	5	1	5	40	36	4	5	5	2	1	2	2	1.160000e+00	1.244000e+01	1134	1	1
1	1	1	6	1	1	15	22	2	3	2	1	1	1	1	2.900000e-01	1.273000e+01	1298	0	NaN
1	1	2	6	1	2	51	53	3	2	2	2	1	2	2	2.000000e-02	1.275000e+01	1075	1	2
1	1	3	6	1	3	11	51	5	4	4	2	1	2	2	8.200000e-01	1.357000e+01	2127	1	1
1	1	4	6	1	4	28	2	5	2	2	2	1	2	2	1.400000e+00	1.497000e+01	1155	1	1
1	1	5	6	1	5	7	9	3	4	4	2	1	2	2	1	1.597000e+01	1735	1	1
1	1	1	7	1	1	5	41	3	2	2	2	1	2	2	1.590000e+00	1.756000e+01	1873	1	NaN
1	1	2	7	1	2	8	1	2	5	5	2	1	2	2	9.000000e-01	1.846000e+01	673	1	1
1	1	3	7	1	3	48	23	4	2	2	2	1	2	2	1.550000e+00	2.001000e+01	1838	1	1
1	1	4	7	1	4	39	34	2	4	4	2	1	2	2	5.100000e-01	2.052000e+01	2837	1	1
1	1	5	7	1	5	4	14	5	3	3	2	1	2	2	1.300000e-01	2.065000e+01	2386	1	1
1	1	1	8	1	1	35	12	2	5	5	2	1	2	2	5.700000e-01	2.122000e+01	682	1	NaN
1	1	2	8	1	2	8	51	4	3	3	2	1	2	2	1.230000e+00	2.245000e+01	2505	1	1
1	1	3	8	1	3	50	6	3	4	4	2	1	2	2	1.400000e-01	2.259000e+01	1161	1	1
1	1	4	8	1	4	41	44	2	4	4	2	1	2	2	9.700000e-01	2.356000e+01	2219	1	1
1	1	5	8	1	5	13	7	4	2	2	2	1	2	2	3.800000e-01	2.394000e+01	956	1	1
