participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,88.2631115254578,"[1.47093276795744, 3.5226293946604126, 23.86545269493375]",[ 0.42835281  0.0895054  23.95583684],"[np.float64(0.007163357062517682), np.float64(4.541200519679041)]","[np.float64(-0.007163357062517682), np.float64(-4.541200519679041)]",182.5262230509156,193.01772772679521
2,103.13898058097047,"[2.2984005012690476, 0.8580411234519253, 7.953086384086586]",[0.32057642 0.06103704 7.95307754],"[np.float64(0.6248565488702382), np.float64(7.240339650217388)]","[np.float64(-0.6248565488702382), np.float64(-7.240339650217388)]",212.27796116194094,222.71987793196692
3,165.66217615383124,"[4.679614898355243, 3.843575159721133, 20.29864492382471]",[ 4.6796149   3.84357516 20.29864492],"[np.float64(-7.311477585940859e+108), np.float64(-2.664069806988304e+108)]","[np.float64(7.311477585940859e+108), np.float64(2.664069806988304e+108)]",337.3243523076625,347.7911654861325
4,168.1104165390215,"[3.1759630538684074, 2.7054752786120218, 23.12971522118773]",[ 0.56558525  2.03266418 22.91963795],"[np.float64(-0.12275607905656546), np.float64(0.6106470927869898)]","[np.float64(0.12275607905656546), np.float64(-0.6106470927869898)]",342.220833078043,352.73682768584007
5,108.26725367758083,"[2.2106896791856103, 2.8342342028012313, 9.453315164210695]",[0.36371764 0.07008073 8.24725001],"[np.float64(1.5108809640855532), np.float64(4.239173777732103)]","[np.float64(-1.5108809640855532), np.float64(-4.239173777732103)]",222.53450735516165,233.0136916851833
6,147.82672855710126,"[0.7712172203054527, 0.40305384465269267, 2.061173400812576]",[0.92561512 1.42106615 0.3       ],"[np.float64(0.32722244698858316), np.float64(-0.01774811320701944)]","[np.float64(-0.32722244698858316), np.float64(0.01774811320701944)]",301.6534571142025,312.1078479146745
7,126.41460917975289,"[3.362791114466826, 0.40611273360731975, 21.194039911217235]",[ 0.66053914  0.18827707 22.71848639],"[np.float64(1.7117469476999827), np.float64(0.29735655665660393)]","[np.float64(-1.7117469476999827), np.float64(-0.29735655665660393)]",258.8292183595058,269.36950459800073
8,153.40211398648057,"[1.2835681801000347, 0.5615000626920199, 2.621185473759665]",[0.86029707 1.2234239  0.3       ],"[np.float64(-0.04253100115116944), np.float64(0.452787513998533)]","[np.float64(0.04253100115116944), np.float64(-0.452787513998533)]",312.80422797296114,323.2834123029828
9,168.21365123662252,"[0.8739434405986993, 2.4858027858251455, 0.4245593239186465]",[0.02093254 2.43079997 0.39540688],"[np.float64(-2.386162734248399e+38), np.float64(-2.367450909447946e+38)]","[np.float64(2.386162734248399e+38), np.float64(2.367450909447946e+38)]",342.42730247324505,352.93107710487925
10,168.31916414578475,"[1.5030174813240407, 1.2749713834933003, 7.863514485030429]",[0.04621121 0.01261302 7.866376  ],"[np.float64(19.060919707435033), np.float64(12.020991338499554)]","[np.float64(-19.060919707435033), np.float64(-12.020991338499554)]",342.6383282915695,353.1543228993666
11,123.56358962281561,"[2.766670135156205, 2.9720174723893606, 16.61454987207936]",[ 0.6194694   0.20332624 18.47839252],"[np.float64(1.3378011364859783), np.float64(1.2133899015747476)]","[np.float64(-1.3378011364859783), np.float64(-1.2133899015747476)]",253.12717924563123,263.67953793502534
12,162.38735554062606,"[3.397464591039678, 1.626875931221182, 15.699452345813688]",[4.09405619e-02 1.00000000e-04 1.58314889e+01],"[np.float64(25.459106196676508), np.float64(46.35417041792407)]","[np.float64(-25.459106196676508), np.float64(-46.35417041792407)]",330.7747110812521,341.2784857128863
13,169.12791205662697,"[4.962192650800483, 2.0582352329866302, 0.342389376785555]",[4.9999 4.9999 0.3   ],"[np.float64(-6.614940846921682e+146), np.float64(-6.543533720983492e+146)]","[np.float64(6.614940846921682e+146), np.float64(6.543533720983492e+146)]",344.25582411325394,354.7350084432756
14,158.32908006070542,"[0.0047875058795564225, 2.6981442583861206, 11.209744426164036]",[5.55158334e-03 2.71425235e+00 1.12097501e+01],"[np.float64(-6.452986766306938e+52), np.float64(-6.727163817664547e+52)]","[np.float64(6.452986766306938e+52), np.float64(6.727163817664547e+52)]",322.65816012141084,332.99837223640975
