participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,88.21176904340159,"[1.3666733830013313, 0.5632287866753167, 17.82698133302698]",[4.88348163e+00 1.41733832e-04 3.28940828e+00],"[np.float64(-3.2884717969247017), np.float64(-3.2662910688114923)]",[3.2884718  3.26629107],182.42353808680318,192.9150427626828
2,103.28886630929816,"[4.3170521711065355, 0.7701655107449236, 14.553860249152677]",[ 0.17748192  0.02520525 23.9999    ],"[np.float64(-10.930070751457599), np.float64(-2.814450368309257)]",[10.93007075  2.81445037],212.57773261859631,223.0196493886223
3,166.2285857475244,"[3.976837925526198, 0.5718986268059875, 15.045647448623505]",[3.62842487e+00 1.00000000e-04 3.07635429e+00],"[np.float64(-3.088605933473854), np.float64(-3.0935190303904463)]",[3.08860593 3.09351903],338.4571714950488,348.9239846735188
4,169.64669532120624,"[3.133227683959648, 0.4561451347193393, 3.033368012594184]",[3.98010231e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.360707047473944), np.float64(-0.3621405600549278)]",[0.36070705 0.36214056],345.2933906424125,355.8093852502096
5,106.95741468853026,"[0.04811885987750627, 0.3836706198105971, 12.218250725100601]",[2.15865564 0.01698947 3.22320263],"[np.float64(-3.203837076429671), np.float64(-3.020767077880058)]",[3.20383708 3.02076708],219.91482937706053,230.39401370708217
6,167.28647489834634,"[4.64009834301811, 0.4827782978595988, 22.99810234157348]",[ 0.03111594  0.9999     23.9999    ],"[np.float64(-2.3650826090074584), np.float64(-2.6500363865213807)]",[2.36508261 2.65003639],340.5729497966927,351.02734059716465
7,171.87841652366282,"[3.891034228347738, 0.9023059209205291, 11.29512188693349]",[1.50057511e+00 1.00000000e-04 2.39999000e+01],"[np.float64(-23.71862090972071), np.float64(-23.78168915430368)]",[23.71862091 23.78168915],349.75683304732564,360.2971192858206
8,168.26881761721302,"[1.4445352762454087, 0.28595055171980827, 23.893363756169055]",[ 0.06450847  0.8702982  15.86928401],"[np.float64(-4.923638998328109), np.float64(-2.218007586308751)]",[4.923639   2.21800759],342.53763523442603,353.0168195644477
9,170.51420641774686,"[4.626752515133199, 0.7401428410907357, 10.732055284226782]",[4.99990000e+00 1.00000000e-04 1.07320553e+01],"[np.float64(-10.65235147454472), np.float64(-10.659895413120891)]",[10.65235147 10.65989541],347.0284128354937,357.5321874671279
10,166.45060226149857,"[3.2862135801305583, 0.4503279386606274, 7.90299470572867]",[4.99990000e+00 1.39023657e-04 2.26335358e+00],"[np.float64(-2.2859852742553786), np.float64(-2.2870553994841725)]",[2.28598527 2.2870554 ],338.90120452299715,349.41719913079424
11,128.34521626520822,"[2.3416321780115945, 0.6701655208087313, 8.02375886299979]",[ 0.17189929  0.03100224 23.9999    ],"[np.float64(-6.947526889030759), np.float64(-2.669853662516423)]",[6.94752689 2.66985366],262.69043253041644,273.24279121981056
12,162.19809003967154,"[4.189824001474562, 0.8762291515720828, 2.187521492691784]",[3.50962815e-01 1.72695788e-03 2.39999000e+01],"[np.float64(-21.30070250592141), np.float64(-19.288235885268076)]",[21.30070251 19.28823589],330.3961800793431,340.8999547109773
13,167.67101755504154,"[2.390092385163765, 0.0562050207344095, 22.833128786418477]",[1.68635574 0.00224656 0.3       ],"[np.float64(-1.455065172705781), np.float64(-1.5079505887532492)]",[1.45506517 1.50795059],341.3420351100831,351.82121944010476
14,161.31960544931528,"[3.555501294031758, 0.21371660772603698, 23.061634396683612]",[1.31157034e+00 1.00000000e-04 2.39999000e+01],"[np.float64(-23.785353886487115), np.float64(-23.822796322082407)]",[23.78535389 23.82279632],328.63921089863055,338.97942301362946
15,169.7087667142136,"[4.648938339000444, 0.9479227059530994, 14.984829246783551]",[0.02649099 0.9999     4.27563393],"[np.float64(-3.048893802621113), np.float64(-1.465084606819378)]",[3.0488938  1.46508461],345.4175334284272,355.9090381043068
16,169.71377097597446,"[4.305555791102135, 0.36914285302614136, 18.486029855936053]",[0.05032626 0.9999     0.3       ],"[np.float64(-3.580930526976051), np.float64(-5.183677022548423)]",[3.58093053 5.18367702],345.4275419519489,355.9313165835831
17,66.96781208938344,"[0.625520850379245, 0.16118729198296103, 3.5728389223408246]",[4.68091157e+00 3.22644930e-04 4.11672482e+00],"[np.float64(-4.117401075420936), np.float64(-4.046272170260954)]",[4.11740108 4.04627217],139.9356241787669,150.40243735723695
18,155.91417046133904,"[0.9973690523483836, 0.7242267558846005, 1.4099204412417894]",[1.34469578e+00 2.29142849e-03 7.20082184e+00],"[np.float64(-6.029776769861944), np.float64(-6.472268537796224)]",[6.02977677 6.47226854],317.8283409226781,328.3443355304752
19,171.1234674678706,"[2.1686311782671805, 0.016599296522317397, 14.102036979945707]",[2.17572402e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.36622667039567003), np.float64(-0.3532040276804279)]",[0.36622667 0.35320403],348.2469349357412,358.7629295435383
20,171.487924217449,"[2.317639033445786, 0.22787230358935007, 18.282425606058904]",[4.21978316e+00 1.00000000e-04 2.28543569e+00],"[np.float64(-2.333226600180968), np.float64(-2.332218344733925)]",[2.3332266  2.33221834],348.975848434898,359.54023118848477
21,116.1900868489004,"[1.8970312708233164, 0.4667042297763382, 1.4002294193944425]",[ 0.21797347  0.03756754 23.9999    ],"[np.float64(-6.261315138591734), np.float64(-2.4876477276964373)]",[6.26131514 2.48764773],238.3801736978008,248.8961683055979
22,48.759740720700776,"[0.7996300722254394, 0.830211501807696, 2.536947148822615]",[0.88391973 0.03761609 5.12874585],"[np.float64(-4.320349679679045), np.float64(-2.433077347227381)]",[4.32034968 2.43307735],103.51948144140155,113.98629461987161
23,168.71497995272725,"[1.8735081301874876, 0.02353874190266986, 8.597562794368512]",[3.87369821e+00 1.00000000e-04 4.67083517e+00],"[np.float64(-4.674709039850112), np.float64(-4.677599661858947)]",[4.67470904 4.67759966],343.4299599054545,353.9214645813341
24,164.9856857893755,"[3.479589528431287, 0.46020471364319615, 8.407353459431155]",[4.25538541e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.3380572879585417), np.float64(-0.33568958771527624)]",[0.33805729 0.33568959],335.971371578751,346.43818475722105
25,83.2369688020553,"[1.472931660593653, 0.5578922088055943, 10.626406842207036]",[0.78105061 0.04446088 6.15314028],"[np.float64(-4.156838203591128), np.float64(-2.3304088954158457)]",[4.1568382 2.3304089],172.4739376041106,182.9654422799902
26,168.72224893644892,"[3.3993315486316176, 0.10559169798954925, 1.6464672017850757]",[2.65170676e+00 1.00000000e-04 3.00000000e-01],"[np.float64(-0.33769305923397974), np.float64(-0.3275015519006816)]",[0.33769306 0.32750155],343.44449787289784,353.9236822029195
27,147.68464582642906,"[0.5820137524926485, 0.987284154412804, 2.2058942100351895]",[4.92338587e+00 4.37108150e-04 3.15287192e+00],"[np.float64(-3.1425335670999863), np.float64(-3.1479913495951304)]",[3.14253357 3.14799135],301.3692916528581,311.8607963287377
28,170.52559220792747,"[4.10156078100418, 0.19445855014814709, 17.84417383991658]",[ 0.0369099  0.9999    23.9999   ],"[np.float64(-3.298771497871086), np.float64(-2.640958704410084)]",[3.2987715 2.6409587],347.05118441585495,357.56717902365205
29,166.35532333438718,"[4.263901704695161, 0.7680652811163855, 15.763537188174631]",[4.99990e+00 1.00000e-04 2.39999e+01],"[np.float64(-23.75347150411159), np.float64(-23.776976783148754)]",[23.7534715  23.77697678],338.71064666877436,349.1400373245689
30,166.55443900456768,"[1.1885160685306053, 0.24161329260149586, 20.37026175657087]",[1.44678467e-01 7.87222641e-03 2.39999000e+01],"[np.float64(-10.509432504441492), np.float64(-13.28943922350923)]",[10.5094325  13.28943922],339.10887800913537,349.60038268501495
31,118.35718079749358,"[0.016402741371249228, 0.07224466251836956, 2.5182686619723884]",[4.99990000e+00 2.72785284e-04 2.68444742e+00],"[np.float64(-2.6960787403779256), np.float64(-2.6824749817787987)]",[2.69607874 2.68247498],242.71436159498717,253.11854201839256
32,155.27526768461712,"[1.4339505886255175, 0.9761886407888233, 9.460894473153619]",[0.79550443 0.10551921 8.26625303],"[np.float64(-3.298888443224076), np.float64(-2.8362379489720007)]",[3.29888844 2.83623795],316.55053536923424,327.05431000086844
33,118.64525675862068,"[1.5998232491135904, 0.5354027486269058, 0.8144958595462872]",[2.60910338e+00 1.00000000e-04 2.39999000e+01],"[np.float64(-23.61999150439767), np.float64(-23.87859536875645)]",[23.6199915  23.87859537],243.29051351724135,253.78201819312096
34,105.13023133463447,"[0.12698241955954334, 0.012297245786660714, 2.948173745459101]",[1.86454871 0.02131024 2.66786107],"[np.float64(-2.519886870037315), np.float64(-2.3417409086582808)]",[2.51988687 2.34174091],216.26046266926895,226.727275847739
35,155.6074508613069,"[0.6267586641763797, 0.05354108796432271, 22.771634985184225]",[ 0.32659674  0.05036019 10.68078461],"[np.float64(-3.7248242995857708), np.float64(-4.715025760442724)]",[3.7248243  4.71502576],317.2149017226138,327.7430667324977
36,117.71412620962074,"[2.0153096756071096, 0.735541549637039, 7.797295994816536]",[1.33764283e-01 2.33884415e-02 2.39999000e+01],"[np.float64(-10.75697818151165), np.float64(-3.2119970529980852)]",[10.75697818  3.21199705],241.4282524192415,251.99263517282822
37,167.04847051494713,"[4.626905270952492, 0.1629714284193958, 15.022198695203446]",[4.99990000e+00 1.00000000e-04 1.53796756e+01],"[np.float64(-15.243526729703438), np.float64(-15.233164501117505)]",[15.24352673 15.2331645 ],340.09694102989425,350.5388577999202
38,168.07991612281376,"[3.462321397127066, 0.27633110290268803, 16.228584945265855]",[0.04682895 0.35818322 0.3       ],"[np.float64(-3.8982462696364726), np.float64(-3.1060229431951747)]",[3.89824627 3.10602294],342.1598322456275,352.62664542409755
39,77.48353318749933,"[1.6454799846345516, 0.7365646001495999, 16.442353214798622]",[1.08253453 0.02759096 5.5555792 ],"[np.float64(-4.428865488096248), np.float64(-2.718419893414151)]",[4.42886549 2.71841989],160.96706637499867,171.3072784899976
40,92.71572692640709,"[0.6920029491115515, 0.4949516916710742, 8.389022358560567]",[4.85480643e+00 2.10608464e-04 3.39405962e+00],"[np.float64(-3.3718084665221726), np.float64(-3.3933445102778372)]",[3.37180847 3.39334451],191.43145385281417,201.94744846061127
41,164.8444392111317,"[1.6808843624576153, 0.25166687381655795, 12.910209020626123]",[ 0.07714243  0.0258633  23.9999    ],"[np.float64(-4.134903428134982), np.float64(-4.964001111311942)]",[4.13490343 4.96400111],335.6888784222634,346.14326922273534
42,168.34312023159535,"[3.074259653496771, 0.2752338151217547, 7.834782467463104]",[3.32815156e+00 1.00000000e-04 7.20391845e+00],"[np.float64(-7.15776004086329), np.float64(-7.165807500477629)]",[7.15776004 7.1658075 ],342.6862404631907,353.16542479321237
43,166.46074133793906,"[3.6147517001928002, 0.2612165319088339, 15.141319080380027]",[4.99990000e+00 1.93348193e-04 2.87926955e+00],"[np.float64(-2.8920093472705632), np.float64(-2.8959153874486523)]",[2.89200935 2.89591539],338.9214826758781,349.4374772836752
44,170.15929013510765,"[2.967146459360379, 0.8371524734891457, 15.587781940082834]",[1.46174316e-01 3.01456853e-03 2.39999000e+01],"[np.float64(-17.30550145898999), np.float64(-18.08462266055079)]",[17.30550146 18.08462266],346.3185802702153,356.8223549018495
45,168.30159630809104,"[4.178119635529424, 0.42534366399639945, 13.518708675023998]",[0.08576504 0.9999     0.3       ],"[np.float64(-1.3500715387991409), np.float64(-7.429440001549501)]",[1.35007154 7.42944   ],342.60319261618207,353.11918722397917
46,70.37057785311453,"[2.669396180875008, 0.7621509472074612, 3.066291092657392]",[ 0.16045528  0.04682563 23.9999    ],"[np.float64(-11.594628345045875), np.float64(-2.804169812906821)]",[11.59462835  2.80416981],146.74115570622905,157.29351439562316
47,138.18239451189712,"[0.4504478025994886, 0.615684028051038, 9.448508540085854]",[ 0.23841022  0.02604079 23.9999    ],"[np.float64(-6.556107868186921), np.float64(-2.8613784237756295)]",[6.55610787 2.86137842],282.36478902379423,292.8316022022643
48,76.54424090945494,"[2.2349796589344773, 0.413917286778995, 22.44549009781082]",[0.66494903 0.02765826 9.4666092 ],"[np.float64(-5.631003503936081), np.float64(-2.2650707338614264)]",[5.6310035  2.26507073],159.08848181890988,169.61664682879382
49,167.71514329894984,"[3.684221336522904, 0.9379676833308247, 16.15047276348761]",[4.59507148e+00 1.06237482e-04 4.52174391e+00],"[np.float64(-4.514295500655601), np.float64(-4.514725578503181)]",[4.5142955  4.51472558],341.4302865978997,351.9584516077836
50,143.89101843837344,"[0.8137580452465989, 0.9772722764476125, 9.471856756695042]",[2.38660475e+00 1.00000000e-04 2.39999000e+01],"[np.float64(-23.666198589080956), np.float64(-23.843131558770526)]",[23.66619859 23.84313156],293.7820368767469,304.1988488977613
51,59.89327870037146,"[2.3068131582650624, 0.4656586862907518, 1.1087019330887664]",[0.57329984 0.02939902 8.00239698],"[np.float64(-6.1914704631894395), np.float64(-3.0479057692114773)]",[6.19147046 3.04790577],125.78655740074292,136.32684363923786
52,168.23274820257603,"[2.1669370020356573, 0.9001342145369496, 7.1053112592824075]",[1.38750598 0.00840215 0.3       ],"[np.float64(-2.4879150745432694), np.float64(-2.6962110693481653)]",[2.48791507 2.69621107],342.46549640515207,352.98149101294916
53,167.9125330119818,"[3.8049517878364716, 0.6357017116289012, 9.596592784276686]",[ 0.02627825  0.9999     23.9999    ],"[np.float64(-5.20696667894053), np.float64(-3.57747004426016)]",[5.20696668 3.57747004],341.8250660239636,352.2918792024336
54,169.82105930471423,"[4.986620389964777, 0.10060510209342917, 3.3872429544879976]",[4.98654365 0.10079553 3.38724295],"[np.float64(-3.489589067857581), np.float64(-3.527442767388836)]",[3.48958907 3.52744277],345.64211860942845,356.14589324106265
55,168.29706096245562,"[2.4897249283484983, 0.4611612992768758, 21.278789610063818]",[1.22252150e-01 8.43997277e-03 2.39999000e+01],"[np.float64(-9.261861319366606), np.float64(-11.57362818302085)]",[ 9.26186132 11.57362818],342.59412192491124,353.09789655654544
56,159.24482824962612,"[3.0141643660913093, 0.6709369354338478, 6.86970160470495]",[4.81979149e+00 2.39262883e-04 3.49461977e+00],"[np.float64(-3.5275273957533555), np.float64(-3.5201804716618987)]",[3.5275274  3.52018047],324.48965649925225,334.98116117513183
