participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,88.42623648764595,"[2.7454805976110124, 0.05492663256400714]",[0.02377663 0.00886014],"[np.float64(8.09772054415704), np.float64(169.7887776970075)]",[0. 0.],180.8524729752919,187.84680942587832
2,102.17937021813614,"[1.7243999754725512, 0.9031974252350561]",[0.28724722 0.26993219],"[np.float64(0.05157829317955619), np.float64(8.77969360218353)]",[0. 0.],208.35874043627229,215.32001828295626
3,165.30437264788867,"[3.338002811687148, 0.8473396685666679]",[0.00521266 0.0001    ],"[np.float64(170.57505818288047), np.float64(70.75840585289511)]",[0. 0.],334.60874529577734,341.5866207480907
4,169.1084133700534,"[3.419198766920891, 0.06363363515886299]",[0.16305349 0.75432295],"[np.float64(0.031661726626354005), np.float64(0.7665479115469718)]",[0. 0.],342.2168267401068,349.2274898119715
5,108.66677107338663,"[0.30224736441191286, 0.6738116655674723]",[0.09128116 0.06690954],"[np.float64(3.224571838359856), np.float64(18.943510056035805)]",[0. 0.],221.33354214677325,228.31966503345436
6,149.2251260591409,"[4.394485714413574, 0.30669851070589127]",[0.38129076 0.9999    ],"[np.float64(1.2348258115052022), np.float64(6.20753190084441e-13)]",[0. 0.],302.4502521182818,309.4198459852631
7,124.93916240497802,"[0.5858158939480471, 0.5145645653163888]",[0.32029949 0.24807048],"[np.float64(5.372121282339401), np.float64(0.18708870229621186)]",[0. 0.],253.87832480995604,260.905182302286
8,155.16169724703457,"[0.1313112628770715, 0.026903633111509614]",[0.33035881 0.9999    ],"[np.float64(7.122591776801619e-05), np.float64(0.7742305841768599)]",[0. 0.],314.32339449406913,321.3095173807502
9,169.45152942487013,"[3.6184632879428573, 0.46016988256354596]",[0.07477293 0.84472761],"[np.float64(0.7659844211403108), np.float64(0.00037324753617264654)]",[0. 0.],342.90305884974026,349.90557527082973
10,167.406023400119,"[4.094799828492877, 0.24908379453909404]",[0.02698233 0.05293552],"[np.float64(22.43917154399408), np.float64(5.978213702870763)]",[0. 0.],338.812046800238,345.82270987210273
11,136.4347296167716,"[0.5863444895600051, 0.08849348178680244]",[0.08071333 0.02599002],"[np.float64(21.764839671473215), np.float64(24.48382844590792)]",[0. 0.],276.8694592335432,283.9043650264726
12,161.1337585681481,"[2.7974320456250688, 0.3099324753832341]",[0.17009559 0.26771155],"[np.float64(0.7039839401152944), np.float64(3.926928677146547)]",[0. 0.],326.2675171362962,333.27003355738566
13,168.37790014666373,"[3.937978667114954, 0.31173400719512023]",[0.00097823 0.0001    ],"[np.float64(64.72047453089594), np.float64(149.6533970318014)]",[0. 0.],340.75580029332747,347.74192318000854
14,160.14285619885044,"[2.5829455927425315, 0.24306971493314458]",[0.00440125 0.0001    ],"[np.float64(100.50139753381892), np.float64(46.0745864540527)]",[0. 0.],324.2857123977009,331.1791871410335
15,162.84654433153568,"[2.597295206604519, 0.24010130581568406]",[0.25340263 0.9999    ],"[np.float64(1.8573296901900922), np.float64(7.704509117799167e-09)]",[0. 0.],329.69308866307136,336.68742511365775
16,168.60445419010543,"[2.96493491238707, 0.8899009926597587]",[0.05048819 0.21094973],"[np.float64(1.969664860719254), np.float64(1.7306916054109223)]",[0. 0.],341.20890838021086,348.2114248013003
17,68.29368656599094,"[3.0928410275093294, 0.9488183492352624]",[0.03249278 0.0001    ],"[np.float64(32.293794309517935), np.float64(315.48039543525283)]",[0. 0.],140.58737313198188,147.56524858429526
18,153.1412388212276,"[4.834035609601805, 0.7623077501032116]",[0.02544816 0.02315471],"[np.float64(47.750897268282465), np.float64(7.116300069698129)]",[0. 0.],310.2824776424552,317.2931407143199
19,169.93867842340268,"[4.361803301048745, 0.7082611934024433]",[0.11426142 0.9999    ],"[np.float64(0.18635671626977066), np.float64(1.0421416419210287e-12)]",[0. 0.],343.87735684680536,350.88801991867007
20,172.53929974169247,"[3.2539860676814225, 0.322298342227542]",[0.01767183 0.03062714],"[np.float64(17.010550387429035), np.float64(6.300100067807967)]",[0. 0.],349.07859948338495,356.12152131910943
21,115.81969749305544,"[2.5834906105839663, 0.487113789448501]",[0.05818266 0.05737935],"[np.float64(4.462717513796881), np.float64(20.928983706953293)]",[0. 0.],235.6393949861109,242.6500580579756
22,46.405615138141876,"[2.2522618499704343, 0.848586478020172]",[0.28330904 0.2077253 ],"[np.float64(2.6018518877187956e-06), np.float64(9.263137693573432)]",[0. 0.],96.81123027628375,103.78910572859712
23,166.4588635554852,"[2.358429697042736, 0.12802872497272128]",[0.18447812 0.9999    ],"[np.float64(5.669894672487869e-17), np.float64(0.4332951572120205)]",[0. 0.],336.9177271109704,343.9120635615568
24,162.5002546120722,"[0.7098468672083807, 0.1309493511570066]",[0.25552799 0.91926352],"[np.float64(0.016606229565554916), np.float64(1.080511097598626)]",[0. 0.],329.0005092241444,335.9783846764578
25,82.90350672966116,"[0.998155241112556, 0.020606982422386306]",[0.07883167 0.05692388],"[np.float64(1.1968442340297702), np.float64(31.415972669620384)]",[0. 0.],169.80701345932232,176.80134990990874
