participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,85.65844555251854,"[0.024901279650870432, 0.47797360273083056]",[0.32038073 0.66669634],[1.46780723e-27 6.12229567e+00],[0. 0.],175.3168911050371,182.3112275556235
2,99.16687897838426,"[2.5847422633379296, 0.12985858689772212]",[0.16170727 0.33524022],[ 0.05704075 12.14495432],[0. 0.],202.33375795676852,209.2950358034525
3,166.0348091883873,"[2.6333451756746835, 0.7657084114016763]",[0.00160855 0.0001    ],[526.79529415 213.96656698],[0. 0.],336.0696183767746,343.04749382908795
4,170.50065144626788,"[0.08907580124356444, 0.5059481557360381]",[0.0395253 0.7423184],[0.12635829 4.09590889],[0. 0.],345.00130289253576,352.0119659644005
5,107.40277667095606,"[3.0824494828738573, 0.15988771819735673]",[0.05517773 0.10275899],[ 5.92441927 28.1501656 ],[0. 0.],218.80555334191212,225.79167622859322
6,145.01216871287255,"[2.1383022152277595, 0.33280223140185816]",[0.23585697 0.9999    ],[3.94042208e+00 1.87076114e-12],[0. 0.],294.0243374257451,300.9939312927264
7,128.02746822447992,"[0.6824295161167592, 0.24179449737904904]",[0.16939257 0.37337407],[8.88115419 0.81673289],[0. 0.],260.05493644895984,267.0817939412898
8,155.64715168979683,"[2.2989044184576297, 0.3894751523198058]",[0.17980126 0.9999    ],[1.94019400e-04 4.05000005e+00],[0. 0.],315.29430337959366,322.28042626627473
9,170.24165558650589,"[3.4648852652708757, 0.48662203771341567]",[0.02653626 0.87294018],[1.91470429e+00 1.08163998e-03],[0. 0.],344.48331117301177,351.48582759410124
10,168.056958057731,"[4.244730125070581, 0.4189453715661974]",[0.0072959  0.03667436],[65.64504087 21.98467583],[0. 0.],340.113916115462,347.12457918732673
11,136.96511656218706,"[0.5721865834902007, 0.006367423159702133]",[0.05743144 0.05159039],[27.8444077  25.54736895],[0. 0.],277.9302331243741,284.96513891730353
12,160.12260545069924,"[0.5812410147156332, 0.052592162122457604]",[0.07745852 0.33897384],[ 0.46400731 11.09575709],[0. 0.],324.2452109013985,331.24772732248795
13,169.09503213438745,"[2.802064326065543, 0.9751036346136376]",[0.00024345 0.0001    ],[243.57405417 477.48771987],[0. 0.],342.1900642687749,349.176187155456
14,160.20296698405014,"[1.9732724723874895, 0.8461507971073993]",[0.00978253 0.06942684],[34.59114693 12.74719925],[0. 0.],324.40593396810027,331.2994087114329
15,159.88653265332175,"[2.3368816126629595, 0.19809392544805537]",[0.15385081 0.9999    ],[3.69037904e+00 1.78055810e-08],[0. 0.],323.7730653066435,330.7674017572299
16,169.17002262288761,"[0.6384519878728421, 0.5778138177560961]",[0.05714261 0.9999    ],[1.72000002e+00 4.32043200e-04],[0. 0.],342.34004524577523,349.3425616668647
17,69.7228952985857,"[1.107009916924607, 0.3842969625216793]",[0.01327431 0.0001    ],[ 83.19969887 790.89921888],[0. 0.],143.4457905971714,150.42366604948478
18,154.18684127906974,"[4.0255345703689605, 0.4355995411135562]",[0.00978767 0.02402049],[126.22043729  19.42094885],[0. 0.],312.3736825581395,319.3843456300042
19,170.22413576625476,"[0.9526092567016411, 0.6561503137526685]",[0.05074187 0.9999    ],[8.90232039e-01 4.01120316e-12],[0. 0.],344.4482715325095,351.45893460437424
20,173.04638706064887,"[3.699276163333015, 0.3556299390327154]",[0.00332201 0.0234839 ],[92.69275915 38.70123116],[0. 0.],350.09277412129774,357.1356959570222
21,114.41924812433015,"[4.514281749752808, 0.03383996855737177]",[0.03546619 0.07066478],[ 9.53246571 38.40729848],[0. 0.],232.8384962486603,239.84915932052502
22,45.585447189132715,"[1.3878937560086075, 0.786053150884547]",[0.15554301 0.22038317],[3.45030857e-06 1.81488882e+01],[0. 0.],95.17089437826543,102.1487698305788
23,168.1776437497572,"[0.08437458294405935, 0.979004611193515]",[0.06291481 0.9999    ],[4.13165225e-16 2.10014203e+00],[0. 0.],340.3552874995144,347.3496239501008
24,161.2312683995769,"[1.2542832359192926, 0.9419754173239094]",[0.13870631 0.9999    ],[3.75075004e-08 1.90020102e+00],[0. 0.],326.4625367991538,333.44041225146714
25,83.31325119323736,"[0.05126055974342398, 0.01082214902159392]",[0.03590868 0.05711082],[ 2.64182283 66.84471214],[0. 0.],170.62650238647473,177.62083883706114
26,149.45809190960924,"[0.9400300969763268, 0.7775229555261737]",[0.21488239 0.9999    ],[1.48094329e-20 4.22041508e+00],[0. 0.],302.9161838192185,309.90230670589955
27,150.15402768695733,"[4.886319279798012, 0.42706103522317557]",[0.00469548 0.0001    ],[590.58204372 182.54222103],[0. 0.],304.30805537391467,311.30239182450106
28,150.96338015477164,"[1.804950155197282, 0.9512347532436957]",[0.21834777 0.9999    ],[3.75123823e-08 1.90020102e+00],[0. 0.],305.9267603095433,312.937423381408
29,166.35532294001806,"[1.1203698465940866, 0.7221763574154785]",[1.00000000e-04 2.83756429e-01],[ 0.62034436 13.01626095],[0. 0.],336.7106458800361,343.66357298389914
30,165.49466291362918,"[0.8626440153385287, 0.8768066634805536]",[0.00483358 0.01843305],[132.41754274  41.593642  ],[0. 0.],334.98932582725837,341.98366227784476
31,120.95834111974793,"[2.0837325841745606, 0.9076491564056385]",[0.00811673 0.00795762],[ 38.5030797  348.15570319],[0. 0.],245.91668223949586,252.8528025217661
32,156.0804653969633,"[3.837018013891465, 0.5879780395180143]",[0.10410633 0.27643432],[9.30753544 2.10757088],[0. 0.],316.1609307939266,323.16344721501605
33,75.07494969898882,"[1.6381350378388533, 0.20478801536089003]",[0.22932727 0.37759154],[1.11041371e+01 1.35905788e-06],[0. 0.],154.14989939797763,161.14423584856405
34,103.39612796661356,"[3.5355342927430717, 0.1944248181899336]",[0.10419531 0.21074461],[ 2.38971372 15.2376087 ],[0. 0.],210.79225593322712,217.7701313855405
35,161.89652484860991,"[2.4067694675211513, 0.09137401662468457]",[0.01988632 0.00370587],[219.50158343 211.75929323],[0. 0.],327.79304969721983,334.8118263704758
36,120.78702018184372,"[0.5473567763296018, 0.6625077468137368]",[0.04101087 0.02637052],[26.17712911 58.78866928],[0. 0.],245.57404036368743,252.61696219941192
37,158.07218290689858,"[3.6664351101988997, 0.35201469680479885]",[0.14855578 0.9999    ],[4.60038708e+00 2.06080514e-12],[0. 0.],320.14436581379715,327.1056436604811
38,164.20485292104954,"[0.7762494679202196, 0.19433628212522366]",[0.10561782 0.9999    ],[2.22000002e+00 4.60046000e-04],[0. 0.],332.4097058420991,339.3875812944124
39,64.24394753668552,"[2.342414529841808, 0.12396075103683396]",[0.10431801 0.14258863],[ 2.28762822 24.07238311],[0. 0.],132.48789507337105,139.38136981670368
40,94.50060542304033,"[1.056613130610784, 0.3899529613680991]",[0.00791597 0.00366351],[560.70666872  45.4783653 ],[0. 0.],193.00121084608065,200.01187391794537
41,151.55472506135277,"[3.262416119142424, 0.715257418118509]",[0.18854485 0.9999    ],[3.75048809e+00 1.87132344e-24],[0. 0.],307.10945012270554,314.07904398968685
42,167.77798171621893,"[4.338003485730634, 0.30423176221891224]",[0.00108935 0.0001    ],[534.97866441 212.68282459],[0. 0.],339.55596343243786,346.54208631911894
43,170.89776535412864,"[2.6995669443628363, 0.29248403020369607]",[0.02987857 0.9999    ],[1.90020104e+00 4.88192433e-12],[0. 0.],345.7955307082573,352.806193780122
44,160.91781817459204,"[2.592161413679348, 0.24713818337824373]",[0.1572927 0.9999   ],[2.32039403e-04 3.72000000e+00],[0. 0.],325.8356363491841,332.83815277027355
45,164.5089198292774,"[2.1779974517659824, 0.37915951281493443]",[0.12868307 0.9999    ],[4.11121820e-08 1.48027403e+00],[0. 0.],333.0178396585548,340.0285027304195
46,71.87376968878465,"[1.8852337299752608, 0.45720231712773485]",[0.09303864 0.06558736],[ 4.69172728 28.30507188],[0. 0.],147.7475393775693,154.7824451704987
47,135.58588024998363,"[1.7237959187123624, 0.415681550234735]",[0.02029695 0.04491113],[ 7.67199101 75.83801654],[0. 0.],275.17176049996726,282.1496359522806
48,73.97362784591172,"[0.3781236937438452, 0.6657420514886527]",[0.02357479 0.02843999],[  2.75983039 134.82898059],[0. 0.],151.94725569182344,158.9660323650794
49,167.97352276565502,"[4.024151939689637, 0.21383607699818447]",[0.09011797 0.89593304],[5.40541828e-05 2.58981127e+00],[0. 0.],339.94704553131004,346.965822204566
50,110.45154132581071,"[3.045752032592786, 0.13270578926233595]",[0.11004933 0.21854548],[19.43996314  0.15080926],[0. 0.],224.90308265162142,231.84762399896437
51,58.85175725073547,"[2.73598672874784, 0.4726184453843252]",[0.07525213 0.10825827],[ 0.41888495 35.9344491 ],[0. 0.],121.70351450147093,128.7303719938009
52,170.511943343741,"[1.083774570185494, 0.8620882156558111]",[0.04373812 0.96878498],[6.12022719e-05 3.02837963e+00],[0. 0.],345.023886687482,352.0345497593467
53,167.72634575250848,"[2.7027917015369214, 0.6330799421657431]",[0.04142476 0.83879453],[0.08704257 4.64558502],[0. 0.],339.45269150501696,346.4305669573303
54,168.15244363612257,"[0.9951487577817554, 0.9449124762243701]",[0.06929287 0.78947706],[4.10014867 0.50257256],[0. 0.],340.30488727224514,347.3074036933346
55,161.36635948276523,"[2.839653349199703, 0.05987053637936954]",[0.05104476 0.19971742],[12.74943309  3.52531205],[0. 0.],326.73271896553047,333.73523538661993
56,161.23599605975352,"[1.2387353227366982, 0.5396243237792889]",[0.00224364 0.0001    ],[179.81642137 596.57205202],[0. 0.],326.47199211950704,333.4663285700934
57,101.0101702271473,"[0.7412277415373454, 0.7431631223184171]",[0.11143648 0.20791321],[ 0.13501428 19.06035741],[0. 0.],206.0203404542946,212.9899343212759
58,161.07384497700133,"[3.3677470987526137, 0.24958108378289123]",[0.00209768 0.00354944],[376.74241299 130.63635845],[0. 0.],326.14768995400266,333.0753535640539
59,168.79004030158666,"[4.233789242762683, 0.6260952264511466]",[0.05119788 0.9999    ],[3.79000000e+00 1.78038004e-04],[0. 0.],341.5800806031733,348.5744170537597
60,173.19853931733007,"[2.2595407431208807, 0.05345080199367019]",[0.04593433 0.9999    ],[2.12017202e+00 4.32086404e-08],[0. 0.],350.39707863466015,357.44000047038463
61,68.49159141176904,"[1.63433528275155, 0.18129043770649744]",[0.06738425 0.10155602],[ 0.30655098 38.73981093],[0. 0.],140.98318282353807,147.98569924462754
62,167.1527051982553,"[3.026304385755419, 0.1206712718779619]",[0.0021554 0.0001   ],[520.25135475 216.74811726],[0. 0.],338.3054103965106,345.30792681760005
63,171.20915380666688,"[0.732909088267408, 0.0984532849263096]",[0.04335975 0.9999    ],[2.05079013e-12 3.72040808e+00],[0. 0.],346.41830761333375,353.4370842865897
64,82.17362447823571,"[0.6033846034646512, 0.44373227816566196]",[0.01436873 0.01434144],[257.03596631   6.85598513],[0. 0.],168.34724895647142,175.34158540705783
65,166.9052477268668,"[0.9256520936395488, 0.8792510403335442]",[0.02053238 0.89670327],[2.50735374e-03 5.04244454e+00],[0. 0.],337.8104954537336,344.7717733004176
66,154.47834327037714,"[2.4363130806086617, 0.713888802505892]",[0.19017959 0.9999    ],[2.05017505e+00 3.97198844e-16],[0. 0.],312.9566865407543,319.95920296184374
67,152.69935501634674,"[2.9380895960827957, 0.7142519584096949]",[0.20337957 0.86123301],[0.57125045 1.87371175],[0. 0.],309.3987100326935,316.37658548500684
68,116.49349333302804,"[0.8990743400363274, 0.8309237170610339]",[0.09391614 0.1924994 ],[20.66800387  0.20612483],[0. 0.],236.98698666605608,243.98950308714555
69,112.22117740875365,"[1.9512207500911618, 0.7824713249643405]",[0.04284639 0.08190772],[ 2.39933613 44.41124729],[0. 0.],228.4423548175073,235.46113149076325
70,45.07498992958046,"[2.866782448780173, 0.7876273618981007]",[0.11125653 0.14778952],[7.74043263e-04 2.75043047e+01],[0. 0.],94.14997985916092,101.12785531147429
71,163.82427927645986,"[0.6751921145095408, 0.017928278107339067]",[0.07769205 0.9107326 ],[4.39611682e+00 1.66872211e-04],[0. 0.],331.6485585529197,338.60148565678276
72,93.05589329921457,"[2.684423196893245, 0.5878602570958387]",[0.01471262 0.01426084],[251.94601671  10.17244153],[0. 0.],190.11178659842915,197.08138046541046
73,164.32917672608284,"[3.8829934048922454, 0.23825416177290065]",[0.10895666 0.9999    ],[2.11019602e+00 4.11082208e-08],[0. 0.],332.65835345216567,339.64447633884674
74,153.45346393481418,"[3.4832798952483417, 0.40665795333932525]",[0.01662766 0.04705369],[66.95483828  8.11110288],[0. 0.],310.90692786962836,317.90126432021475
75,163.8228293880763,"[3.654450300564221, 0.13368006965129944]",[0.00223632 0.0001    ],[206.88688645 554.79700618],[0. 0.],331.6456587761526,338.63178166283365
76,168.4626590865523,"[1.986748186638634, 0.8062495130964475]",[0.04490017 0.33308884],[4.0271228  2.45320737],[0. 0.],340.9253181731046,347.9359812449693
77,53.5298265478249,"[4.456770979559584, 0.5764618958870946]",[0.01455997 0.00887257],[385.53102553   6.89911767],[0. 0.],111.0596530956498,118.07031616751452
78,167.62197697531852,"[2.4947756336079387, 0.7240153434467669]",[0.01348358 0.40828297],[3.18865811 3.34010644],[0. 0.],339.24395395063704,346.21354781761835
79,147.50545004021814,"[3.774204184130088, 0.6149396907823499]",[0.10253102 0.3321653 ],[2.50478417 7.54108806],[0. 0.],299.0109000804363,306.00523653102266
80,67.17137186288095,"[2.1489545900372122, 0.23207524074936806]",[0.06861826 0.08965594],[44.45619964  0.17075753],[0. 0.],138.3427437257619,145.32061917807528
81,170.90570355111285,"[1.470120079895195, 0.2086788439838456]",[0.04169495 0.62200988],[2.39241282e-03 3.12408109e+00],[0. 0.],345.8114071022257,352.83018377548166
82,83.45621463450128,"[1.9939236383321295, 0.7436343559600747]",[0.08168323 0.14227231],[ 0.85915163 27.32692473],[0. 0.],170.91242926900256,177.89030472131594
83,166.84649821515075,"[0.04455543047401632, 0.0745585013488553]",[0.06711274 0.9999    ],[1.95020702e+00 4.07081404e-08],[0. 0.],337.6929964303015,344.67087188261485
