participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,88.70737491796136,"[4.021165564510057, 0.7517119413219867]",[1.92395171 0.00318551],[0.53850851 1.14966742],[0. 0.],181.41474983592272,188.40908628650914
2,101.83692063787768,"[2.6915583629067035, 0.3469541989136569]",[1.10672245 0.04265649],[0.90134233 1.82305839],[0. 0.],207.67384127575536,214.63511912243933
3,165.99171135901878,"[2.1543167890855894, 0.6675638906384093]",[3.49220358e+00 1.00000000e-04],[0.51154683 0.50093879],[0. 0.],335.98342271803756,342.9612981703509
4,171.09023114269286,"[0.21982217946055746, 0.42930368273717895]",[0.07534654 0.56321722],[0.3290042  1.78140221],[0. 0.],346.1804622853857,353.1911253572504
5,110.20339933190675,"[0.24012422146649767, 0.7895509389522724]",[1.16950322 0.02715969],[0.74130372 1.52104452],[0. 0.],224.4067986638135,231.3929215504946
6,167.7411738015892,"[1.2223395666482944, 0.06673525823882387]",[5.75448815e-01 1.00000000e-04],[0.5140201  0.50672281],[0. 0.],339.4823476031784,346.45194147015974
7,159.48075782449465,"[4.133631105135845, 0.20101723042676117]",[4.603161e+00 1.000000e-04],[0.51340302 0.50293913],[0. 0.],322.9615156489893,329.98837314131924
8,168.13309457166284,"[1.526398628100001, 0.2652965356592713]",[0.11344708 0.85739879],[0.42030427 1.88872418],[0. 0.],340.2661891433257,347.25231203000675
9,170.51262723707066,"[0.30677371080376853, 0.27032202205222333]",[0.00627384 0.9999    ],[0.57104389 0.51610275],[0. 0.],345.0252544741413,352.0277708952308
10,167.00841031818317,"[1.0311376913972423, 0.981995977067909]",[0.29923612 0.17270346],[2.02756674 0.91402485],[0. 0.],338.01682063636633,345.02748370823105
11,164.4317741252184,"[0.916154278396515, 0.25625560956038096]",[4.99990000e+00 1.66952336e-04],[0.51012883 0.51253724],[0. 0.],332.8635482504368,339.8984540433662
12,161.97758713596494,"[0.21263766617276267, 0.467654141045307]",[0.79198652 0.0135498 ],[0.59810436 1.17920724],[0. 0.],327.9551742719299,334.95769069301934
13,169.04569214625778,"[1.6667566313036764, 0.5601258330889841]",[0.63742855 0.00191555],[0.52678126 0.61901275],[0. 0.],342.09138429251556,349.07750717919663
14,161.0191769095944,"[4.225171757427717, 0.3382780147354258]",[3.50393202e+00 1.00000000e-04],[0.50419375 0.49937566],[0. 0.],326.0383538191888,332.9318285625214
15,168.47772330693493,"[3.384666011920168, 0.26865166013844566]",[0.17435744 0.9999    ],[1.21030258 1.21498297],[0. 0.],340.95544661386987,347.94978306445626
16,168.7012311224973,"[0.7001865997874146, 0.2968357363228711]",[0.17251927 0.96320421],[0.48649989 0.87425052],[0. 0.],341.4024622449946,348.40497866608405
17,72.13844314252347,"[4.90674224020444, 0.40298845384571486]",[4.9999000e+00 1.3780558e-04],[0.50114662 0.52975536],[0. 0.],148.27688628504694,155.25476173736033
18,152.3918867793702,"[2.5123809626652456, 0.23728746975172088]",[0.89241558 0.0928979 ],[1.43541117 0.761584  ],[0. 0.],308.7837735587404,315.7944366306051
19,171.09326210620992,"[0.18890783633797065, 0.6731564481658412]",[0.06195746 0.9999    ],[0.08374975 0.99364453],[0. 0.],346.18652421241984,353.19718728428455
20,172.6977943387735,"[1.4830535388118398, 0.07235397245427212]",[0.33673499 0.10690115],[0.81430686 0.53128812],[0. 0.],349.395588677547,356.43851051327147
21,116.44048604117833,"[2.200397917881661, 0.34782093721235674]",[0.84212158 0.04203193],[0.80832945 1.88562203],[0. 0.],236.88097208235666,243.89163515422138
22,46.90419421905361,"[4.283297207515702, 0.4983928728110597]",[1.25967029 0.11713974],[0.85352146 1.83616737],[0. 0.],97.80838843810722,104.78626389042059
23,168.18231735229912,"[1.3225563978668282, 0.09478449496889992]",[1.45992677e+00 1.17719000e-03],[0.62967006 0.50944682],[0. 0.],340.36463470459825,347.35897115518463
24,168.43476954513744,"[1.2862019091986336, 0.12589271181841627]",[0.0001 0.0001],[0.50838697 0.50481364],[0. 0.],340.8695390902749,347.84741454258824
25,82.45421848378679,"[1.2913161816475651, 0.29015468393004684]",[1.07759727 0.04927065],[0.69151963 1.94269112],[0. 0.],168.90843696757358,175.90277341816
26,168.3833666090411,"[2.8942723742590366, 0.6321635746177615]",[0.09429213 0.9999    ],[0.73162758 0.82889354],[0. 0.],340.7667332180822,347.7528561047633
27,150.80427686030765,"[1.3127779149603882, 0.2692877763519943]",[4.39318302e+00 1.00000000e-04],[0.5171151  0.50302697],[0. 0.],305.6085537206153,312.6028901712017
28,171.17891867411865,"[4.5904936524054225, 0.9063799088698237]",[0.01770646 0.9999    ],[1.13707573 0.71944273],[0. 0.],346.3578373482373,353.368500420102
29,166.35532529092768,"[2.208728861721719, 0.29287139449823385]",[0.0001 0.0001],[0.50192103 0.50939848],[0. 0.],336.71065058185536,343.6635776857184
30,165.249355540133,"[0.3397037800091889, 0.63329379531604]",[0.46243113 0.03256824],[1.31426986 0.72188407],[0. 0.],334.498711080266,341.4930475308524
31,120.3610153301774,"[1.8793344251378092, 0.4484765043980489]",[1.48775235 0.00496133],[0.56713386 1.2591153 ],[0. 0.],244.7220306603548,251.65815094262504
