participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,88.10417920592312,"[2.0815604773919403, 0.031872441312400496, 3.0752522701073417]",[4.99990000e+00 1.42484493e-04 2.69927908e-01],[1.0879983  1.10737989],[0. 0.],182.20835841184623,192.69986308772584
2,102.45381730465752,"[3.9667738510337687, 0.5354034322919663, 12.141578542219378]",[  0.69538683   0.0174009  -14.31443216],[3.63745912 5.93586846],[0. 0.],210.90763460931504,221.34955137934102
3,163.95921677240037,"[0.11229067042685051, 0.645043261751351, 3.775901015929662]",[ 0.81831269  0.01508056 -2.07662773],[2.48981585 2.09232813],[0. 0.],333.91843354480073,344.3852467232708
4,169.8438290689458,"[1.374563149913016, 0.38012985651140574, -26.528988650047225]",[0.3105211  0.40075368 1.81556617],[0.47075818 0.06970774],[0. 0.],345.6876581378916,356.2036527456887
5,104.99044183429815,"[1.9055339549028214, 0.5011414190020049, 23.981512409375625]",[1.38464012 0.06572133 3.05920737],[0.47250846 0.8149037 ],[0. 0.],215.9808836685963,226.46006799861794
6,166.46834328894977,"[0.7546828068080952, 0.5228627179387347, 24.295897296976435]",[0.10092914 0.34287706 2.57529476],[0.97854721 0.65295047],[0. 0.],338.93668657789954,349.3910773783715
7,149.76709396763732,"[2.783780732976546, 0.010831101355070191, 20.612419146687856]",[2.54655283 0.01240516 1.06743937],[0.85367335 0.61843825],[0. 0.],305.53418793527464,316.0744741737696
8,166.45095315494115,"[2.056038533554986, 0.6690531350070367, -33.1785534524947]",[ 4.43764730e-03  3.17495991e-01 -1.00000000e+02],[11.90733709 98.13387257],[0. 0.],338.9019063098823,349.38109063990396
9,166.3722771930951,"[1.0926482624387004, 0.7173036301314399, 15.805630919140796]",[ 3.49829655e+00  1.54701295e-04 -9.01474967e+00],[15.20931324 15.20843008],[0. 0.],338.7445543861902,349.2483290178244
10,164.86191738985866,"[3.4726446307903287, 0.10055434390125728, 12.585101128539236]",[  0.03566566   0.13219989 -30.12802355],[12.7336973   4.76297571],[0. 0.],335.7238347797173,346.2398293875144
11,133.62731452752075,"[3.9867421828028213, 0.8796304912669693, 48.97858796653247]",[1.87982274 0.01664936 1.14762007],[0.62424985 0.7496342 ],[0. 0.],273.2546290550415,283.8069877444356
12,160.7761972997927,"[1.9325297281973455, 0.03782921206327816, 5.170118419392196]",[ 2.59974035e-02  3.02849430e-02 -1.00000000e+02],[ 8.57681162 45.54644581],[0. 0.],327.5523945995854,338.0561692312196
13,167.11596380157175,"[3.297409607866316, 0.5546708322598259, 15.329531915472444]",[0.17003061 0.9999     0.46488609],[-0.01436097  2.41231059],[0. 0.],340.2319276031435,350.71111193316517
14,158.29037402522735,"[3.620613537507023, 0.4242920813601052, -27.853362431744586]",[ 2.72971432e-02  6.62444179e-02 -1.00000000e+02],[17.60325783  4.79721115],[0. 0.],322.5807480504547,332.9209601654536
15,167.82895220043528,"[1.5789386065702127, 0.14742319474379262, -22.447682001588106]",[0.01223675 0.9999     9.21223859],[-0.5969761   0.72836609],[0. 0.],341.65790440087056,352.14940907675015
16,168.2919866273894,"[3.0400923823031465, 0.9799030930038813, 12.298360456171253]",[ 0.0835097   0.28156058 -2.81549027],[0.79952871 1.31574843],[0. 0.],342.5839732547788,353.087747886413
17,69.14819981997256,"[1.5228754219324967, 0.8840878231502044, -44.22003265095886]",[4.99990000e+00 2.80971944e-04 5.93128556e-01],[0.64723052 0.68281084],[0. 0.],144.29639963994512,154.76321281841518
18,152.0884998680623,"[1.3400102344798874, 0.668783238906596, 18.05211735198948]",[ 0.62892553  0.02601145 -1.08809065],[1.73280762 0.864955  ],[0. 0.],310.1769997361246,320.6929943439217
19,169.3547068144678,"[1.9508733375783514, 0.061850234194294376, 17.71625428377652]",[ 3.20366069e-03  9.99900000e-01 -1.00000000e+02],[ 4.29770771 13.62489717],[0. 0.],344.7094136289356,355.2254082367327
20,171.58822898035848,"[0.48374873512677374, 0.6438991549227155, -26.910812078220786]",[0.88173591 0.07938453 2.57289838],[0.5573625  0.35214238],[0. 0.],349.17645796071696,359.7408407143037
21,113.58249830065708,"[4.017251429681347, 0.7875877866468362, -32.66448550775975]",[1.1011349  0.08382985 1.67339694],[0.76238096 1.06203309],[0. 0.],233.16499660131416,243.68099120911126
