participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,89.15426300859083,"[1.3271725465217852, 0.6214076844158595]",[1.01410898 0.0059665 ],[0.83037825 2.94096427],[0. 0.],182.30852601718166,189.30286246776808
2,100.79565777510746,"[2.7134155086532172, 0.13479434173837918]",[0.5489271  0.04086216],[1.68162772 4.02168999],[0. 0.],205.59131555021492,212.55259339689889
3,166.00007759287402,"[1.6363145738157543, 0.613932255415953]",[2.69148441e+00 1.00000000e-04],[0.54622836 0.51613922],[0. 0.],336.00015518574804,342.9780306380614
4,171.1999702134442,"[0.014677402200089383, 0.1881903093667264]",[0.00737126 0.20624551],[2.01088473 3.87726758],[0. 0.],346.3999404268884,353.4106034987531
5,110.35376184874991,"[1.3070043835953924, 0.8987089547240963]",[0.59718743 0.03621262],[1.80225489 4.00448365],[0. 0.],224.70752369749982,231.69364658418093
6,167.73604632134695,"[0.049545157511939907, 0.21357878652741025]",[6.74601091e-01 1.00000000e-04],[0.54137405 0.51798954],[0. 0.],339.4720926426939,346.4416865096752
7,158.77690397965176,"[3.1079856653249647, 0.15048076804196112]",[3.62642725e+00 1.00000000e-04],[0.54930053 0.51581446],[0. 0.],321.5538079593035,328.5806654516335
8,168.88361090431872,"[0.0846295125723191, 0.39045457763064495]",[0.03964019 0.99527476],[1.94028486 4.05391561],[0. 0.],341.76722180863743,348.7533446953185
9,170.5142284466718,"[0.3596696589162484, 0.34235261773878617]",[0.0001 0.0001],[0.51917888 0.54001314],[0. 0.],345.0284568933436,352.0309733144331
10,167.04931097092899,"[2.0664117379592426, 0.9273775973488418]",[0.15361047 0.19097185],[4.05002688 2.02174039],[0. 0.],338.09862194185797,345.1092850137227
11,151.3937335698258,"[0.9498019444955005, 0.169162411786265]",[3.10729124e+00 5.09523051e-04],[0.59644206 0.64098878],[0. 0.],306.7874671396516,313.822372932581
12,159.81804333408772,"[2.040674752810794, 0.570867581904393]",[0.23862007 0.9999    ],[2.149982 4.31993 ],[0. 0.],323.63608666817544,330.6386030892649
13,169.08713881350232,"[2.1887979389487096, 0.029380896710029965]",[1.24526333e+00 1.00000000e-04],[0.5184075  0.54196101],[0. 0.],342.17427762700464,349.1604005136857
14,160.11419923576966,"[0.9627340733756428, 0.10711944881868236]",[0.09834445 0.16711963],[4.01355728 2.21105025],[0. 0.],324.2283984715393,331.1218732148719
15,169.76513761589436,"[1.1494985860394502, 0.8912856086115551]",[0.02046192 0.06596438],[3.7570515  1.98923955],[0. 0.],343.5302752317887,350.5246116823751
16,169.5114908901236,"[1.9482359388881398, 0.18435075637316298]",[0.08161625 0.25221373],[1.92883741 4.21443154],[0. 0.],343.0229817802472,350.0254982013367
17,69.93625634826428,"[4.166797263597731, 0.05618450355961581]",[4.59532518e+00 1.00000000e-04],[0.50632665 0.56917903],[0. 0.],143.87251269652856,150.85038814884194
18,153.23079740673367,"[4.350547040188287, 0.36160105012933474]",[0.33118404 0.07903465],[4.00981865 1.953145  ],[0. 0.],310.46159481346734,317.47225788533206
19,171.20736449866013,"[3.383489240917974, 0.46341274166625096]",[0.0001 0.0001],[0.51936016 0.54058835],[0. 0.],346.41472899732025,353.42539206918497
20,172.52809529541662,"[0.9924999563013204, 0.742606872989055]",[0.09946174 0.16760056],[3.99790819 2.03208795],[0. 0.],349.05619059083324,356.0991124265577
21,114.23057708453024,"[0.48225950733406137, 0.30244260150903285]",[0.52966951 0.05711775],[1.93158538 4.01945905],[0. 0.],232.46115416906048,239.4718172409252
22,47.78869061112024,"[0.9102675212206108, 0.24786977970598487]",[0.68491151 0.07696379],[1.47127429 3.96570377],[0. 0.],99.57738122224048,106.55525667455385
23,168.09849765990498,"[0.830196182952508, 0.6662902780507962]",[0.11169649 0.16686405],[4.03061096 1.81874339],[0. 0.],340.19699531980996,347.19133177039635
24,168.43478604778713,"[4.055775731971302, 0.1052612235593211]",[0.0001 0.0001],[0.53646133 0.5202866 ],[0. 0.],340.86957209557426,347.8474475478876
25,81.68859344043695,"[4.045399898571714, 0.08836603644783793]",[0.61919623 0.05525086],[1.70784807 4.10357616],[0. 0.],167.3771868808739,174.3715233314603
26,168.9789831227888,"[2.93986257816791, 0.07672390378625883]",[1.57039137e+00 1.00000000e-04],[0.51696424 0.54419479],[0. 0.],341.9579662455776,348.9440891322587
27,150.37039290358203,"[1.670027958456488, 0.4302867065706052]",[3.62871663e+00 1.00000000e-04],[0.5517812  0.51367405],[0. 0.],304.74078580716406,311.73512225775045
28,170.64421918040446,"[0.0194848538100202, 0.9607718210584525]",[0.06029916 0.9999    ],[3.75011301 1.900011  ],[0. 0.],345.2884383608089,352.29910143267364
29,166.3553275887048,"[3.448009594464449, 0.7681615793304549]",[0.0001 0.0001],[0.51868657 0.5390888 ],[0. 0.],336.7106551774096,343.6635822812726
30,164.82829968947942,"[1.0304769714808053, 0.3414308472981827]",[0.18276441 0.05678101],[4.01768929 2.01926434],[0. 0.],333.65659937895884,340.65093582954523
31,120.77592772018782,"[2.7150436598201106, 0.7738642002982119]",[0.88595717 0.00516576],[0.89604943 2.57782356],[0. 0.],245.55185544037565,252.4879757226459
32,170.51422215364877,"[2.6776694658132136, 0.8943234584695375]",[0.0001 0.0001],[0.53052851 0.52300881],[0. 0.],345.02844430729755,352.030960728387
33,92.10063281434192,"[2.147702847774862, 0.5822215742276697]",[0.74676612 0.06144182],[4.11042297 1.9461424 ],[0. 0.],188.20126562868384,195.19560207927026
34,104.93918385360006,"[2.721994960899407, 0.8182760858048068]",[0.57627878 0.22183322],[1.99268586 4.33102371],[0. 0.],213.8783677072001,220.8562431595135
35,167.47467316434995,"[3.7779887951939584, 0.47601105136176314]",[4.99990000e+00 1.44256984e-04],[0.53642786 0.53890423],[0. 0.],338.9493463286999,345.96812300195586
36,121.5047524397327,"[1.5253988698332224, 0.5846114948619314]",[1.70473493 0.00769909],[1.45368763 1.645646  ],[0. 0.],247.0095048794654,254.05242671518988
37,166.7413696665189,"[1.5177914980185843, 0.5133915249537906]",[0.04551725 0.9999    ],[4.59992699 2.059981  ],[0. 0.],337.4827393330378,344.44401717972175
38,168.4347869892627,"[2.8984005531127552, 0.4032502704182203]",[0.0001 0.0001],[0.51944614 0.53852171],[0. 0.],340.8695739785254,347.84744943083876
39,67.64202764800706,"[0.5332369550714708, 0.036108019795404726]",[0.8177773  0.02843862],[1.47271055 3.99161601],[0. 0.],139.28405529601412,146.17753003934675
40,94.27880930426258,"[0.7210974170331154, 0.2239838016270215]",[1.17592956 0.00371817],[2.3596395 0.7262525],[0. 0.],192.55761860852516,199.56828168038987
