participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,85.56287183844017,"[2.488172946321433, 0.02014205834049393, 23.6745260848165, 0.19459483279961168]",[ 0.31884274  0.66361604 23.67452608  0.9999    ],[2.48528511e-27 6.14705192e+00],"[np.float64(-4.451019625166292e-28), np.float64(-0.4754576674296994)]",179.12574367688035,193.11441657805315
2,98.62920581953091,"[3.4189082310393197, 0.8649651352873439, 7.176672159515238, 0.6603492571265174]",[0.21056193 0.32367244 7.17667216 0.84460697],[ 0.06662355 12.55705264],"[np.float64(-0.01151405599888385), np.float64(-1.856257867991182)]",205.25841163906182,219.1809673324298
3,165.3301942320437,"[4.876630254906121, 0.7848352024535201, 18.17203751940014, 0.7455027011912555]",[1.64461218e-03 1.00000000e-04 1.81720375e+01 9.99900000e-01],[526.30784722 217.18830762],"[np.float64(-42.92300257894151), np.float64(-35.04593593561634)]",338.6603884640874,352.6161393687142
4,169.06242078711412,"[1.1387137697698102, 0.06616002489053656, 3.54612899315668, 0.452999972711333]",[4.40662755e-01 6.64346046e-01 3.54612899e+00 1.00000000e-04],[0.21545731 4.56821413],"[np.float64(-0.03126205421505614), np.float64(-0.2718964700161189)]",346.12484157422824,360.14616771795767
5,106.15672983729453,"[0.2831838432157726, 0.15854369226970016, 23.01396280466185, 0.6505029117737329]",[ 0.07397685  0.09802083 23.0139628   0.83886868],[ 6.15283596 29.61807615],"[np.float64(-1.0505232786289151), np.float64(-3.127789233391684)]",220.31345967458907,234.28570544795127
6,143.11186867124837,"[2.003041239734882, 0.9705652406658131, 17.021480772531156, 0.3016024727569822]",[ 0.55831955  0.9999     17.02148077  0.39569798],[3.94042204e+00 1.87020000e-12],"[np.float64(-0.313405826846971), np.float64(-3.318495194467726e-13)]",294.22373734249675,308.1629250764594
7,124.45557243748769,"[4.595226374064501, 0.7199404993470487, 10.484128723162426, 0.9752829432100347]",[ 0.52562881  0.15081238 10.48412872  0.21295387],[23.48587095  1.50108718],"[np.float64(-2.4800476834471556), np.float64(-0.11498109662826395)]",256.9111448749754,270.9648598596353
8,153.62418565505615,"[0.8018211774903208, 0.6804553693966888, 16.025955416447378, 0.2697983444556673]",[ 0.59840481  0.9999     16.02595542  0.20181458],[1.94000000e-04 4.05000005e+00],"[np.float64(-3.6710719530098744e-05), np.float64(-0.19116804398244674)]",315.2483713101123,329.2206170834745
9,169.02206214739738,"[3.7070430010778157, 0.6343838400492897, 9.047746714911904, 0.3009987547406377]",[3.12898427e-01 7.32206751e-01 9.04774671e+00 1.00000000e-04],[2.35337091 0.02135041],"[np.float64(-0.5186942753987113), np.float64(-0.0007960287824266345)]",346.04412429479476,360.0491571369737
10,167.18334966523054,"[4.713250821038454, 0.692295780543976, 3.271069685190642, 0.6691562959626575]",[0.04813502 0.03201491 3.27106969 0.16843702],[75.01707342 25.16388063],"[np.float64(-8.665382564787803), np.float64(-4.855182882472281)]",342.3666993304611,356.3880254741905
