participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,85.65867734125048,"[4.176650554580764, 0.34514357762437325, 5.441348412936605, 0.0876838896100059]",[0.32043984 0.66673803 0.3        0.9999    ],[1.45733701e-27 6.12196246e+00],[1.61560117 3.57144447],179.31735468250096,193.30602758367377
2,98.4697238864727,"[4.456933882477563, 0.7017603021361654, 8.540634658571278, 0.12801971535166573]",[0.25338001 0.32506411 0.3        0.82302139],[ 0.06539959 12.50598335],[1.84093853 1.7491796 ],204.9394477729454,218.86200346631338
3,166.03481145234372,"[2.0537205826168887, 0.22427489331361602, 23.697689800221433, 0.5803554138302683]",[1.60871528e-03 1.00000000e-04 3.00000000e-01 9.99900000e-01],[526.79589186 213.96684201],[0.34920846 0.3469895 ],340.06962290468744,354.0253738093142
4,168.52752820637653,"[3.9568463113423706, 0.32790665152077314, 9.033246169408653, 0.7565420576122701]",[1.90909941 0.00197835 0.3        0.1623307 ],[195.07428651 386.78968854],[1.36196291 1.38250058],345.05505641275306,359.0763825564825
5,105.81110579205412,"[2.6812351000380574, 0.5639909184735359, 3.3666929642712096, 0.11991975577487514]",[2.16116277 0.01717538 3.1534128  0.1695075 ],[ 19.70080131 190.80724636],[3.17640636 3.01734905],219.62221158410824,233.59445735747045
6,144.6175865115343,"[0.6027278080210844, 0.8951706456696146, 11.391632137087, 0.6194515793331016]",[0.29854711 0.9999     4.08362217 0.82701765],[3.94042204e+00 1.87020000e-12],[2.36508261 2.65003639],297.2351730230686,311.17436075703125
7,127.85436181523886,"[2.702536274593248, 0.04458259616831802, 20.24531813199347, 0.49647814712996857]",[0.2078433  0.37664244 0.3        0.89337158],[8.80764742 0.80823527],[3.45910267 2.58681959],263.7087236304777,277.7624386151376
8,155.61041930011285,"[0.5975831871082065, 0.3550867429795297, 3.0770170130730534, 0.3105409600999207]",[ 0.19282678  0.9999     11.39325292  0.92518013],[1.94000000e-04 4.05000005e+00],[5.23074402 2.15805659],319.2208386002257,333.1930843735879
9,170.06049832010336,"[4.0145865776410155, 0.12999367210520768, 7.761199913738728, 0.425133626527572]",[4.80545063 0.02088915 0.3        0.82325142],[58.30805633 75.52611611],[4.20863719 4.12629232],348.1209966402067,362.12602948238566
10,164.79323613856997,"[3.208099652844947, 0.7279899233542567, 15.479180886081053, 0.561370693526853]",[1.7892619  0.00532082 0.3        0.40498735],[324.85193594 110.68912669],[1.96421047 1.78897762],337.58647227713993,351.60779842086936
