participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,82.77304250755033,"[2.8515142031649896, 0.7425475138924161, 23.59188872081605, 0.870123241926874]",[3.13312199e+00 6.50196435e-04 2.35965303e+01 2.86720675e-01],[3.75309872 3.82034323],[23.0343749  20.99300318],173.54608501510066,187.53475791627346
2,98.15978727750695,"[3.1316704782111238, 0.9437672661833215, 23.410796440037135, 0.8319837256696655]",[3.11917488e+00 4.56985139e-04 2.36067337e+01 3.55851642e-01],[3.91800641 3.95393637],[23.25411377 21.77532832],204.3195745550139,218.24213024838187
3,163.63779539295584,"[4.243571974959151, 0.9702665971119108, 23.749936088958847, 0.573143102955142]",[3.11893198e+00 1.18257887e-04 2.37496688e+01 3.35843514e-01],[3.80271253 3.77718386],[23.442792   23.50086099],335.2755907859117,349.23134169053844
4,167.0487719970877,"[0.8491880296003318, 0.38042118922817, 4.53499276493369, 0.2767768409763804]",[4.99458198e+00 2.52008771e-01 3.00000000e-01 1.00000000e-04],[1.99978367 3.83976241],[4.02675488 5.63510537],342.0975439941754,356.1188701379048
5,103.82117550471175,"[3.726670022222373, 0.02777836008782264, 5.806507583787815, 0.9056673619643542]",[4.72695291e+00 7.33984660e-04 2.59819516e+00 8.45088676e-01],[3.87285455 3.95591457],[2.63643755 2.64681661],215.6423510094235,229.6145967827857
6,166.53086329782704,"[4.238843755505941, 0.11302241792920484, 9.735192403247483, 0.8536112566352249]",[3.95866591e+00 1.42937223e-04 3.00000000e-01 1.17704817e-01],[3.95079335 3.91599835],[0.34354623 0.33613557],341.0617265956541,355.0009143296167
7,154.36708831598028,"[4.6456218377696, 0.6050391110050227, 19.632153091112198, 0.22170659518497915]",[ 4.99782167  0.13304315 19.63305979  0.25752281],[3.99933859 1.98215115],[2.99092833 3.39207523],316.73417663196057,330.78789161662047
8,165.7741452573791,"[4.689519418500661, 0.14684225439870638, 1.1181128138028242, 0.9876775684692529]",[ 0.13739416  0.9999     23.9999      0.05583708],[1.940006 4.050083],[2.72416728 5.23061435],339.5482905147582,353.5205362881204
9,168.58330369598733,"[3.8105624754064102, 0.8687711699364083, 2.2562842554596956, 0.8106054729602507]",[7.20252156e-02 6.39989363e-01 2.39999000e+01 1.00000000e-04],[1.77254845 4.13033961],[3.02102222 6.43380874],345.16660739197465,359.1716402341536
10,165.24701953234407,"[4.533815647538565, 0.8863414863106766, 18.863467734038476, 0.8295801192369083]",[ 4.9999      0.08203593 18.86346773  0.19341565],[4.03322531 2.00112174],[2.73683723 3.41639017],338.49403906468814,352.51536520841756
11,126.03882806611145,"[2.9994701637021843, 0.23268314239952478, 16.26914087386014, 0.8526063591961255]",[3.46207767e+00 2.04280523e-04 1.60171999e+01 2.81946448e-01],[1.97306427 1.95157865],[15.87097665 15.50354005],260.0776561322229,274.1474677180817
12,158.68862867005927,"[4.187032014053545, 0.2559960374202475, 15.509760699508178, 0.8394397441779953]",[ 4.9999     0.1322534 23.9999     0.3003681],[2.0187914  4.09223652],[2.8930236  3.72656971],325.37725734011855,339.3822901822975
13,167.02687242734885,"[3.7954294602292378, 0.5463747396694546, 20.53131097903996, 0.5344980457359026]",[1.52699228e-01 1.31895948e-01 3.00000000e-01 1.00000000e-04],[2.04221886 4.05412336],[4.78451874 4.40784978],342.0537448546977,356.0259906280599
14,159.20961585866598,"[4.077651367432348, 0.5656902406404417, 4.682634695564713, 0.8287255537019127]",[4.97680985e+00 2.02976662e-03 4.68263470e+00 1.18915751e-01],[2.30361634 1.84219635],[5.37444008 5.00207381],326.41923171733197,340.20618120399723
15,166.58337361389408,"[1.5158844711247959, 0.5041009453468536, 1.8778569471887867, 0.07432366403954474]",[4.69550810e+00 2.10574337e-04 3.00000000e-01 3.93848400e-01],[4.04883807 3.99871226],[0.3774247  0.36769039],341.16674722778816,355.155420128961
16,165.37281857132342,"[3.713131489201879, 0.11507855049609415, 0.9320119713078969, 0.9625017012522405]",[2.83252654e+00 2.19129000e-03 3.00000000e-01 3.13780327e-01],[1.95923732 2.4667404 ],[1.03608904 1.09697189],338.74563714264684,352.7506699848258
17,66.72797511967002,"[2.7158157240818794, 0.7322114549447397, 6.582280509499252, 0.3636203904840272]",[1.66256222e+00 1.05897313e-02 4.58052594e+00 1.00000000e-04],[3.25017343 3.99316355],[4.43637683 3.16715739],141.45595023934004,155.41170114396678
18,151.80914583294822,"[2.087914819838688, 0.8994143693290843, 0.7859910082939463, 0.15058023307149537]",[0.95876726 0.02534503 0.3        0.59852458],[3.97046166 1.96285445],[3.222687   2.97440398],311.61829166589644,325.63961780962586
19,169.72894699760548,"[3.6276436817624287, 0.035849431191013956, 11.44333362399138, 0.3485346970790822]",[8.47605387e-02 2.18497635e-01 2.09562512e+01 1.00000000e-04],[1.82532323 4.05312539],[4.85057458 3.52459513],347.45789399521095,361.4792201389404
20,170.6065637377008,"[2.4676490757157064, 0.5466711773306385, 8.780148525441515, 0.9394320483831251]",[4.57825557e+00 1.00000000e-04 8.20222261e-01 4.81645841e-01],[1.97714885 1.95058586],[0.89257084 0.87982614],349.2131274754016,363.2989711468506
21,112.3107330354719,"[2.1328768981706085, 0.6275010007090851, 2.750918309621138, 0.2759138821933762]",[4.99990000e+00 2.00160008e-04 2.05892508e+00 8.08555798e-01],[1.95055806 2.02869167],[2.06141719 2.07134754],232.6214660709438,246.64279221467325
22,41.864892058684255,"[0.752757644970721, 0.9566973639095621, 5.939648920997014, 0.6720024484180183]",[2.84822303e+00 8.14614482e-03 2.39999000e+01 1.47253628e-01],[3.92539954 3.99586348],[22.21450996  5.65699046],91.72978411736851,105.68553502199526
23,164.75381723579034,"[0.37775944271163797, 0.2586359896862975, 13.053173526237725, 0.7425610527685588]",[ 0.18944354  0.22052095 19.97652754  0.44661663],[4.03595344 1.77503882],[5.55037313 5.25186509],337.5076344715807,351.4963073727535
24,165.94615003626075,"[4.864604309171841, 0.8603755729689978, 18.374172911806745, 0.5391339551052672]",[3.34526881e+00 1.03432887e-04 1.83741728e+01 1.00000000e-04],[1.97189087 1.95072086],[18.21004702 18.16305018],339.8923000725215,353.84805097714826
25,79.97046320047052,"[1.3693560527845943, 0.3818544405914436, 1.7982991023763486, 0.9139057489819548]",[4.74698473e+00 5.53262290e-04 2.47172158e+00 9.02020328e-01],[3.77253737 3.82046136],[2.47594419 2.48970418],167.94092640094104,181.92959930211384
26,164.92698276033008,"[4.602473061670354, 0.15000350006023724, 11.049978776940977, 0.6357101362592785]",[ 4.99989608  0.04466474 23.9999      0.03487203],[1.94177584 4.02351301],[3.13564072 2.66797705],337.85396552066015,351.82621129402236
27,148.99433197061774,"[3.0875981086234394, 0.21627450711259452, 2.1800913522074055, 0.17093996762858524]",[3.10252542e+00 2.01560219e-04 2.39998999e+01 7.96121994e-01],[1.86511615 1.80276751],[23.37182084 23.60430698],305.9886639412355,319.9773368424083
28,168.30083494199545,"[3.397336446379767, 0.011492900772049477, 10.643760431474323, 0.9268913714612081]",[4.99990000e+00 2.38543931e-04 3.00000000e-01 3.54742892e-01],[2.00992985 1.95131974],[0.35782626 0.35179729],344.6016698839909,358.6229960277203
29,164.72416129691536,"[4.9359439182950515, 0.9653422171325969, 2.938872088118096, 0.6467171798457702]",[4.97764487e+00 1.01912910e-04 2.95751521e+00 1.00000000e-04],[1.95068439 1.97307871],[2.97353724 2.97303669],337.4483225938307,351.3541768015568
30,163.09190424593882,"[2.7402356387582594, 0.1729029517089531, 19.78357522627909, 0.8412663100828245]",[ 4.99966955  0.02984866 23.9999      0.2540157 ],[4.0046758  2.10570841],[4.16948279 5.14244323],334.18380849187764,348.1724813930505
31,118.87863523206231,"[1.460066590790121, 0.4451396819088061, 1.5252565613521822, 0.3040229008681591]",[1.85007809 0.0239405  3.26278178 0.3136493 ],[1.89995793 3.9706545 ],[3.1157033  2.67164848],245.75727046412462,259.62951102866515
32,158.1191197219901,"[4.838121041473294, 0.05238952032243555, 19.305271421607813, 0.524083019732027]",[3.24243658e+00 6.57197118e-04 2.05592595e+01 3.76529015e-01],[4.11233128 3.90977336],[19.58471414 18.82209024],324.2382394439802,338.24327228615914
33,99.77316341540829,"[1.4435452073110449, 0.14562650023254278, 23.190210565597077, 0.9198422640265851]",[3.13095375e+00 6.66980692e-04 2.32577278e+01 7.58315718e-01],[3.81948749 3.73319911],[20.93063176 22.49085261],207.54632683081658,221.5349997319894
34,101.48002674990371,"[2.1391302836174755, 0.5997367001209613, 0.6363445005013161, 0.3000151237074081]",[3.05416686 0.00612509 2.37337919 0.72902064],[1.96253493 3.40037023],[2.35949014 2.34184752],210.96005349980743,224.91580440443417
35,154.05276440814512,"[0.9320141145113049, 0.029590433567625557, 1.853660202319621, 0.20917740511278188]",[ 2.78129611  0.05737994 23.9999      0.3183814 ],[2.05263411 3.96820714],[4.25936457 4.12417663],316.10552881629025,330.14308216280216
36,111.7249603771721,"[0.32697506426291, 0.8529255334570761, 0.4570826174498823, 0.9140503612487139]",[3.10666927e+00 7.35723947e-03 2.39999000e+01 1.70330238e-01],[2.80621381 2.02670749],[18.35244971  7.47461547],231.4499207543442,245.53576442579316
37,165.0079263424173,"[0.37389865726970617, 0.3342168285096484, 18.360330380926673, 0.9809413470565663]",[ 0.12770586  0.83019699 23.9999      0.47507603],[4.48023006 2.03333202],[9.92339789 3.55939394],338.0158526848346,351.93840837820255
38,166.26335527686732,"[3.9636818842194335, 0.09874925134632709, 16.026066716078535, 0.9003112361284517]",[3.15943679e+00 1.00000000e-04 2.26574015e+01 1.00000000e-04],[1.95071527 1.97236768],[22.4313787  22.45655359],340.52671055373463,354.4824614583614
39,65.34976708378245,"[2.9371953397142776, 0.5858886070577829, 10.234371225988326, 0.8555111233680568]",[ 0.82992224  0.04498616 23.9999      0.70363175],[1.84624684 4.01028775],[7.71835828 2.74165506],138.6995341675649,152.48648365423014
