participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,108.57327233784336,"[0.3373417827614577, 0.6289592293335773]",[0.57431375 0.54209712],[2.01209302 3.94455882],[0. 0.],221.14654467568673,228.14088112627314
2,102.61100438497925,"[0.13095976662531414, 0.5774127067501461]",[0.61373764 0.61930427],[2.03923077 3.97465686],[0. 0.],209.2220087699585,216.18328661664248
3,166.18399342533579,"[0.0935473982355935, 0.9308348659624586]",[0.0935474  0.93083487],[3.94311111 2.00036364],[0. 0.],336.36798685067157,343.3458623029849
4,170.5142247281415,"[0.33903611092309344, 0.8230932946556085]",[1.00000000e-04 9.97154885e-01],[1.99712    3.93758064],[0. 0.],345.028449456283,352.0391125281477
5,124.95896361563892,"[0.49902087733424905, 0.8101002572443389]",[0.49902088 0.81010026],[2.         3.97465608],[0. 0.],253.91792723127784,260.90405011795895
6,167.05896099027535,"[0.0020553164135869344, 0.2501573915636205]",[0.00205532 0.25015739],[3.96366667 1.9833871 ],[0. 0.],338.1179219805507,345.087515847532
7,169.13785765772298,"[0.1478770140506874, 0.06713368483955981]",[0.14788336 0.06713491],[3.97713286 1.96731481],[0. 0.],342.27571531544595,349.3025728077759
8,168.30447046618406,"[3.1968015797719387, 0.3567233696038497]",[0.03273718 0.0001    ],[2.00167899 3.92511502],[0. 0.],340.6089409323681,347.5950638190492
9,169.8228473642815,"[0.10540479895196361, 0.3150576393740737]",[1.00000000e-04 3.44284114e-01],[1.96946565 3.94598291],[0. 0.],343.645694728563,350.64821114965247
10,166.11865939254673,"[1.2762326389770562, 0.14743547589091593]",[0.16387809 0.89837531],[3.95590604 1.9506    ],[0. 0.],336.23731878509346,343.2479818569582
11,195.442581173442,"[0.2992581381418349, 0.40887704053062845]",[0.14048608 0.45213353],[3.94196428 1.98035714],[0. 0.],394.885162346884,401.9200681398134
12,159.1966670926667,"[0.9370529494233747, 0.7586510249438726]",[0.25004942 0.99981458],[1.97193182 3.9543125 ],[0. 0.],322.3933341853334,329.39585060642287
13,168.43478974387898,"[0.9536009350492415, 0.5391213518318498]",[1.00000000e-04 8.05724224e-01],[2.01741935 3.95557377],[0. 0.],340.86957948775796,347.85570237443903
14,159.37633290930293,"[0.6430808435658274, 0.6627987627862553]",[0.10173814 0.97591264],[3.93793893 2.00259615],[0. 0.],322.75266581860586,329.64614056193847
15,169.07034279628206,"[0.1313153458433463, 0.2764087467064158]",[0.01405899 0.92872376],[3.97412698 1.97842975],[0. 0.],342.1406855925641,349.1350220431505
16,168.90766584578483,"[0.01727012358374444, 0.8206958956459701]",[0.082      0.75392288],[1.9759292  3.94333333],[0. 0.],341.81533169156967,348.81784811265914
17,104.45142286759048,"[0.24869303887303948, 0.3895803874901304]",[0.60076844 0.28861792],[2.00772727 3.97323383],[0. 0.],212.90284573518096,219.88072118749434
18,153.10380980685758,"[1.596438270029072, 0.33518022209937587]",[0.33301213 0.87780357],[3.95257485 2.        ],[0. 0.],310.20761961371517,317.2182826855799
19,170.51519248200196,"[0.21092624511179683, 0.47124103063938805]",[1.00000000e-04 6.19387168e-01],[1.99492308 3.93697479],[0. 0.],345.03038496400393,352.04104803586864
20,171.89690673218286,"[0.07367822231290627, 0.1399019103243858]",[0.09631672 0.13488652],[3.93087591 1.98396552],[0. 0.],347.7938134643657,354.8367353000902
21,117.32046583827962,"[0.5147112450265835, 0.832952095581623]",[0.52798104 0.83002477],[1.96734694 3.9449    ],[0. 0.],238.64093167655923,245.65159474842395
22,44.55097957955899,"[0.9145322187210487, 0.04878732932657969]",[0.91453736 0.04878853],[2.1933333  3.97004291],[0. 0.],93.10195915911798,100.07983461143135
23,167.48276098399174,"[0.006700729171188902, 0.9121591258476345]",[0.10048334 0.8820139 ],[3.95179104 2.01176991],[0. 0.],338.9655219679835,345.95985841856987
24,167.7445885227517,"[0.12824521345862666, 0.4892367442427655]",[1.0000000e-04 5.5301242e-01],[3.90222222 1.9870073 ],[0. 0.],339.4891770455034,346.4670524978168
25,82.50551906441146,"[0.6859699632047732, 0.7959839048011398]",[0.68597879 0.79598432],[2.00633333 3.96341014],[0. 0.],169.01103812882292,176.00537457940933
26,168.3244940108216,"[0.0726449697525749, 0.6061564917312872]",[0.07265376 0.60615719],[1.95401709 3.95341085],[0. 0.],340.6489880216432,347.6351109083243
