participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,30.608118032002423,"[2.891077325954492, 0.7326273178672387, 11.407850079409357, 7.50793022035826]",[3.35636315e+00 1.00000000e-04 5.66505123e-02 1.00000000e-04],69.21623606400485,78.74434260270037
4,56.86594199028487,"[2.156987927879763, 0.8334057682182995, 0.47432686877677116, 5.221782201303416]",[4.85735779e+00 1.15404979e-04 8.62078345e-04 1.00000000e-04],121.73188398056973,131.40724641175612
11,54.19439296686405,"[0.5223278781915209, 0.711512556277562, 14.141922708964959, 22.981810970754484]",[4.99990000e+00 3.92103157e-04 1.87419645e-03 1.00000000e-04],116.3887859337281,126.0641483649145
16,52.599594282486194,"[3.7646156125991777, 0.44119026307911197, 4.71794299082511, 14.998914481757481]",[4.99990000e+00 3.33961945e-04 1.00000000e-04 3.07326594e-03],113.19918856497239,122.72729510366791
19,28.807151825084652,"[3.3446064512285956, 0.8259820307657831, 10.490860969722162, 5.287814608379279]",[2.06532385e-01 2.93283299e-01 2.39999000e+01 1.00000000e-04],65.6143036501693,75.2896660813557
21,41.8506493541089,"[1.7144328644860924, 0.9428244002340318, 14.690844766828333, 16.604618999396997]",[4.99990000e+00 6.07634824e-04 2.37865819e+00 2.37439153e+00],91.7012987082178,101.3766611394042
23,53.47858416925864,"[0.5670121515469491, 0.19929052563865834, 0.8720865341784825, 2.2517513750725215]",[4.95734683e+00 1.00000000e-04 1.00000000e-04 4.83940969e-03],114.95716833851728,124.53496495720704
24,56.95306993772993,"[2.0147515932261135, 0.4019030246726621, 11.250147070822374, 4.664808718036014]",[3.69607990e-02 2.00739712e-01 1.00000000e-04 2.39999000e+01],121.90613987545986,131.58150230664626
26,35.41184150970006,"[3.4340142029015315, 0.45917353000461963, 18.677130029793325, 6.864302236702463]",[4.78181682e+00 1.28635807e-04 3.67558855e+00 3.67005679e+00],78.82368301940012,88.45056000845713
30,13.33677240245295,"[2.120349468164559, 0.7415329321196016, 20.62318660055524, 20.64677555677148]",[4.04474617e+00 1.00000000e-04 4.84144580e-02 1.00000000e-04],34.6735448049059,44.348907236092295
31,11.344173617734393,"[2.0502716113003316, 0.3968545396634563, 20.42604534518324, 13.242862628121648]",[1.62529353 0.14050256 2.61790564 3.35919924],30.688347235468786,40.411614430842036
32,34.02764245172228,"[4.078753413859075, 0.9698821379787843, 6.549606576537692, 13.35114266333221]",[2.89177004e+00 1.00000000e-04 2.39999000e+01 2.39733232e+01],76.05528490344456,85.68216189250157
33,13.369592041025262,"[1.8585789706671576, 0.38360785460081237, 8.347804395693185, 6.6500999209803]",[3.61671692e+00 1.00000000e-04 7.25682597e-02 1.00024103e-04],34.73918408205053,44.31698070074028
36,56.6007393257896,"[0.6011227625627475, 0.9983925492521655, 4.773304366405918, 1.9430152580450155]",[3.99126930e+00 1.15291090e-04 6.66591775e-03 1.00000000e-04],121.2014786515792,130.8768410827656
40,48.68611735394527,"[0.5709932029628092, 0.0391484543251002, 2.2940066915109814, 0.8847830987160213]",[1.04947406e-01 1.00000000e-04 7.43965430e+00 1.00000000e-04],105.37223470789054,114.9500313265803
41,57.204482295247175,"[1.0606924033328047, 0.18109039169004945, 20.863773068879905, 23.96476269512009]",[1.84919599e-01 1.00000000e-04 2.20021098e+01 2.06035968e+01],122.40896459049435,132.1322317858676
46,45.99054036943149,"[1.197178079642846, 0.7968047065334782, 0.5666692588659037, 1.1603699044446432]",[2.69842706e-01 9.99900000e-01 1.00000000e-04 9.50542103e+00],99.98108073886299,109.40791604562135
49,29.153412345541955,"[1.4488909040700944, 0.639649834822851, 11.468132714209908, 19.88064710388233]",[2.72108155e+00 1.00000000e-04 1.20172637e-01 1.00000000e-04],66.3068246910839,76.03009188645717
50,45.959232535464515,"[0.5254056532242801, 0.48627335594527266, 16.303574104912745, 9.760227946396093]",[7.18747189e-01 1.00000000e-04 2.39999000e+01 2.31092514e+01],99.91846507092903,109.54534205998604
51,44.78419827272582,"[2.2263488686725244, 0.28896024184970753, 4.885831031454028, 10.994494193177571]",[1.56489052e+00 2.52639349e-04 2.42585373e-01 1.00000000e-04],97.56839654545163,106.99523185221
60,53.96853206316658,"[1.4534434387585062, 0.44988859484081467, 0.04380689383048561, 5.550554534498704]",[2.06925529e-01 1.00000000e-04 7.58671497e-02 2.44653463e+00],115.93706412633315,125.61242655751954
65,53.56430329913207,"[1.3847001962794012, 0.7078283828121666, 1.3161844000195901, 5.202487438360957]",[4.99990000e+00 2.78746934e-04 1.00000000e-04 5.73945811e-03],115.12860659826414,124.75548358732115
73,27.004411718667303,"[1.0932741884545836, 0.47602466085960277, 6.043235938280755, 12.836703290810958]",[1.97353623e+00 1.00000000e-04 2.98237422e-01 1.00000000e-04],62.008823437334605,71.73209063270787
75,3.2539297453418534,"[1.3109120315579617, 0.9467194442230175, 23.840063486260338, 12.330917707717234]",[4.97574529 0.00678951 2.9746204  2.97977701],14.507859490683707,24.1832219218701
77,53.24839051612606,"[2.9489963283608533, 0.4754495241382963, 4.718586113076256, 2.883492595972461]",[3.82834280e+00 3.32380545e-03 5.70123744e-01 5.69951702e-01],114.49678103225212,124.22004822762537
84,28.700933102283546,"[2.0245239263025585, 0.3900853854772539, 19.669497662898262, 17.370149667344585]",[1.54529870e+00 1.00000000e-04 2.39999000e+01 2.35997611e+01],65.40186620456709,74.97966282325685
85,54.43279295345774,"[2.967920659010916, 0.7612689504938723, 10.00664576102468, 5.202165714012995]",[4.99990000e+00 7.94003379e-04 1.68402717e+00 1.68593201e+00],116.86558590691548,126.58885310228874
88,56.33148630500899,"[3.49327665407401, 0.6895460949119023, 1.2530757924032763, 2.19083643886613]",[1.90530419e+00 1.48146033e-03 1.00000000e-04 2.59443209e-02],120.66297261001797,130.28984959907498
89,55.09473617524317,"[3.2600108509690338, 0.289390342287231, 7.441665386513087, 21.056489852485385]",[4.87381173e-02 5.29700959e-01 2.39999000e+01 1.00000000e-04],118.18947235048634,127.7672689691761
90,18.765791837490063,"[0.4015236710413503, 0.3104062164542667, 20.794897131697706, 18.66357680837837]",[4.99990000e+00 7.81215781e-04 2.50494826e+00 2.49551522e+00],45.531583674980126,55.20694610616652
