participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,31.032797215518073,"[4.081073608504814, 0.7843895327671633, 23.740913129609478, 22.709729908760416]",[3.11280837e+00 1.23032584e-04 2.36996636e+01 2.36798992e+01],70.06559443103615,79.59370096973167
2,9.733376928613048,"[0.38868088604123424, 0.9288853547696686, 18.35166191101559, 21.783688239256925]",[2.46105515e+00 1.00000000e-04 2.39999000e+01 2.38023790e+01],27.466753857226095,37.093630846283105
3,55.45177445471793,"[4.627583154788642, 0.08755719548515421, 5.807454309509683, 12.50543060414875]",[ 4.97084672  0.2808418  13.88516598  9.87676851],118.90354890943586,128.48134552812562
4,55.231016373187344,"[3.249675701546516, 0.4603361440732064, 4.05628087241483, 6.59981440961862]",[4.99990000e+00 1.97520825e-04 4.81814912e-03 1.00000000e-04],118.46203274637469,128.13739517756107
5,53.763582332271454,"[2.190139644144735, 0.9220828511229738, 14.764304262560433, 4.48396543736197]",[8.85023264e-02 1.73356355e-01 1.00000000e-04 1.36303179e+01],115.52716466454291,125.05527120323843
6,43.66949138330154,"[1.6699439516695713, 0.506207440540707, 15.553481193555477, 11.90142936715507]",[3.51130093e+00 2.30483370e-02 2.39819150e+01 2.39999000e+01],95.33898276660308,104.81677417647117
7,53.88913845972608,"[0.17051858627632346, 0.17005709481373002, 3.3155403791236537, 20.08402630635096]",[4.49959322e+00 1.00000000e-04 1.00000000e-04 8.89455189e-03],115.77827691945215,125.40515390850916
8,51.04548326371974,"[0.213302496611656, 0.48599172549071584, 22.24848656556996, 8.09001665484187]",[4.85896618e+00 1.53784901e-04 8.14997980e-03 1.00000000e-04],110.09096652743948,119.51780183419784
9,54.097671490133436,"[2.9607407235677794, 0.28226463933345747, 1.633013130548628, 13.506806473843769]",[4.92528093e+00 2.32929731e-04 3.13162809e+00 3.12694150e+00],116.19534298026687,125.82221996932388
10,53.08423232955523,"[2.9961027099517916, 0.8118573635520919, 12.846853668694408, 13.162742973505972]",[1.95393950e+00 3.49760042e-03 8.35489339e-02 1.00000000e-04],114.16846465911046,123.59529996586882
11,54.710653831367374,"[2.516595191081267, 0.3625420166979407, 0.23180045090901324, 4.696131103702216]",[4.95718430e+00 1.00000000e-04 1.00000000e-04 1.01688926e-03],117.42130766273475,126.94941420143027
12,54.54478439738545,"[0.9882897286298475, 0.7704402701815057, 1.422700413155624, 11.781796579091523]",[4.99990000e+00 4.43219483e-04 2.29738102e+00 2.30197495e+00],117.0895687947709,126.7649312259573
13,51.818007593408474,"[2.404399829480971, 0.3333222937521312, 4.829988142557215, 7.31571922392397]",[4.99990000e+00 1.27689628e-04 9.07103537e-03 1.00000000e-04],111.63601518681695,121.3592823821902
14,52.04554724995386,"[4.5573132101655975, 0.8774214766252019, 18.44452944098069, 1.7077894822906796]",[4.82335770e+00 1.03619377e-04 1.00000000e-04 6.45951649e-03],112.09109449990773,121.56888590977582
15,23.286492738790127,"[0.8493666534740366, 0.33428551174214294, 19.86269674392264, 8.530775836826482]",[3.24712912e+00 1.59008921e-04 2.03629649e+01 2.03338351e+01],54.572985477580254,64.05077688744834
