participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,14.658125709177527,"[1.5429828817714133, 0.5732218937352482, 0.7257493722652375, 0.8671082119199671, 1.7225904927610916, 0.5050483905050396]",[4.9999     0.01030941 0.08169197 2.165131   1.67596407 0.91160753],41.31625141835505,55.682946346389684
2,26.991520685345343,"[2.3847517266252165, 0.8667503621737311, 0.9611736790713836, 9.82151051667427, 10.364077441490192, 0.9561411372446208]","[3.87814111e+00 9.94618329e-01 4.00884536e-04 1.00213880e+01
 1.01134491e+01 1.00000000e-04]",65.98304137069069,80.34973629872532
3,51.86461153467298,"[4.18788767693457, 0.5853147191456699, 0.08762286444933419, 21.384109202611675, 7.243304034206967, 0.3682370763585904]","[4.61660971e+00 6.75488921e-01 1.38807841e-01 1.63467272e+01
 1.00000000e-04 5.25209300e-01]",115.72922306934596,130.24226671612556
4,51.888495486084146,"[0.20458184991821554, 0.7519514534426218, 0.007779382054318646, 21.50840753846404, 1.833720142302502, 0.7041848425782066]","[6.85926340e-01 9.99900000e-01 9.21940650e-01 2.39999000e+01
 1.00000000e-04 6.46631279e-01]",115.77699097216829,130.1436859002029
5,50.89410955539739,"[1.778168886881208, 0.5214988401104129, 0.7885257510612094, 18.15073176030403, 20.684944138232098, 0.7277595218582692]","[4.62004466e+00 1.81073954e-03 1.42643936e-01 2.28913124e+01
 3.68527747e+00 4.79554562e-01]",113.78821911079478,128.30126275757436
6,17.299745225005267,"[4.402358354025669, 0.2363153244561292, 0.24508807774095667, 12.363558577408709, 0.3886233162143254, 0.1804033617098992]","[4.79251537e+00 1.00000000e-04 3.24713316e-02 3.70833404e+00
 2.55947882e-02 1.15621175e-01]",46.599490450010535,61.184391243070415
7,51.645700436453154,"[3.7603931216608166, 0.046740699767087175, 0.9449336399324252, 18.482053874418366, 0.6186798620597821, 0.6609792632649775]","[1.12454994e+00 9.94138155e-02 9.39089312e-01 1.00000000e-04
 8.39181151e+00 9.02485542e-01]",115.29140087290631,129.65809580094094
8,54.94755055936991,"[3.911625011892377, 0.9492088786545094, 0.40922147863100156, 8.655532519612098, 1.5958697189107254, 0.7893508000393599]","[1.09609635e+00 9.99900000e-01 1.13628571e-04 1.15663389e+01
 1.00000000e-04 5.94795499e-01]",121.89510111873982,136.4081447655194
9,55.16929338993332,"[2.8770309863567687, 0.4300384648811196, 0.16806433453296418, 23.54841728336601, 1.204112587244208, 0.6923700644452613]","[4.99990000e+00 2.05259863e-03 1.00000000e-04 2.35083614e+01
 1.21223158e+00 4.11711722e-01]",122.33858677986665,136.92348757292652
10,57.009942544284996,"[0.9422322982638979, 0.9696128382274682, 0.4419752079974686, 0.006983020506830444, 19.80544063975676, 0.4841137339470436]","[9.98326269e-01 5.14777132e-01 6.88088910e-02 1.00000000e-04
 1.98014501e+01 7.68460546e-01]",126.01988508856999,140.53292873534957
11,52.87810827353013,"[0.2136974709290283, 0.5518870050667515, 0.9328662457309307, 13.463218331634353, 12.38767905252756, 0.0013698192723312955]","[4.99989982e+00 3.24443537e-03 1.88467724e-03 2.17868072e-02
 1.01276338e-04 4.80308120e-01]",117.75621654706026,132.04837635510356
