participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,0.6931471805689451,"[2.042253763776671, 1.0932714197183746, 19.31669968077948, 0.001789723826915639]",[2.04225376e+00 1.00000000e-02 1.93166997e+01 1.78972383e-03],9.38629436113789,10.596634733114074,1,1,10
2,0.6931471805689451,"[2.421492400514055, 11.766575222272108, 0.3713474755843921, 0.009849847346545213]",[9.09273778e-01 1.00000000e-02 1.00000000e-04 2.39999000e+01],9.38629436113789,10.596634733114074,1,1,10
3,6.875801369935856,"[0.28788842339682436, 7.699733718603304, 5.308341217689851, 0.0014179516959236349]",[0.05303096 0.         4.52190293 0.80228882],21.751602739871714,22.961943111847894,1,1,10
4,5.460502972078835,"[0.7942357134888458, 4.224145505350854, 10.22177886337199, 0.00384247428097689]",[0.16897787 0.         8.00925794 1.86796653],18.92100594415767,20.131346316133854,1,1,10
5,6.4217746952132595,"[1.0122386582589455, 17.93638864860496, 14.037377473726115, 0.0005034401746936334]",[ 0.0559523   0.         12.29252487  1.35934066],20.843549390426517,22.053889762402704,1,1,10
6,5.460502972078836,"[3.8122897582061115, 21.316727406363242, 0.275414054877462, 0.009035088738752858]",[1.33025685e+00 0.00000000e+00 3.78332616e-01 1.00000000e-04],18.92100594415767,20.131346316133857,1,1,10
7,5.406796157241698,"[0.4055554728273618, 0.07574856161275875, 23.252734714823895, 0.007746133261021068]",[4.80980921e-02 1.00000000e-02 1.00000000e-04 2.39999000e+01],18.813592314483394,20.02393268645958,1,1,10
8,5.460502972078836,"[3.364349472112513, 8.146422186983838, 0.5667877972533166, 0.0011402637665638394]",[1.23398538e+00 0.00000000e+00 4.36009235e-01 9.26178772e-04],18.92100594415767,20.131346316133857,1,1,10
9,6.875801369935855,"[0.7957187219138422, 11.767586169593518, 16.67571531337703, 0.007960563958113134]",[ 0.03077437  0.         11.51996627  5.03080582],21.75160273987171,22.961943111847894,1,1,10
10,6.8758013699358544,"[0.20013251009371047, 3.793291039319271, 6.098124634126396, 0.006420360594679212]",[0.03808286 0.         5.66113189 0.43845029],21.751602739871707,22.961943111847894,1,1,10
11,6.8528420707079,"[0.7013271075068463, 12.760391144951729, 23.892852580671445, 0.0024867591107190536]",[1.07123745e-02 1.00000000e-02 2.39998955e+01 1.00000000e-04],21.7056841414158,22.91602451339198,1,1,10
12,6.8758013699358544,"[1.934692512170693, 16.4093078958588, 4.3024179501316215, 0.00917225586136565]",[3.53909608e-02 0.00000000e+00 1.11232464e-04 5.62841104e+00],21.751602739871707,22.961943111847894,1,1,10
13,5.460502972078835,"[0.09837098143379898, 9.109926874156425, 22.08562641415629, 0.007303598285712466]",[ 0.05033774  0.          0.82748732 22.86014107],18.92100594415767,20.131346316133854,1,1,10
14,6.856511011467961,"[2.453150724452232, 19.907311303122917, 1.7122634860971344, 0.0038490904633863457]",[1.0362071e-02 1.0000000e-02 1.0000000e-04 2.3999900e+01],21.713022022935924,22.923362394912104,1,1,10
15,0.6931471805689451,"[0.06239638893389727, 3.069111896688251, 13.663786935581529, 0.001346009468890953]",[4.99990000e+00 1.00000000e-02 1.38393953e+01 1.00000000e-04],9.38629436113789,10.596634733114074,1,1,10
16,6.4217746952132595,"[0.6615230849866578, 22.735059239394634, 13.500397460460235, 0.003669762875187617]",[ 0.07516896  0.         10.78149223  2.72980829],20.843549390426517,22.053889762402704,1,1,10
17,6.875801369935854,"[0.7975936619897259, 0.589310537124767, 17.97743805928638, 0.0019149167131908042]",[ 0.02648025  0.         12.88389556  5.32452864],21.751602739871707,22.96194311184789,1,1,10
18,2.833646996377627,"[0.4787797162915023, 13.0197464043309, 8.176370179602994, 0.0027068050774150467]",[4.68405323e+00 1.48998205e-03 4.10807662e+00 4.13671375e+00],13.667293992755255,14.877634364731438,1,1,10
19,3.8326360431472315,"[0.1584296206898537, 18.00278618469041, 1.4486619165978505, 0.0006959593044830647]",[0.78465484 0.         1.5217855  0.00168833],15.665272086294463,16.875612458270645,1,1,10
20,6.868532716570744,"[0.08103736221602008, 8.031634582544775, 21.926823037887388, 0.0069472779409445184]",[1.03979783e-02 1.00000000e-02 2.19088801e+01 1.00000000e-04],21.73706543314149,22.947405805117672,1,1,10
21,3.46573590939896,"[1.214508213192424, 6.225377246675515, 7.56663896040298, 0.004193865895924642]",[4.06858077e+00 7.47028133e-03 8.61179821e+00 8.43810025e+00],14.93147181879792,16.141812190774104,1,1,10
22,2.772588726972546,"[1.548123430244492, 14.133011034774885, 0.512372004898021, 0.0027582636073387626]",[4.65374521 0.00715893 4.43130192 4.24323181],13.545177453945092,14.755517825921276,1,1,10
23,6.4217746952132595,"[0.39359787420472797, 20.277998697582778, 9.878763316363148, 0.004663261664411833]",[0.08049895 0.         8.63255883 1.13628579],20.843549390426517,22.053889762402704,1,1,10
24,6.4217746952132595,"[0.9752039924736123, 3.681906571546629, 12.759492650208161, 0.007988166881859693]",[0.09109366 0.         3.27047176 9.85584361],20.843549390426517,22.053889762402704,1,1,10
25,0.6931471805689451,"[0.412204030893608, 10.461557349575436, 7.261982643559487, 0.007406301384074625]",[4.9999     0.01       2.32333872 5.86595022],9.38629436113789,10.596634733114074,1,1,10
26,0.6931471805689451,"[4.793374472219135, 1.6534562449025885, 11.433743106122144, 0.001470231041597585]",[4.79337447e+00 1.00000000e-02 1.14337431e+01 1.47023104e-03],9.38629436113789,10.596634733114074,1,1,10
27,0.6931471805689451,"[0.05244774480134107, 10.632260964748388, 0.5921820560149276, 0.003882407462031007]",[4.99990000e+00 0.00000000e+00 1.00000000e-04 2.87776154e+00],9.38629436113789,10.596634733114074,1,1,10
28,3.8326360431472315,"[0.6910313140160927, 19.936810396236076, 12.237025947604575, 0.001315789304938484]",[ 0.1638619   0.         11.27390802  0.73132559],15.665272086294463,16.875612458270645,1,1,10
29,6.42177469521326,"[0.4250557855419471, 17.32017172559622, 2.397676667689966, 0.008523194855096483]",[0.27562305 0.         2.16013983 0.20014581],20.84354939042652,22.053889762402704,1,1,10
30,0.6931471805689451,"[2.4197774624058934, 13.397982740147716, 20.54743354803377, 0.007911825866936872]",[2.41977746e+00 1.00000000e-02 2.05474335e+01 7.91182587e-03],9.38629436113789,10.596634733114074,1,1,10
31,5.5451774444815625,"[2.3664087153817714, 13.258353083534061, 1.7596817130984241, 0.005696722766207939]",[4.9999     0.01       4.48313621 3.58769663],19.090354888963127,20.300695260939307,1,1,10
32,3.832636043147233,"[1.4084936440043245, 12.39538264519467, 1.3689677798217628, 0.004843523435582911]",[1.15897398 0.         1.15147973 0.34314194],15.665272086294465,16.87561245827065,1,1,10
33,6.875801369935855,"[0.7515450737203097, 14.073392228452159, 10.747104283339628, 0.0024345948718718347]",[0.3434459  0.         5.08035319 5.56718147],21.75160273987171,22.961943111847894,1,1,10
34,6.382043017054097,"[0.7050944338275438, 6.440776692189499, 23.333350019628888, 0.003002518720385039]",[2.81905762e-02 1.00000000e-02 1.00000000e-04 2.39999000e+01],20.764086034108196,21.974426406084376,1,1,10
35,0.6931471805689451,"[4.520515009954462, 7.3802371704714975, 16.625868486877767, 0.005793599963839974]",[4.52051501e+00 1.00000000e-02 1.66258685e+01 5.79359996e-03],9.38629436113789,10.596634733114074,1,1,10
36,6.875801369935855,"[0.5747609241734329, 15.71556681322963, 6.531960744937778, 0.0033685054871854547]",[0.13561182 0.         3.94228394 2.55332571],21.75160273987171,22.961943111847894,1,1,10
37,6.370408192111077,"[2.2303153412429877, 23.831763008840493, 1.3811290235134124, 0.008603201309575917]",[2.82438536e-02 1.00000000e-02 1.00000000e-04 2.39999000e+01],20.740816384222153,21.951156756198337,1,1,10
38,6.421774695213261,"[1.011873225529687, 11.387516002864054, 2.8300263615657673, 0.008977807951578983]",[5.41286882e-02 0.00000000e+00 2.14643505e-03 1.13151133e+01],20.843549390426524,22.053889762402704,1,1,10
39,3.8326360431472324,"[0.6129473031111073, 6.582946269027639, 5.08835135535923, 0.00036772208250009265]",[0.35057731 0.         4.70908473 0.28316508],15.665272086294465,16.87561245827065,1,1,10
40,6.4217746952132595,"[3.5499266199213193, 18.04482602265137, 0.11859375540092945, 0.002985726718523534]",[1.58132735e+00 0.00000000e+00 1.48151867e-01 1.00000000e-04],20.843549390426517,22.053889762402704,1,1,10
