participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
84,2.823856042990622,"[2.0215089079183333, 0.08060207378910042, 1.9938467487474054, 2.0213378131155832, 0.007891500620595583]","[1.67041364e+00 9.99900000e-01 2.09192706e+00 1.00000000e-04
 1.00000000e-02]",15.647712085981244,17.160637550951474,1,1,10
84,0.6931471805689451,"[1.7699289357581034, 0.37402355387727065, 1.1974974856297815, 8.09458761089211, 0.003705343617873426]","[4.99990000e+00 6.13492539e-01 1.50729901e+00 1.00000000e-04
 1.00000000e-02]",11.38629436113789,12.899219826108121,2,2,11
84,0.6931472209699311,"[2.0135159986772035, 0.9271490929006413, 10.663229269331655, 20.884884259759463, 0.00037673374984690036]",[ 3.60674314  0.9999      1.58028266 20.93778757  0.        ],11.386294441939862,12.899219906910092,3,3,12
84,0.6931473151619312,"[1.4782475755305489, 0.5439097519675483, 21.821836268192175, 7.264253144434349, 0.0062371479294649704]","[4.99990000e+00 3.92141488e-01 6.58796783e-01 1.00000000e-04
 1.00000000e-02]",11.386294630323862,12.899220095294092,4,4,13
84,0.6945559070129717,"[1.4640235041081087, 0.235531288180413, 14.157415415046982, 21.016310904230288, 0.0007379045349309943]",[4.9999     0.27322612 1.34020715 1.19252443 0.01      ],11.389111814025943,12.902037278996174,5,5,14
84,0.7267269984187977,"[3.1657152819109307, 0.27779063211147786, 6.573121364155728, 6.803127390011707, 0.00835496603922694]",[4.9999     0.42479744 1.28030951 0.06099062 0.01      ],11.453453996837595,12.966379461807826,6,6,15
84,3.273236058647945,"[2.0350000968529836, 0.6492049853210733, 2.7336830166888006, 13.564123776508312, 0.0017063078123803266]","[4.99990000e+00 1.48674830e-03 1.73157787e-02 1.00000000e-04
 0.00000000e+00]",16.54647211729589,18.059397582266122,7,7,16
84,3.546367640898105,"[0.4490933140481499, 0.9837827705568843, 1.1979850831206433, 15.76608937185295, 0.00017576559007334124]",[4.9999     0.0136471  2.18669387 2.17118759 0.        ],17.09273528179621,18.60566074676644,8,8,17
84,3.8327363367834617,"[2.1590423265578016, 0.3782653831578462, 3.405428409815836, 5.21114820274445, 0.0021017685461559555]","[2.63072837e-01 1.00000000e-04 6.41136512e+00 2.05201709e-01
 1.00000000e-02]",17.665472673566924,19.178398138537155,9,9,18
84,3.465735902804727,"[4.877381256693639, 0.5696424444070818, 13.861414790817394, 16.36351848912442, 0.009249983158603193]","[4.87738126e+00 5.69642444e-01 1.38614148e+01 1.63635185e+01
 9.24998316e-03]",16.931471805609455,18.444397270579685,10,10,19
84,2.7725887256988764,"[1.9068504122938255, 0.14512008012861238, 16.57291683312207, 20.00554500223447, 0.009110335704007244]",[ 3.42180949  0.05738932 17.70351743 18.92320874  0.        ],15.545177451397752,17.058102916367982,11,11,20
84,2.0794415416868364,"[4.363716347843213, 0.510775970902081, 11.710476957031137, 13.11901251242399, 0.008160644951275556]","[4.36371635e+00 5.10775971e-01 1.17104770e+01 1.31190125e+01
 8.16064495e-03]",14.158883083373674,15.671808548343904,12,12,21
84,0.6931471805689451,"[0.9897986282965315, 0.9547863394040071, 8.123494823868624, 2.92314604379269, 0.0018235786281314604]","[2.07280902e+00 1.00000000e-04 8.38651809e+00 1.58482334e+00
 1.00000000e-02]",11.38629436113789,12.899219826108121,13,13,22
84,0.6931471805689451,"[3.5760671952298684, 0.7397269688888692, 23.525301294844382, 2.148095238136047, 0.007375327280611022]","[3.57606720e+00 7.39726969e-01 2.35253013e+01 2.14809524e+00
 7.37532728e-03]",11.38629436113789,12.899219826108121,14,14,23
84,0.6931471805689451,"[2.8091519301700205, 0.46377462287393556, 17.75979149493246, 0.7637614376721861, 0.0035998556228932187]","[2.80915193e+00 4.63774623e-01 1.77597915e+01 7.63761438e-01
 3.59985562e-03]",11.38629436113789,12.899219826108121,15,15,24
84,0.6931471805689451,"[3.8267959091539194, 0.08127213984335489, 9.282733978664357, 8.31141384570153, 0.004306214734236118]","[3.82679591e+00 8.12721398e-02 9.28273398e+00 8.31141385e+00
 4.30621473e-03]",11.38629436113789,12.899219826108121,16,16,25
84,0.6931471805689451,"[2.3044618670773547, 0.6495898577196194, 10.630083777658136, 13.956811334046076, 0.005708031376409925]","[2.30446187e+00 6.49589858e-01 1.06300838e+01 1.39568113e+01
 5.70803138e-03]",11.38629436113789,12.899219826108121,17,17,26
84,0.6931471805689451,"[4.9884666684981935, 0.8218405612793311, 6.028967963166368, 2.883146140521097, 0.008334295884687867]",[4.98846667 0.82184056 6.02896796 2.88314614 0.0083343 ],11.38629436113789,12.899219826108121,18,18,27
84,0.6931471805689451,"[2.6635403796137562, 0.9420957758673574, 11.251534423270504, 11.441064830913804, 0.002001875115301499]","[2.66354038e+00 9.42095776e-01 1.12515344e+01 1.14410648e+01
 2.00187512e-03]",11.38629436113789,12.899219826108121,19,19,28
84,0.6931471805689451,"[2.5514523901718755, 0.310165602759831, 23.82640834492244, 9.446881899920424, 0.0005949079655207279]","[2.55145239e+00 3.10165603e-01 2.38264083e+01 9.44688190e+00
 5.94907966e-04]",11.38629436113789,12.899219826108121,20,20,29
84,0.6931471805689451,"[1.388655607597907, 0.03888666819294733, 10.18007302820804, 9.228292697786241, 0.0037526399758056428]",[ 1.50405542  0.74390876 10.23694033  9.17486623  0.        ],11.38629436113789,12.899219826108121,21,21,30
84,0.6931471805689451,"[4.092016929105265, 0.6015833374912986, 1.0529766192275611, 1.562635276366663, 0.009250203310742621]","[1.31545154e+00 9.99900000e-01 2.39999000e+01 1.00000000e-04
 0.00000000e+00]",11.38629436113789,12.899219826108121,22,22,31
84,0.6931471805689451,"[3.1009762379361554, 0.43860443474145433, 22.189575689707638, 15.39174043789203, 0.0020352316528076133]","[3.10097624e+00 4.38604435e-01 2.21895757e+01 1.53917404e+01
 2.03523165e-03]",11.38629436113789,12.899219826108121,23,23,32
84,0.6931471805689451,"[1.1054048036536137, 0.513946640080784, 18.92604601892614, 4.285695743232364, 0.002915518656581113]","[1.10540480e+00 5.13946640e-01 1.89260460e+01 4.28569574e+00
 2.91551866e-03]",11.38629436113789,12.899219826108121,24,24,33
