participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,0.6931471805689451,"[0.27436054965413814, 0.9037748272378002, 0.47264375662584873, 16.60015666705373, 2.205068088456547, 0.1866674489062484]","[4.99990000e+00 9.31909788e-01 1.00000000e-04 1.67206327e+01
 2.15662777e+00 1.00000000e-04]",13.38629436113789,15.201804919102166,1,1,10
2,0.6931472746420624,"[1.349556325509228, 0.2005908644914006, 0.4166936381381235, 4.300342082037359, 5.378076725884044, 0.18901701226905565]","[4.91919162e+00 1.66197645e-01 1.00000000e-04 3.02863041e+00
 1.06896936e+01 1.00000000e-04]",13.386294549284125,15.2018051072484,1,1,10
3,5.9587931694282545,"[1.6853351447373228, 0.1354390352544627, 0.3952668094339972, 13.540986958957056, 1.1680754550093702, 0.3370733463802724]","[1.23634670e+00 9.99900000e-01 1.00000000e-04 1.36183536e+01
 1.03302417e+00 6.38264204e-01]",23.91758633885651,25.733096896820783,1,1,10
4,3.8328412447518443,"[1.5660949919682323, 0.4752628375634646, 0.7138297116064288, 13.50362677624703, 4.559740461981754, 0.7293715699258134]","[3.48810222e+00 1.00000000e-04 3.65844768e-01 2.53746893e+00
 1.00000000e-04 2.22431606e-01]",19.665682489503688,21.481193047467965,1,1,10
5,3.56408329566776,"[4.467749827722842, 0.9059165643356791, 0.9615300255152153, 9.146030614922672, 4.845619010912056, 0.4803488524915418]","[4.99990000e+00 9.99900000e-01 1.02922350e-01 8.29947390e-01
 1.00000000e-04 1.42858318e-01]",19.12816659133552,20.943677149299795,1,1,10
6,5.280685782184816,"[2.968866421678419, 0.6024234881153107, 0.24291974578612652, 15.562373160628509, 4.168927070525795, 0.464509588764087]",[ 1.91643068  0.49691721  0.24274832 15.5624071   4.16892707  0.66653006],22.56137156436963,24.376882122333907,1,1,10
7,4.204410430616314,"[1.7173183939981367, 0.9169719042881599, 0.08848501062654511, 0.956923838817943, 3.4993892787054546, 0.3106852238780038]",[2.30074164 0.58780238 0.28476406 0.96167339 3.45374061 0.9999    ],20.408820861232627,22.224331419196904,1,1,10
8,3.680421967806329,"[4.583744559570258, 0.020071187166616995, 0.4453615556045284, 8.055284365208987, 10.611306979474, 0.4463945515291189]","[4.99990000e+00 2.58836509e-02 7.99064459e-02 1.53718451e+00
 1.00000000e-04 1.29678012e-01]",19.360843935612657,21.176354493576934,1,1,10
9,5.293532872190708,"[2.1291892576330063, 0.8017093037240873, 0.3025453780857057, 9.60177633768873, 12.301247742648101, 0.9714109376534794]","[6.99800615e-01 1.00000000e-04 5.81669611e-01 1.00000000e-04
 1.00000000e-04 1.00000000e-04]",22.587065744381416,24.402576302345693,1,1,10
10,3.726882784176772,"[1.0292169596406666, 0.7656178332722822, 0.8071490620627025, 2.825357955496982, 17.02416790378587, 0.9777403965497602]","[4.78272136e+00 9.99900000e-01 6.77905137e-01 1.00000000e-04
 1.62328104e+01 2.28971939e-01]",19.453765568353546,21.26927612631782,1,1,10
