participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,98.32752371699421,"[0.48808477906704484, 4.768472929224381, 5.536090119432619]",[0.24946388 0.04008591 5.53609012],"[np.float64(0.42098992954389053), np.float64(11.153429574382848)]","[np.float64(-0.42098992954389053), np.float64(-11.153429574382848)]",202.65504743398841,214.03408825914084
2,144.47210954270273,"[0.8021182326727768, 1.5958985848683844, 18.643378801381573]",[ 0.22825238  0.0482654  18.6433788 ],"[np.float64(2.0005938291804264), np.float64(7.836010294425154)]","[np.float64(-2.0005938291804264), np.float64(-7.836010294425154)]",294.94421908540545,306.24918207278677
3,165.1350588766619,"[3.507021132033696, 4.697100774714517, 20.8417075058356]",[ 0.50195405  1.70831062 20.84170751],"[np.float64(0.13780395051491803), np.float64(-0.03937630538916419)]","[np.float64(-0.13780395051491803), np.float64(0.03937630538916419)]",336.2701177533238,346.73693093179384
4,169.0619741535889,"[0.4933687317016228, 0.217441115194051, 11.333332506129125]",[ 0.44085641  0.66429493 11.33333251],"[np.float64(0.03127174380642428), np.float64(0.2719113080414501)]","[np.float64(-0.03127174380642428), np.float64(-0.2719113080414501)]",344.1239483071778,354.6399429149749
5,147.3525348842535,"[2.404945718006664, 1.2782304256161996, 8.466217247110219]",[0.33996843 0.06778208 8.46621725],"[np.float64(0.925358833694598), np.float64(4.344826675414781)]","[np.float64(-0.925358833694598), np.float64(-4.344826675414781)]",300.705069768507,312.03802673817495
6,196.21065734215546,"[0.11470759943663636, 1.0615926212941933, 4.57676198823882]",[0.93073839 1.40248044 4.57676199],"[np.float64(-0.002190521109927548), np.float64(0.470723195492801)]","[np.float64(0.002190521109927548), np.float64(-0.470723195492801)]",398.4213146843109,409.7542716539789
7,126.9240100987087,"[1.8843461219578814, 0.8872304269195073, 15.509348610082526]",[ 0.66900626  0.20310613 15.50934861],"[np.float64(1.7729876612492228), np.float64(0.10103807082376301)]","[np.float64(-1.7729876612492228), np.float64(-0.10103807082376301)]",259.84802019741744,270.38830643591234
8,203.48457261791972,"[2.059980995127871, 2.1637737259173764, 7.995405122900025]",[0.81999998 1.35612719 7.99540512],"[np.float64(1.3249487075504351), np.float64(-0.012978922804458854)]","[np.float64(-1.3249487075504351), np.float64(0.012978922804458854)]",412.96914523583945,424.2927998724727
9,167.7416176955101,"[1.1261386640353797, 1.9108723720032876, 13.498716779665866]",[ 3.62740212  3.74994966 13.49871678],"[np.float64(-1.5121999038925703e+107), np.float64(-7.545631781724436e+106)]","[np.float64(1.5121999038925703e+107), np.float64(7.545631781724436e+106)]",341.4832353910202,351.9870100226544
10,168.17204545900293,"[3.385811146277246, 3.34812808627273, 19.10351916985024]",[ 0.53745372  4.99953323 19.10351917],"[np.float64(-1.6524755350573472e+146), np.float64(-2.7361802230190324e+146)]","[np.float64(1.6524755350573472e+146), np.float64(2.7361802230190324e+146)]",342.34409091800586,352.86008552580296
11,175.32929603332633,"[0.9325624559746843, 1.0772257153708844, 23.438717021195956]",[ 0.49844751  0.13759666 23.43871702],"[np.float64(0.23528290334851817), np.float64(2.5860551810616452)]","[np.float64(-0.23528290334851817), np.float64(-2.5860551810616452)]",356.65859206665266,368.06494719278385
12,161.78043075153295,"[2.9856255245626184, 1.7835900742143918, 22.804476647170684]",[3.78396438e-02 1.00000000e-04 2.28044766e+01],"[np.float64(23.927400359278426), np.float64(47.70503259578987)]","[np.float64(-23.927400359278426), np.float64(-47.70503259578987)]",329.5608615030659,340.0646361347001
13,166.8262661395975,"[4.76379777050923, 4.9228470361458685, 1.5115449374079415]",[1.00000000e-04 4.75497962e+00 1.51154494e+00],"[np.float64(-8.693043223256321e+137), np.float64(-7.897868392698834e+137)]","[np.float64(8.693043223256321e+137), np.float64(7.897868392698834e+137)]",339.652532279195,350.13171660921665
14,158.5352903542316,"[1.375109570115046, 4.721208739619752, 6.106892600200335]",[0.31315103 4.9999     6.1068926 ],"[np.float64(-9.071898323300944e+137), np.float64(-1.0724497037472514e+138)]","[np.float64(9.071898323300944e+137), np.float64(1.0724497037472514e+138)]",323.0705807084632,333.4107928234621
15,213.6702735133106,"[1.5353524137560466, 4.896531351387, 16.949409654706464]",[ 0.76197349  1.1131231  16.94940965],"[np.float64(-0.0027465825834493795), np.float64(1.009729831434596)]","[np.float64(0.0027465825834493795), np.float64(-1.009729831434596)]",433.3405470266212,444.71042753931295
16,168.43476487606904,"[4.562190696241742, 4.419663360161858, 8.41278890176114]",[4.5621907  4.41966336 8.4127889 ],"[np.float64(-7.990732464343928e+129), np.float64(-5.12751121800839e+129)]","[np.float64(7.990732464343928e+129), np.float64(5.12751121800839e+129)]",342.8695297521381,353.3733043837723
17,75.78164047340192,"[0.9344244309785056, 3.580886369423984, 5.688445374085207]",[0.27265172 0.0273847  5.68844537],"[np.float64(0.09269183111063611), np.float64(14.475900322079788)]","[np.float64(-0.09269183111063611), np.float64(-14.475900322079788)]",157.56328094680384,168.92397309090396
18,209.31102057893526,"[4.000777452698718, 0.04848551348937756, 12.906166745755204]",[ 0.12014388  0.02626032 12.90616675],"[np.float64(8.524564556982417), np.float64(5.631563236377534)]","[np.float64(-8.524564556982417), np.float64(-5.631563236377534)]",424.6220411578705,436.00108198302297
19,168.54284515910496,"[0.8522991877696456, 0.9573717397141437, 2.2951609104119055]",[1.00000000e-04 4.16513191e+00 2.29516091e+00],"[np.float64(-1.094258127076509e+122), np.float64(-7.840557426081693e+121)]","[np.float64(1.094258127076509e+122), np.float64(7.840557426081693e+121)]",343.0856903182099,353.601684926007
20,171.20735359851273,"[4.7202560503258, 4.233756366891329, 3.834368398669181]",[4.72025605 4.23375637 3.8343684 ],"[np.float64(-1.0347327128782424e+126), np.float64(-5.3858438670884206e+125)]","[np.float64(1.0347327128782424e+126), np.float64(5.3858438670884206e+125)]",348.41470719702545,358.9790899506122
21,177.76466437501307,"[2.307245930158013, 3.736761177846702, 8.784718478493279]",[0.22812852 0.06494029 8.78471848],"[np.float64(3.1990265927475017), np.float64(3.002467225096132)]","[np.float64(-3.1990265927475017), np.float64(-3.002467225096132)]",361.52932875002614,372.9083695751786
22,65.40424109042955,"[3.5292927763247604, 3.313655829922711, 13.005448457319808]",[ 0.6598977   0.15212444 13.00544846],"[np.float64(0.0674179766471059), np.float64(3.9484790003482657)]","[np.float64(-0.0674179766471059), np.float64(-3.9484790003482657)]",136.8084821808591,148.1599577278483
23,166.02810275889823,"[2.7799099548783226, 0.4812026646680102, 2.409512164099115]",[4.95105898e-04 4.87215169e+00 2.40951216e+00],"[np.float64(-1.3098123747861344e+142), np.float64(-8.321812213775863e+141)]","[np.float64(1.3098123747861344e+142), np.float64(8.321812213775863e+141)]",338.05620551779646,348.54771019367604
24,216.6220003878593,"[1.4615952167963704, 2.573026002741591, 23.601321730393003]",[ 0.63361468  0.93718891 23.60132173],"[np.float64(0.9487666034155736), np.float64(0.024089113708930063)]","[np.float64(-0.9487666034155736), np.float64(-0.024089113708930063)]",439.2440007757186,450.58623132309555
25,117.31122635800848,"[0.6981560089968136, 2.867411306074665, 19.788349288025437]",[ 0.23860649  0.04806753 19.78834929],"[np.float64(1.1075128767434914), np.float64(8.073071428430307)]","[np.float64(-1.1075128767434914), np.float64(-8.073071428430307)]",240.62245271601697,251.99233322870873
26,193.50965831368427,"[1.1956028162969956, 1.693179846386366, 23.078578102601195]",[ 1.03887003  1.68887704 23.0785781 ],"[np.float64(-0.1734692286238833), np.float64(0.16045590930480413)]","[np.float64(0.1734692286238833), np.float64(-0.16045590930480413)]",393.01931662736854,404.3522735970365
27,180.23301481102456,"[0.7496422287052378, 3.962540745905793, 17.723083050104535]",[ 0.1159066   0.01848926 17.72308305],"[np.float64(21.162787446327975), np.float64(4.0885650985411655)]","[np.float64(-21.162787446327975), np.float64(-4.0885650985411655)]",366.4660296220491,377.8450704472016
28,203.06661874397923,"[4.8375145491993505, 0.4993096277838082, 3.9915734647082974]",[0.73960005 1.21243378 3.99157346],"[np.float64(0.3233567209544009), np.float64(-0.0011259974081413164)]","[np.float64(-0.3233567209544009), np.float64(0.0011259974081413164)]",412.13323748795847,423.47546803533544
29,163.30576336998786,"[0.6551232716228436, 4.839927319906626, 16.897835916571808]",[1.00000000e-04 2.99266256e+00 1.68978359e+01],"[np.float64(-2.2547481609605388e+70), np.float64(-2.1768424914880557e+70)]","[np.float64(2.2547481609605388e+70), np.float64(2.1768424914880557e+70)]",332.6115267399757,343.04091739577024
30,166.4463809802123,"[3.963776582964504, 4.933984400375154, 2.167136192199998]",[3.03967621e-02 2.83555224e-04 2.16713619e+00],"[np.float64(47.69277242539443), np.float64(32.52674920764573)]","[np.float64(-47.69277242539443), np.float64(-32.52674920764573)]",338.8927619604246,349.3842666363042
31,150.38775865259225,"[1.5437151941030662, 1.4305613257246297, 21.17099336100696]",[ 0.25142397  0.05400104 21.17099336],"[np.float64(0.7188774554641498), np.float64(8.927198923271527)]","[np.float64(-0.7188774554641498), np.float64(-8.927198923271527)]",306.7755173051845,318.071090613539
32,195.74992025836772,"[0.6188450758602942, 1.1505544220879773, 0.6789053700280023]",[0.52005957 0.20984794 0.67890537],"[np.float64(0.4762106194391923), np.float64(1.9342501977006574)]","[np.float64(-0.4762106194391923), np.float64(-1.9342501977006574)]",397.49984051673545,408.8788813418879
33,97.0913149366162,"[0.41606307021329436, 3.3238730790947324, 4.115845503969831]",[0.92298626 0.227865   4.1158455 ],"[np.float64(1.2752682139781966), np.float64(0.3401017308897543)]","[np.float64(-1.2752682139781966), np.float64(-0.3401017308897543)]",200.1826298732324,211.5248604206094
34,130.49228834974002,"[1.1123480699429624, 1.556401787967692, 23.37889153095337]",[ 0.31243175  0.07485188 23.37889153],"[np.float64(0.35098409491728255), np.float64(6.114121554420699)]","[np.float64(-0.35098409491728255), np.float64(-6.114121554420699)]",266.98457669948004,278.326807246857
35,160.14105309156915,"[1.7728357686246763, 2.087890692922869, 3.9272863921278933]",[0.11609458 0.02978446 3.92728639],"[np.float64(7.250104924615777), np.float64(4.500369055948124)]","[np.float64(-7.250104924615777), np.float64(-4.500369055948124)]",326.2821061831383,336.81027119302223
36,162.78279289968128,"[0.24775433115136217, 1.6821345161559373, 3.050113710579013]",[0.38666215 0.09514582 3.05011371],"[np.float64(2.235312237036822), np.float64(2.2035304720488154)]","[np.float64(-2.235312237036822), np.float64(-2.2035304720488154)]",331.56558579936257,342.97194092549375
37,212.46018516621587,"[0.8445348086492692, 3.6813984641841264, 9.593296344983761]",[0.74193555 1.23697484 9.59329634],"[np.float64(0.25986960084030086), np.float64(-0.10331139798842721)]","[np.float64(-0.25986960084030086), np.float64(0.10331139798842721)]",430.92037033243173,442.2533273020997
38,162.2361994160043,"[1.512015993031062, 3.6816524228662306, 3.4002130977742975]",[0.52442864 2.05896182 3.4002131 ],"[np.float64(-0.1476273229309787), np.float64(-1.1367122016487925)]","[np.float64(0.1476273229309787), np.float64(1.1367122016487925)]",330.4723988320086,340.9392120104786
39,79.38647097197533,"[0.9727071019215316, 3.7844792099301316, 1.7802552544111268]",[0.67071338 0.12876137 1.78025525],"[np.float64(0.0002214778861531727), np.float64(4.821795013860423)]","[np.float64(-0.0002214778861531727), np.float64(-4.821795013860423)]",164.77294194395066,175.99232068048835
40,100.88262265378714,"[3.268982317658137, 1.317963032688241, 20.236620786907423]",[1.09865849e-01 1.13126618e-02 2.02366208e+01],"[np.float64(39.53617242586827), np.float64(1.5844020959827465)]","[np.float64(-39.53617242586827), np.float64(-1.5844020959827465)]",207.76524530757428,219.1534185598704
