participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,98.2156285292306,"[2.829956626179879, 0.4186341445514688]",[0.02968482 0.01471135],"[np.float64(2.2362039460648386), np.float64(120.59424686600096)]",[0. 0.],200.4312570584612,208.01728427522949
2,142.18464186553436,"[1.6300719519566622, 0.1790352086402574]",[0.07305921 0.06314443],"[np.float64(3.4224913650323434), np.float64(23.698917535084597)]",[0. 0.],288.3692837310687,295.90592572265626
3,165.30437264788915,"[3.9699655199919404, 0.5724492543920678]",[0.00521266 0.0001    ],"[np.float64(170.57505818288047), np.float64(70.75840585289511)]",[0. 0.],334.6087452957783,341.58662074809166
4,169.1084133700536,"[1.9200838153047581, 0.8687947853023512]",[0.1630535  0.75432304],"[np.float64(0.03166170298540685), np.float64(0.7665478433677071)]",[0. 0.],342.2168267401072,349.2274898119719
5,146.92592478015027,"[1.9857936463092105, 0.2647282947403139]",[0.07999743 0.05868212],"[np.float64(1.9865945250680757), np.float64(20.045399088385565)]",[0. 0.],297.85184956030054,305.4071542067459
6,201.70263535272952,"[1.860625723834118, 0.512115695200944]",[0.3581988 0.9999   ],"[np.float64(1.384718912381026e-20), np.float64(0.6387615735394143)]",[0. 0.],407.40527070545903,414.96057535190437
7,124.93916240497796,"[2.3609776073033486, 0.36578532103444183]",[0.32029949 0.24807048],"[np.float64(5.372121438575958), np.float64(0.18708870514964535)]",[0. 0.],253.87832480995593,260.9051823022859
8,206.48523365457854,"[3.33973837226075, 0.08202449868789385]",[0.3103964 0.9999   ],"[np.float64(3.2818678463096957), np.float64(2.957563990000312e-16)]",[0. 0.],416.9704673091571,424.51957040024587
9,169.4515294248698,"[1.180371506892716, 0.013591353482318892]",[0.07477298 0.84472772],"[np.float64(0.7659842886452853), np.float64(0.00037324644231652643)]",[0. 0.],342.9030588497396,349.90557527082905
10,167.40602340011907,"[3.3364614053152444, 0.635560796214284]",[0.02698231 0.05293549],"[np.float64(22.439182416551947), np.float64(5.9782168499611155)]",[0. 0.],338.81204680023814,345.82270987210285
11,191.95592248469563,"[2.8815875875224233, 0.7156080733539684]",[0.04563774 0.01076171],"[np.float64(36.88464738126961), np.float64(51.07266398956868)]",[0. 0.],387.91184496939127,395.5160817201454
12,161.133758568148,"[3.537899048306208, 0.11979834170782852]",[0.1700956  0.26771154],"[np.float64(0.7039839892928126), np.float64(3.9269288172011843)]",[0. 0.],326.267517136296,333.2700335573855
13,168.37790014666365,"[4.269699271585693, 0.5448885112662563]",[0.00097823 0.0001    ],"[np.float64(64.72047453089594), np.float64(149.6533970318014)]",[0. 0.],340.7558002933273,347.74192318000837
14,159.9695324353157,"[2.4802208246490127, 0.9335441575649902]",[0.03094474 0.04545102],"[np.float64(10.37579885273819), np.float64(3.9806166932700697)]",[0. 0.],323.9390648706314,330.832539613964
15,214.21253874111775,"[2.5335898389980187, 0.047793388431116926]",[0.30643366 0.9999    ],"[np.float64(9.542387353303639e-09), np.float64(2.2765629842950275)]",[0. 0.],432.4250774822355,440.00499782403
16,168.6044541901049,"[4.322975750371975, 0.9710412061335533]",[0.0504881  0.21094931],"[np.float64(1.969668841445529), np.float64(1.7306956089038372)]",[0. 0.],341.2089083802098,348.21142480129924
17,75.00498750770272,"[3.978192977448279, 0.4669259991241313]",[0.04666894 0.01439335],"[np.float64(0.9206441781797869), np.float64(106.14636234765744)]",[0. 0.],154.00997501540544,161.58376977813887
