participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,98.16266181208316,"[4.282332693823149, 0.8192264056865445, 8.650747143353588]",[1.58207114 0.01039311 0.94747761],[0.5872399  1.44036896],[0. 0.],202.32532362416632,213.70436444931875
2,141.84835267779158,"[2.868990194003328, 0.06102135589522576, 8.194408740589758]",[1.18028528 0.05692241 1.28713258],[0.84060438 1.40849922],[0. 0.],289.69670535558316,301.0016683429645
3,163.95921677240557,"[3.788761194276724, 0.7191494763579028, -3.152203280908372]",[ 0.81831428  0.01508053 -2.07661602],[2.48981161 2.09232505],[0. 0.],333.91843354481114,344.38524672328117
4,169.84382906605808,"[0.30530940331323414, 0.3294883176873755, 2.294833136171306]",[0.31051544 0.40077227 1.81548741],[0.47075847 0.06973627],[0. 0.],345.68765813211616,356.20365273991325
5,143.43232855004047,"[2.9505506735522413, 0.4835392685643384, -8.021004315481534]",[1.36548121 0.06333172 3.02551053],[0.48047892 0.85168077],[0. 0.],292.86465710008093,304.1976140697489
6,222.54438541650202,"[3.8427637315244265, 0.3852880842389684, -1.7805607934832537]",[0.0910132  0.36805438 3.42094997],[ 0.66036834 -0.00562456],[0. 0.],451.08877083300405,462.421727802672
7,149.76709396688196,"[4.42479128850808, 0.08891799174775275, 6.393687869221683]",[2.54654304 0.01240525 1.06744124],[0.85367522 0.61843916],[0. 0.],305.5341879337639,316.0744741722589
8,221.72771682395785,"[4.204657591376106, 0.48822731149145077, 6.369001949517461]",[0.12552576 0.9999     0.16565229],[2.96951882 2.69874846],[0. 0.],449.4554336479157,460.77908828454895
9,164.7286533790007,"[0.14189401124167667, 0.283705060443077, -8.11682995639714]",[ 3.53331081e+00  7.87551115e-04 -8.95960415e+00],[14.4524085 14.4843007],[0. 0.],335.4573067580014,345.9610813896356
10,164.87536757309988,"[1.3722400769969505, 0.5630780066608401, 0.9961470827081893]",[  0.09132656   0.14073343 -10.        ],[5.57081256 2.12189124],[0. 0.],335.75073514619976,346.26672975399686
11,188.88758704750322,"[2.6680810602562564, 0.7666072507130252, -2.5558345928121113]",[1.19120404 0.01964251 1.98825652],[0.44779823 0.60329243],[0. 0.],383.77517409500643,395.1815292211376
12,160.86336749220868,"[4.9143132643743295, 0.9976027188696343, 8.886624191118454]",[  0.18483208   0.0315727  -10.        ],[1.44205729 5.8777716 ],[0. 0.],327.72673498441736,338.23050961605156
13,167.11596380157133,"[2.4511818897596034, 0.15962320402526048, -4.28005377632169]",[0.17003045 0.9999     0.46488625],[-0.01436111  2.41231055],[0. 0.],340.23192760314265,350.7111119331643
14,158.71292030868935,"[3.5940748895368215, 0.38723210662107155, 7.833169963737223]",[  0.1747999    0.07179386 -10.        ],[2.47368423 0.89933915],[0. 0.],323.4258406173787,333.7660527323776
15,225.96411823595906,"[3.5781198572260107, 0.20754179095525535, -3.3756020361633414]",[0.04465027 0.9999     1.8196698 ],[ 0.87356505 -0.41326128],[0. 0.],457.9282364719181,469.29811698460986
16,168.291986627669,"[2.636019595107427, 0.9980268159118905, 3.1510290048565075]",[ 0.08351248  0.28156752 -2.81527677],[0.79951061 1.31573412],[0. 0.],342.583973255338,353.0877478869722
17,75.72280867493512,"[2.681393423738883, 0.8021512688642474, 9.056812534449147]",[1.81013485 0.01209    0.66015265],[0.51485858 1.4098729 ],[0. 0.],157.44561734987025,168.80630949397036
18,205.33506323090495,"[0.028028167207062755, 0.5166000729009058, 1.891604443155824]",[0.68773782 0.08675839 0.05125562],[1.3658944  0.88995372],[0. 0.],416.6701264618099,428.04916728696236
