participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,101.38480370552249,"[2.8723893934481812, 0.027634567295167903]",[4.75149677e+00 1.60958489e-04],[3.78772445 3.807328  ],[0. 0.],206.76960741104497,214.35563462781326
2,139.12465637938138,"[1.0671406160146852, 0.4204502298759914]",[0.60391389 0.11429859],[2.03692736 3.97431966],[0. 0.],282.24931275876276,289.7859547503503
3,165.06780833666517,"[1.5477655848613652, 0.5526671038567065]",[2.89513173e+00 1.00000000e-04],[3.80229677 3.78068569],[0. 0.],334.13561667333033,341.1134921256437
4,170.4952870683479,"[0.07812259217549815, 0.9062478942799214]",[0.0117063  0.20850395],[2.01034565 3.87567654],[0. 0.],344.9905741366958,352.0012372085605
5,154.04451695320532,"[2.0219716716513974, 0.9049033756975912]",[0.98844196 0.01099258],[2.9141655  3.99191095],[0. 0.],312.08903390641063,319.64433855285597
6,223.8865393208628,"[4.9493595144379725, 0.16942916057781565]",[4.9999e+00 1.0000e-04],[3.95066686 3.91802952],[0. 0.],451.7730786417256,459.3283832881709
7,160.13235422777382,"[4.712983162853625, 0.13623997002706068]",[3.51240421e+00 1.00000000e-04],[1.83109644 1.80197655],[0. 0.],324.26470845554763,331.2915659478776
8,222.89481779133223,"[2.5634979975281533, 0.5815970573671914]",[0.04120619 0.13562515],[2.04008793 3.7949672 ],[0. 0.],449.78963558266446,457.33873867375326
9,169.8210811917676,"[2.075585716625441, 0.3291842034860861]",[0.0001 0.0001],[1.80238576 1.82514655],[0. 0.],343.6421623835352,350.6446788046247
10,166.3646460338872,"[3.0915663894966925, 0.0005376216119913656]",[0.15542486 0.22903894],[4.04964588 2.02127978],[0. 0.],336.7292920677744,343.7399551396391
11,229.43178273055946,"[2.852299740943974, 0.7885458418855202]",[0.0001 0.0001],[1.96630838 1.95099473],[0. 0.],462.8635654611189,470.46780221187305
12,159.0826596309627,"[2.3968466049973776, 0.4140634367502205]",[0.23948724 0.9999    ],[2.149982 4.31993 ],[0. 0.],322.1653192619254,329.16783568301486
13,168.33276884689224,"[0.030934458197318566, 0.04505171481978636]",[1.50092884e+00 1.00000000e-04],[3.92656697 3.95046136],[0. 0.],340.6655376937845,347.65166058046555
14,159.43727062892677,"[0.10092230061837948, 0.5855001588652199]",[0.09864091 0.21547524],[4.02306652 2.2687307 ],[0. 0.],322.87454125785354,329.76801600118614
15,226.61166158851188,"[0.941364117091962, 0.652865083965034]",[0.01659918 0.05625528],[3.82406661 2.00230716],[0. 0.],457.22332317702376,464.80324351881825
16,168.78519743300154,"[0.23173392782998392, 0.7976901615552935]",[0.08195569 0.34851178],[1.89368295 4.20531415],[0. 0.],341.5703948660031,348.57291128709255
17,94.44192617414167,"[0.8037878667233362, 0.30650545822347225]",[4.71729248e+00 1.79727196e-04],[3.93507536 3.95204522],[0. 0.],192.88385234828334,200.45764711101677
18,206.12625874300056,"[2.5387497974475415, 0.23454050345812766]",[0.30952789 0.0776715 ],[3.99066793 2.16255669],[0. 0.],416.2525174860011,423.8385447027694
19,170.51421695533992,"[0.3540999521627521, 0.1399882038311071]",[0.0001 0.0001],[1.80269538 1.82546473],[0. 0.],345.02843391067984,352.03909698254455
20,171.92272904829812,"[0.9511936395198245, 0.4376539824541364]",[0.09932594 0.0867938 ],[4.00211234 2.02380092],[0. 0.],347.84545809659625,354.88837993232073
21,187.07191060718807,"[0.0680364501834967, 0.7379122738879567]",[0.41144186 0.08023609],[2.0192168 3.958186 ],[0. 0.],378.14382121437615,385.72984843114443
22,79.78203112926074,"[2.253657327410656, 0.6009650836699233]",[0.97160796 0.35614454],[2.12937317 4.01781181],[0. 0.],163.5640622585215,171.13171262318096
23,167.3217616395965,"[1.5894259342879191, 0.3285975640206563]",[0.6365283  0.00184867],[2.44844634 2.02159603],[0. 0.],338.643523279193,345.6378597297794
24,224.57973611999233,"[2.6050546569175723, 0.4917565233401747]",[0.0001 0.0001],[1.97747472 1.95086741],[0. 0.],453.15947223998467,460.7209592715693
25,113.16177371629936,"[1.9930489658496795, 0.819893466059303]",[0.71971336 0.12337821],[1.98747137 4.08822302],[0. 0.],230.32354743259873,237.90346777439325
26,223.7384190310674,"[0.26038543882024845, 0.7473353814479301]",[0.02839298 0.07017504],[1.97253512 4.0118658 ],[0. 0.],451.4768380621348,459.0321427085801
27,179.77882889724862,"[4.948103310125645, 0.5028775299727754]",[3.65309423e+00 1.00000000e-04],[1.84865697 1.80153045],[0. 0.],363.55765779449723,371.1436850112655
28,224.33790583604835,"[1.4050687751195476, 0.2621296396686554]",[0.03505332 0.71822793],[3.46668332 1.97816797],[0. 0.],452.6758116720967,460.23729870368135
29,165.66217994259256,"[0.22508803579947945, 0.16029314394246844]",[0.0001 0.0001],[1.95067169 1.97265021],[0. 0.],335.3243598851851,342.27728698904815
30,163.85600721830582,"[3.8473525717205233, 0.025846217285344215]",[0.19234228 0.06636385],[4.02256226 2.03138953],[0. 0.],331.71201443661164,338.706350887198
31,149.13169741890155,"[2.2854750329434683, 0.39917743350792756]",[0.80065106 0.00755096],[1.86887508 3.65344191],[0. 0.],302.2633948378031,309.7937770433728
32,227.35227522366253,"[4.876406556122155, 0.18207144904465525]",[4.9999e+00 1.0000e-04],[4.11858283 4.07328823],[0. 0.],458.70455044732506,466.29057766409335
33,129.58563296589202,"[2.86273316780177, 0.4198315509046018]",[4.73137032e+00 1.00000000e-04],[3.80397123 3.78857563],[0. 0.],263.17126593178403,270.7327529633687
34,129.69923568959,"[0.05040188160786079, 0.151176223694593]",[0.61694897 0.14625658],[1.98100703 3.98999909],[0. 0.],263.39847137918,270.95995841076467
35,171.20737935139945,"[0.1527625653170883, 0.1411973683586766]",[0.0001 0.0001],[1.80355746 1.81691342],[0. 0.],346.4147587027989,353.43353537605486
36,229.43182363751802,"[3.761424054566892, 0.2470028040356395]",[0.0001 0.0001],[2.39009312 2.36889109],[0. 0.],462.86364727503604,470.46788402579017
37,223.7732009153145,"[2.5203617651067165, 0.8301503059625385]",[0.02369934 0.9999    ],[4.49998899 2.029997  ],[0. 0.],451.546401830629,459.10170647707434
38,167.74164012954895,"[1.1010820441448523, 0.9763071414076087]",[0.0001 0.0001],[1.95071534 1.97236991],[0. 0.],339.4832802590979,346.46115571141127
