participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,92.41533983753617,"[2.7379753711123938, 0.3037845466240144, 0.7180838273899193, 0.9438121829136336]",[3.11897481e+00 6.76671851e-04 2.39987232e+01 2.82708490e-01],[3.74895383 3.82876125],[23.37476551 20.2351338 ],192.83067967507233,208.0027341086089
2,134.82305142802582,"[4.403374935723407, 0.11825166948136376, 0.9659345453754415, 0.398715611439624]",[4.72524777e+00 2.43033008e-03 1.19131808e+00 8.65927164e-01],[3.7237037  3.97027251],[1.38278372 1.95885636],277.64610285605164,292.71938683922673
3,163.65307297679374,"[1.5003845560409972, 0.702376600094577, 14.428469733526812, 0.8795118751219984]",[3.55777583e+00 1.11560265e-04 1.44510011e+01 2.18735472e-01],[3.80256005 3.77846836],[14.29935511 14.32859412],335.3061459535875,349.26189685821424
4,168.26135833122217,"[0.6086548284998627, 0.37401165696059263, 1.7268538913071976, 0.5736136794144874]",[4.93612801e+00 4.03868268e-03 3.00000000e-01 9.64759556e-01],[3.09433579 3.8631534 ],[2.24137166 2.22846818],344.52271666244434,358.54404280617376
5,141.31721542266575,"[0.16359916844936875, 0.5159734300758457, 2.9512928911384497, 0.9488681370647816]",[4.72745179e+00 7.67678800e-04 2.57065957e+00 8.35691800e-01],[3.84969581 3.9577533 ],[2.61950575 2.66438392],290.6344308453315,305.7450401382221
6,223.34460685055774,"[2.5613302828564515, 0.7037757334035885, 1.8879637161429723, 0.9411731783974961]",[3.87857404e+00 1.10294345e-04 3.00000000e-01 1.45149747e-01],[3.95073484 3.91477118],[0.34277243 0.33729919],454.6892137011155,469.7998229940061
7,154.4727456089112,"[2.8721344716845763, 0.9800903381422098, 8.492064466868017, 0.04543137106048621]",[3.11336892e+00 3.05273758e-04 2.39999000e+01 6.55796998e-01],[1.89356295 1.8059673 ],[23.15432164 23.33395765],316.9454912178224,330.9992062024823
8,221.72663971481018,"[0.7656740296070188, 0.5368179131905716, 23.06686976067154, 0.9293402861225101]",[ 0.10032336  0.9999     23.07240209  0.21721545],[2.119991   3.66000699],[0.64608683 1.23818878],451.45327942962035,466.551485611798
9,168.58330369598875,"[3.8086188753409576, 0.5656631058717325, 5.670270178067581, 0.43551715297766025]",[7.20251783e-02 6.39989914e-01 2.39999000e+01 1.00000000e-04],[1.77254819 4.13033965],[3.02102099 6.43380882],345.1666073919775,359.1716402341564
10,164.6921832839899,"[4.932244041591265, 0.13124539527251217, 18.63362468739071, 0.1901837198033413]",[ 4.95749501  0.07971047 18.63391705  0.19166877],[4.03243803 2.00005168],[2.75659555 3.42286761],337.3843665679798,351.4056927117092
