participant_id,best_nll,best_initial_guess,best_parameters,best_EV,best_RT,AIC,BIC
1,124.47494992525823,"[0.4546929568667791, 0.1887985608136932]",[0.64492241 0.1502671 ],[2.01511111 3.94940559],[0. 0.],252.94989985051646,260.5359270672848
2,140.13444759897925,"[0.04851753754501723, 0.448685090191624]",[0.59386696 0.24461431],[2.01207547 3.97714815],[0. 0.],284.2688951979585,291.80553718954604
3,166.15699165039405,"[0.5874629258488723, 0.17760338915423307]",[0.1066495  0.91169861],[3.94311111 2.00036364],[0. 0.],336.3139833007881,343.29185875310145
4,170.51422473150166,"[0.11111717911897946, 0.04887199796677235]",[0.00010002 0.07491201],[1.99712    3.93758064],[0. 0.],345.0284494630033,352.039112534868
5,162.15475080329753,"[0.005558150777775883, 0.41931887952513064]",[0.51172984 0.29211796],[2.00549296 3.97811765],[0. 0.],328.30950160659506,335.8648062530404
6,223.88724789991522,"[0.11717822193639559, 0.4074900586582667]",[1.0000000e-04 4.8279912e-01],[3.9673125  1.98481928],[0. 0.],451.77449579983045,459.3298004462758
7,169.0917241565842,"[0.1376764511111614, 0.3096436723568498]",[0.13374186 0.3107898 ],[3.97713287 1.96731481],[0. 0.],342.1834483131684,349.21030580549836
8,223.00418694094458,"[0.0019984999749600835, 0.7513469344547559]",[0.03439878 0.74160845],[2.00464968 3.90684524],[0. 0.],450.00837388188916,457.55747697297795
9,169.8228473545734,"[0.08557313007897809, 0.09531329315574155]",[1.00000000e-04 1.49542367e-01],[1.96946565 3.9459829 ],[0. 0.],343.6456947091468,350.6482111302363
10,166.11865054376486,"[1.3774464508647324, 0.12745492307903855]",[0.16364838 0.91721668],[3.95590604 1.9506    ],[0. 0.],336.2373010875297,343.2479641593944
11,229.44850424840243,"[0.221271659246922, 0.8477393349873444]",[1.00000000e-04 9.98215805e-01],[3.94691358 1.98213439],[0. 0.],462.89700849680486,470.501245247559
12,159.19677248472757,"[0.7906185824467536, 0.7310745035441272]",[0.25078521 0.9473635 ],[1.97193182 3.9543125 ],[0. 0.],322.39354496945515,329.3960613905446
13,168.434789743879,"[1.9812325777854114, 0.3313767392919394]",[1.00000000e-04 8.39121484e-01],[2.01741935 3.95557377],[0. 0.],340.869579487758,347.8557023744391
14,159.37633384775953,"[0.2476644423888394, 0.7615595196842728]",[0.1016314  0.89501658],[3.93793893 2.00259615],[0. 0.],322.75266769551905,329.64614243885165
15,226.62653519620358,"[1.1066908985502524, 0.5560088339204597]",[0.01308704 0.75096844],[3.95652695 1.98680982],[0. 0.],457.25307039240715,464.83299073420164
